"dataset","year","r_squared","n"
"BRFSS",1993,0.00204905344354323,101548
"BRFSS",1994,0.00112261355546472,105170
"BRFSS",1995,0.00176794271151637,113274
"BRFSS",1996,0.00093618676832008,123318
"BRFSS",1997,0.00149868552458055,134578
"BRFSS",1998,0.0020244879180672,148351
"BRFSS",1999,0.00120173078610908,158712
"BRFSS",2000,0.00125063351503574,182254
"BRFSS",2001,0.00123942206597605,210243
"BRFSS",2002,0.00117256718982572,244597
"BRFSS",2003,0.000824770440361888,262303
"BRFSS",2004,0.000926870488771936,300898
"BRFSS",2005,0.000521107244801255,351846
"BRFSS",2006,0.00071836162346961,350139
"BRFSS",2007,0.000350470547992421,425583
"BRFSS",2008,0.000367490517406588,408885
"BRFSS",2009,0.000488538596553845,426540
"BRFSS",2010,0.000568004950149748,442811
"BRFSS",2011,0.000265192700071637,500301
"BRFSS",2012,0.000156431502186249,469066
"BRFSS",2013,0.000533404183407304,483071
"BRFSS",2014,0.000592703305305919,458088
"BRFSS",2015,0.000422146918590216,428915
"BRFSS",2016,0.000598008352525548,475367
"BRFSS",2017,0.0005317989060315,444860
"BRFSS",2018,0.000519841815813549,420058
"BRFSS",2019,0.00031501760045094,410815
"BRFSS",2020,0.00169562077589813,399275
"BRFSS",2021,0.000702168068392517,417011
"BRFSS",2022,0.000991200156479355,432875
"BRFSS",2023,0.000938632986720034,424575
"BRFSS",2024,0.000907550679590918,453816
"BRFSS",2025,0.000405917618049312,19184
"CPS",1996,0.00319921400512591,93785
"CPS",1997,0.0025724153054757,95179
"CPS",1998,0.00257957568248079,94976
"CPS",1999,0.0021542805696334,95791
"CPS",2000,0.00259457366761473,97217
"CPS",2001,0.00277774664260355,150186
"CPS",2002,0.00202799812440368,149879
"CPS",2003,0.00154842524386212,149844
"CPS",2004,0.00166596202869163,148180
"CPS",2005,0.00140913798172138,146518
"CPS",2006,0.00145182561595647,145752
"CPS",2007,0.00145335837856619,144918
"CPS",2008,0.00123302574478668,145609
"CPS",2009,0.00130077403355855,147163
"CPS",2010,0.00107625933132971,149071
"CPS",2011,0.00118893900004147,146785
