"dataset","year","model","model_name","r_squared","n"
"BRFSS",1993,1,"srh_age",0.0745675246705615,101548
"BRFSS",1993,2,"srh_sex",0.00204905344354323,101548
"BRFSS",1993,3,"srh_age_sex",0.0752569423965701,101548
"BRFSS",1993,4,"srh_age_sex_interaction",0.0752595713186806,101548
"BRFSS",1994,1,"srh_age",0.0684000444227845,105170
"BRFSS",1994,2,"srh_sex",0.00112261355546472,105170
"BRFSS",1994,3,"srh_age_sex",0.0686361674627717,105170
"BRFSS",1994,4,"srh_age_sex_interaction",0.0686488309884173,105170
"BRFSS",1995,1,"srh_age",0.0655915864614691,113274
"BRFSS",1995,2,"srh_sex",0.00176794271151637,113274
"BRFSS",1995,3,"srh_age_sex",0.06623882707035,113274
"BRFSS",1995,4,"srh_age_sex_interaction",0.0662526825113453,113274
"BRFSS",1996,1,"srh_age",0.0548781532482416,123318
"BRFSS",1996,2,"srh_sex",0.00093618676832008,123318
"BRFSS",1996,3,"srh_age_sex",0.0550673240840309,123318
"BRFSS",1996,4,"srh_age_sex_interaction",0.0550783488255263,123318
"BRFSS",1997,1,"srh_age",0.0590318054877966,134578
"BRFSS",1997,2,"srh_sex",0.00149868552458055,134578
"BRFSS",1997,3,"srh_age_sex",0.0594877104641592,134578
"BRFSS",1997,4,"srh_age_sex_interaction",0.0594878508296354,134578
"BRFSS",1998,1,"srh_age",0.0562926860550694,148351
"BRFSS",1998,2,"srh_sex",0.0020244879180672,148351
"BRFSS",1998,3,"srh_age_sex",0.0570742287852647,148351
"BRFSS",1998,4,"srh_age_sex_interaction",0.0570821491182987,148351
"BRFSS",1999,1,"srh_age",0.0513914027671054,158712
"BRFSS",1999,2,"srh_sex",0.00120173078610908,158712
"BRFSS",1999,3,"srh_age_sex",0.0517261329225631,158712
"BRFSS",1999,4,"srh_age_sex_interaction",0.051726134521109,158712
"BRFSS",2000,1,"srh_age",0.0553631308690732,182254
"BRFSS",2000,2,"srh_sex",0.00125063351503574,182254
"BRFSS",2000,3,"srh_age_sex",0.0557374783335408,182254
"BRFSS",2000,4,"srh_age_sex_interaction",0.0557393124524083,182254
"BRFSS",2001,1,"srh_age",0.056180596851483,210243
"BRFSS",2001,2,"srh_sex",0.00123942206597605,210243
"BRFSS",2001,3,"srh_age_sex",0.056525478363412,210243
"BRFSS",2001,4,"srh_age_sex_interaction",0.0565386090003274,210243
"BRFSS",2002,1,"srh_age",0.0554943410861986,244597
"BRFSS",2002,2,"srh_sex",0.00117256718982572,244597
"BRFSS",2002,3,"srh_age_sex",0.0558867590117667,244597
"BRFSS",2002,4,"srh_age_sex_interaction",0.055886893408705,244597
"BRFSS",2003,1,"srh_age",0.0536362983223398,262303
"BRFSS",2003,2,"srh_sex",0.000824770440361888,262303
"BRFSS",2003,3,"srh_age_sex",0.0538048400818136,262303
"BRFSS",2003,4,"srh_age_sex_interaction",0.0538050473658291,262303
"BRFSS",2004,1,"srh_age",0.0509884673240423,300898
"BRFSS",2004,2,"srh_sex",0.000926870488771936,300898
"BRFSS",2004,3,"srh_age_sex",0.0512465869681734,300898
"BRFSS",2004,4,"srh_age_sex_interaction",0.0512776488211849,300898
"BRFSS",2005,1,"srh_age",0.0456828724562047,351846
"BRFSS",2005,2,"srh_sex",0.000521107244801255,351846
"BRFSS",2005,3,"srh_age_sex",0.0457699358300944,351846
"BRFSS",2005,4,"srh_age_sex_interaction",0.0457708210280988,351846
"BRFSS",2006,1,"srh_age",0.0451816061622976,350139
"BRFSS",2006,2,"srh_sex",0.00071836162346961,350139
"BRFSS",2006,3,"srh_age_sex",0.0453559792007817,350139
"BRFSS",2006,4,"srh_age_sex_interaction",0.0453559953022711,350139
"BRFSS",2007,1,"srh_age",0.0427108045899064,425583
"BRFSS",2007,2,"srh_sex",0.000350470547992421,425583
"BRFSS",2007,3,"srh_age_sex",0.0427428023690175,425583
"BRFSS",2007,4,"srh_age_sex_interaction",0.0427515717910701,425583
"BRFSS",2008,1,"srh_age",0.0435670705636647,408885
"BRFSS",2008,2,"srh_sex",0.000367490517406588,408885
"BRFSS",2008,3,"srh_age_sex",0.0436067762340792,408885
"BRFSS",2008,4,"srh_age_sex_interaction",0.0436245382718539,408885
"BRFSS",2009,1,"srh_age",0.043407951836112,426540
"BRFSS",2009,2,"srh_sex",0.000488538596553845,426540
"BRFSS",2009,3,"srh_age_sex",0.0434933832223489,426540
"BRFSS",2009,4,"srh_age_sex_interaction",0.043536912455856,426540
"BRFSS",2010,1,"srh_age",0.0436627930425516,442811
"BRFSS",2010,2,"srh_sex",0.000568004950149748,442811
"BRFSS",2010,3,"srh_age_sex",0.0437665607577153,442811
"BRFSS",2010,4,"srh_age_sex_interaction",0.0438037485106754,442811
"BRFSS",2011,1,"srh_age",0.0417736261257867,500301
"BRFSS",2011,2,"srh_sex",0.000265192700071637,500301
"BRFSS",2011,3,"srh_age_sex",0.0417882231789234,500301
"BRFSS",2011,4,"srh_age_sex_interaction",0.0421658804242389,500301
"BRFSS",2012,1,"srh_age",0.0391449827750022,469066
"BRFSS",2012,2,"srh_sex",0.000156431502186249,469066
"BRFSS",2012,3,"srh_age_sex",0.0391476366339373,469066
"BRFSS",2012,4,"srh_age_sex_interaction",0.039778981725554,469066
"BRFSS",2013,1,"srh_age",0.0375198432393274,483071
"BRFSS",2013,2,"srh_sex",0.000533404183407304,483071
"BRFSS",2013,3,"srh_age_sex",0.0376884660854901,483071
"BRFSS",2013,4,"srh_age_sex_interaction",0.038197195976569,483071
"BRFSS",2014,1,"srh_age",0.037579420902994,458088
"BRFSS",2014,2,"srh_sex",0.000592703305305919,458088
"BRFSS",2014,3,"srh_age_sex",0.0377759629638094,458088
"BRFSS",2014,4,"srh_age_sex_interaction",0.0380954826804141,458088
"BRFSS",2015,1,"srh_age",0.0375659522123881,428915
"BRFSS",2015,2,"srh_sex",0.000422146918590216,428915
"BRFSS",2015,3,"srh_age_sex",0.0376784928854083,428915
"BRFSS",2015,4,"srh_age_sex_interaction",0.0381787130603146,428915
"BRFSS",2016,1,"srh_age",0.0374919645519073,475367
"BRFSS",2016,2,"srh_sex",0.000598008352525548,475367
"BRFSS",2016,3,"srh_age_sex",0.0377091568614838,475367
"BRFSS",2016,4,"srh_age_sex_interaction",0.03795130445709,475367
"BRFSS",2017,1,"srh_age",0.0319338179388005,444860
"BRFSS",2017,2,"srh_sex",0.0005317989060315,444860
"BRFSS",2017,3,"srh_age_sex",0.0321250386716898,444860
"BRFSS",2017,4,"srh_age_sex_interaction",0.032413873287485,444860
"BRFSS",2018,1,"srh_age",0.0330634552352106,420058
"BRFSS",2018,2,"srh_sex",0.000519841815813549,420058
"BRFSS",2018,3,"srh_age_sex",0.0332545292095692,420058
"BRFSS",2018,4,"srh_age_sex_interaction",0.0339258687109332,420058
"BRFSS",2019,1,"srh_age",0.0301247835943922,410815
"BRFSS",2019,2,"srh_sex",0.00031501760045094,410815
"BRFSS",2019,3,"srh_age_sex",0.0302081970035624,410815
"BRFSS",2019,4,"srh_age_sex_interaction",0.0304891249471189,410815
"BRFSS",2020,1,"srh_age",0.0479407681761967,399275
"BRFSS",2020,2,"srh_sex",0.00169562077589813,399275
"BRFSS",2020,3,"srh_age_sex",0.0488400707343496,399275
"BRFSS",2020,4,"srh_age_sex_interaction",0.0492721417989013,399275
"BRFSS",2021,1,"srh_age",0.0386647617784133,417011
"BRFSS",2021,2,"srh_sex",0.000702168068392517,417011
"BRFSS",2021,3,"srh_age_sex",0.0389370305940149,417011
"BRFSS",2021,4,"srh_age_sex_interaction",0.0394292510611123,417011
"BRFSS",2022,1,"srh_age",0.0292740319570393,432875
"BRFSS",2022,2,"srh_sex",0.000991200156479355,432875
"BRFSS",2022,3,"srh_age_sex",0.0298167284659806,432875
"BRFSS",2022,4,"srh_age_sex_interaction",0.0301718026094602,432875
"BRFSS",2023,1,"srh_age",0.0237630598384618,424575
"BRFSS",2023,2,"srh_sex",0.000938632986720034,424575
"BRFSS",2023,3,"srh_age_sex",0.024321287940955,424575
"BRFSS",2023,4,"srh_age_sex_interaction",0.0248731887490635,424575
"BRFSS",2024,1,"srh_age",0.0221931947258296,453816
"BRFSS",2024,2,"srh_sex",0.000907550679590918,453816
"BRFSS",2024,3,"srh_age_sex",0.0227244806373604,453816
"BRFSS",2024,4,"srh_age_sex_interaction",0.0232540928558519,453816
"BRFSS",2025,1,"srh_age",0.0160285329733602,19184
"BRFSS",2025,2,"srh_sex",0.000405917618049312,19184
"BRFSS",2025,3,"srh_age_sex",0.016301669367462,19184
"BRFSS",2025,4,"srh_age_sex_interaction",0.0169029627912244,19184
"CPS",1996,1,"srh_age",0.150563347059588,93785
"CPS",1996,2,"srh_sex",0.00319921400512591,93785
"CPS",1996,3,"srh_age_sex",0.151805129319173,93785
"CPS",1996,4,"srh_age_sex_interaction",0.151807625779662,93785
"CPS",1997,1,"srh_age",0.14293662245986,95179
"CPS",1997,2,"srh_sex",0.0025724153054757,95179
"CPS",1997,3,"srh_age_sex",0.143872342885241,95179
"CPS",1997,4,"srh_age_sex_interaction",0.143872524541013,95179
"CPS",1998,1,"srh_age",0.139618195797056,94976
"CPS",1998,2,"srh_sex",0.00257957568248079,94976
"CPS",1998,3,"srh_age_sex",0.140601047474835,94976
"CPS",1998,4,"srh_age_sex_interaction",0.140604034196877,94976
"CPS",1999,1,"srh_age",0.137437738731132,95791
"CPS",1999,2,"srh_sex",0.0021542805696334,95791
"CPS",1999,3,"srh_age_sex",0.138247454902402,95791
"CPS",1999,4,"srh_age_sex_interaction",0.138265085972527,95791
"CPS",2000,1,"srh_age",0.136066652936424,97217
"CPS",2000,2,"srh_sex",0.00259457366761473,97217
"CPS",2000,3,"srh_age_sex",0.137173852946126,97217
"CPS",2000,4,"srh_age_sex_interaction",0.137189139246436,97217
"CPS",2001,1,"srh_age",0.140673416857255,150186
"CPS",2001,2,"srh_sex",0.00277774664260355,150186
"CPS",2001,3,"srh_age_sex",0.1417399601111,150186
"CPS",2001,4,"srh_age_sex_interaction",0.141744013695851,150186
"CPS",2002,1,"srh_age",0.128981827276077,149879
"CPS",2002,2,"srh_sex",0.00202799812440368,149879
"CPS",2002,3,"srh_age_sex",0.129699190533629,149879
"CPS",2002,4,"srh_age_sex_interaction",0.129721735652964,149879
"CPS",2003,1,"srh_age",0.131897299648307,149844
"CPS",2003,2,"srh_sex",0.00154842524386212,149844
"CPS",2003,3,"srh_age_sex",0.132348216196745,149844
"CPS",2003,4,"srh_age_sex_interaction",0.132403822117228,149844
"CPS",2004,1,"srh_age",0.126829516627454,148180
"CPS",2004,2,"srh_sex",0.00166596202869163,148180
"CPS",2004,3,"srh_age_sex",0.127313861333256,148180
"CPS",2004,4,"srh_age_sex_interaction",0.127319993602722,148180
"CPS",2005,1,"srh_age",0.127093858520996,146518
"CPS",2005,2,"srh_sex",0.00140913798172138,146518
"CPS",2005,3,"srh_age_sex",0.127504691589148,146518
"CPS",2005,4,"srh_age_sex_interaction",0.127536247582302,146518
"CPS",2006,1,"srh_age",0.12608673499146,145752
"CPS",2006,2,"srh_sex",0.00145182561595647,145752
"CPS",2006,3,"srh_age_sex",0.126485918786636,145752
"CPS",2006,4,"srh_age_sex_interaction",0.126486669133577,145752
"CPS",2007,1,"srh_age",0.126355780818477,144918
"CPS",2007,2,"srh_sex",0.00145335837856619,144918
"CPS",2007,3,"srh_age_sex",0.126747797971069,144918
"CPS",2007,4,"srh_age_sex_interaction",0.126750213641981,144918
"CPS",2008,1,"srh_age",0.12000926317735,145609
"CPS",2008,2,"srh_sex",0.00123302574478668,145609
"CPS",2008,3,"srh_age_sex",0.120310323987556,145609
"CPS",2008,4,"srh_age_sex_interaction",0.12032466621436,145609
"CPS",2009,1,"srh_age",0.11896571745532,147163
"CPS",2009,2,"srh_sex",0.00130077403355855,147163
"CPS",2009,3,"srh_age_sex",0.11931249060853,147163
"CPS",2009,4,"srh_age_sex_interaction",0.119315205625587,147163
"CPS",2010,1,"srh_age",0.111507508438224,149071
"CPS",2010,2,"srh_sex",0.00107625933132971,149071
"CPS",2010,3,"srh_age_sex",0.111832192995778,149071
"CPS",2010,4,"srh_age_sex_interaction",0.111868077173175,149071
"CPS",2011,1,"srh_age",0.117256812728079,146785
"CPS",2011,2,"srh_sex",0.00118893900004147,146785
"CPS",2011,3,"srh_age_sex",0.11766229082398,146785
"CPS",2011,4,"srh_age_sex_interaction",0.117667348198705,146785
"CPS",2012,1,"srh_age",0.116144721268997,144803
"CPS",2012,2,"srh_sex",0.00107065132926787,144803
"CPS",2012,3,"srh_age_sex",0.116484363159175,144803
"CPS",2012,4,"srh_age_sex_interaction",0.11649808379344,144803
