"dataset","year","stratum","beta_age","se","p_value","n"
"BRFSS",1993,"Male",-0.0161731934420439,0.000447707752704073,1.62964947721399e-281,42808
"BRFSS",1993,"Female",-0.0159793263495251,0.000348878195198908,0,58740
"BRFSS",1994,"Male",-0.0157534988173579,0.000472812326377641,2.20322331817415e-240,43543
"BRFSS",1994,"Female",-0.0153254918958177,0.000352267504862878,0,61627
"BRFSS",1995,"Male",-0.0150340260663737,0.000468110714302508,6.85365368409961e-224,47134
"BRFSS",1995,"Female",-0.015484752486688,0.000365799313600422,0,66140
"BRFSS",1996,"Male",-0.0141652172481342,0.00042532196397889,1.29609298631508e-240,50856
"BRFSS",1996,"Female",-0.0137647173665996,0.000324754297657052,0,72462
"BRFSS",1997,"Male",-0.0144716713427523,0.000411518928495988,5.64960984366599e-268,55780
"BRFSS",1997,"Female",-0.0144264525092356,0.000311237876603202,0,78798
"BRFSS",1998,"Male",-0.0139709563704658,0.000409225078743435,4.6900602744062e-253,60865
"BRFSS",1998,"Female",-0.0143126875491776,0.000310887542225767,0,87486
"BRFSS",1999,"Male",-0.0135286796463233,0.000403848871719186,6.00762875598694e-244,64907
"BRFSS",1999,"Female",-0.0135335205442897,0.000319571587585396,0,93805
"BRFSS",2000,"Male",-0.0141550122505408,0.000386959287924254,2.34825546550493e-290,74051
"BRFSS",2000,"Female",-0.0139910444612195,0.000307705702143216,0,108203
"BRFSS",2001,"Male",-0.014001370748405,0.000363494675205243,7.90505033345994e-322,85770
"BRFSS",2001,"Female",-0.0144427336231123,0.00028240681730914,0,124473
"BRFSS",2002,"Male",-0.014272904726626,0.00036579794442614,0,98227
"BRFSS",2002,"Female",-0.0143179426357074,0.000283177497961832,0,146370
"BRFSS",2003,"Male",-0.0137808735148284,0.000345893991537389,0,103770
"BRFSS",2003,"Female",-0.0138357704877109,0.000272039766580757,0,158533
"BRFSS",2004,"Male",-0.0131000135056488,0.000369622982019921,1.13019288938786e-273,116641
"BRFSS",2004,"Female",-0.0137724654263836,0.000263985635702329,0,184257
"BRFSS",2005,"Male",-0.012688695702683,0.000345770084498849,2.31706711215296e-293,134889
"BRFSS",2005,"Female",-0.0128020200855151,0.000240613290850364,0,216957
"BRFSS",2006,"Male",-0.0125890912891132,0.00037587861729237,6.46733418047133e-245,133750
"BRFSS",2006,"Female",-0.0125739161265236,0.000283946464291388,0,216389
"BRFSS",2007,"Male",-0.0122755140265093,0.000343653180087752,2.41734910029549e-278,159104
