"year","age_group","stratum","mean_srh","n","dataset"
1993,"18-29","Female",3.85367061470491,11127,"BRFSS"
1993,"18-29","Male",3.94806020750957,9016,"BRFSS"
1993,"30-39","Female",3.89207512738513,13612,"BRFSS"
1993,"30-39","Male",3.90976824153234,10731,"BRFSS"
1993,"40-49","Female",3.76990231634474,10671,"BRFSS"
1993,"40-49","Male",3.82282574285614,8494,"BRFSS"
1993,"50-59","Female",3.53193552819761,7169,"BRFSS"
1993,"50-59","Male",3.61836248607825,5338,"BRFSS"
1993,"60-69","Female",3.28137518868196,7209,"BRFSS"
1993,"60-69","Male",3.25675377679278,4936,"BRFSS"
1993,"70-79","Female",3.02484624976637,6180,"BRFSS"
1993,"70-79","Male",3.12322978157936,3297,"BRFSS"
1993,"80-89","Female",2.94233883456472,2772,"BRFSS"
1993,"80-89","Male",2.96277090704425,996,"BRFSS"
1994,"18-29","Female",3.84016819328715,11227,"BRFSS"
1994,"18-29","Male",3.90518722976252,8780,"BRFSS"
1994,"30-39","Female",3.88524883979417,14126,"BRFSS"
1994,"30-39","Male",3.89174677264346,10607,"BRFSS"
1994,"40-49","Female",3.7485360414504,11289,"BRFSS"
1994,"40-49","Male",3.78861053983041,9103,"BRFSS"
1994,"50-59","Female",3.53893558310004,7589,"BRFSS"
1994,"50-59","Male",3.58618630920276,5545,"BRFSS"
1994,"60-69","Female",3.28609799755466,7658,"BRFSS"
1994,"60-69","Male",3.23336946603656,5024,"BRFSS"
1994,"70-79","Female",3.07003248180125,6653,"BRFSS"
1994,"70-79","Male",3.14185591178358,3372,"BRFSS"
1994,"80-89","Female",2.90313505227806,3085,"BRFSS"
1994,"80-89","Male",2.86561992893973,1112,"BRFSS"
1995,"18-29","Female",3.83490975912257,11592,"BRFSS"
1995,"18-29","Male",3.88635723488053,9325,"BRFSS"
1995,"30-39","Female",3.85392126928687,15151,"BRFSS"
1995,"30-39","Male",3.90295015408588,11334,"BRFSS"
1995,"40-49","Female",3.71644865582032,12683,"BRFSS"
1995,"40-49","Male",3.80099920956168,9874,"BRFSS"
1995,"50-59","Female",3.54514922303646,8412,"BRFSS"
1995,"50-59","Male",3.56285945154187,6093,"BRFSS"
1995,"60-69","Female",3.29014872476284,7845,"BRFSS"
1995,"60-69","Male",3.33770873298415,5344,"BRFSS"
1995,"70-79","Female",3.04107034735548,7059,"BRFSS"
1995,"70-79","Male",3.0823036439921,3877,"BRFSS"
1995,"80-89","Female",2.89069343752815,3398,"BRFSS"
1995,"80-89","Male",2.9376046970987,1287,"BRFSS"
1996,"18-29","Female",3.78002313466491,12429,"BRFSS"
1996,"18-29","Male",3.84953859059481,9841,"BRFSS"
1996,"30-39","Female",3.83377825820531,16294,"BRFSS"
1996,"30-39","Male",3.84752921616719,11832,"BRFSS"
