age_group,year,mean_srh,se,ci_lower,ci_upper
18-29,1993,3.9019,0.0104,3.8815,3.9222
18-29,1994,3.8731,0.0104,3.8528,3.8934
18-29,1995,3.8612,0.011,3.8396,3.8827
18-29,1996,3.8156,0.0098,3.7965,3.8348
18-29,1997,3.8528,0.0096,3.834,3.8715
18-29,1998,3.8222,0.0094,3.8038,3.8406
18-29,1999,3.8191,0.0097,3.8,3.8381
18-29,2000,3.796,0.0093,3.7776,3.8143
18-29,2001,3.8194,0.0087,3.8023,3.8365
18-29,2002,3.8005,0.0093,3.7823,3.8188
18-29,2003,3.7813,0.0093,3.7632,3.7994
18-29,2004,3.756,0.0101,3.7361,3.7759
18-29,2005,3.7311,0.0097,3.7122,3.7501
18-29,2006,3.7379,0.0115,3.7154,3.7604
18-29,2007,3.722,0.011,3.7005,3.7436
18-29,2008,3.7525,0.0104,3.7322,3.7728
18-29,2009,3.7566,0.0106,3.7358,3.7774
18-29,2010,3.7749,0.0102,3.755,3.7949
18-29,2011,3.7315,0.0081,3.7157,3.7473
18-29,2012,3.7474,0.0082,3.7313,3.7636
18-29,2013,3.7418,0.0076,3.7269,3.7566
18-29,2014,3.7599,0.0077,3.7447,3.7751
18-29,2015,3.7505,0.008,3.7348,3.7662
18-29,2016,3.7577,0.0074,3.7432,3.7721
18-29,2017,3.7057,0.0082,3.6896,3.7219
18-29,2018,3.7076,0.0079,3.6922,3.723
18-29,2019,3.6795,0.008,3.6638,3.6952
18-29,2020,3.8774,0.0091,3.8595,3.8952
18-29,2021,3.766,0.0085,3.7494,3.7825
18-29,2022,3.6734,0.0085,3.6568,3.69
18-29,2023,3.6016,0.0088,3.5844,3.6187
18-29,2024,3.5385,0.0419,3.4563,3.6207
30-39,1993,3.9008,0.009,3.8832,3.9185
30-39,1994,3.8885,0.0093,3.8701,3.9068
30-39,1995,3.8782,0.0098,3.859,3.8974
30-39,1996,3.8406,0.009,3.823,3.8582
30-39,1997,3.8378,0.0089,3.8204,3.8552
30-39,1998,3.8536,0.0088,3.8364,3.8708
30-39,1999,3.804,0.0091,3.7862,3.8219
30-39,2000,3.7912,0.0088,3.774,3.8085
30-39,2001,3.7897,0.009,3.7721,3.8073
30-39,2002,3.7742,0.0084,3.7578,3.7906
30-39,2003,3.767,0.0083,3.7508,3.7833
30-39,2004,3.7579,0.0082,3.7417,3.774
30-39,2005,3.7354,0.0082,3.7193,3.7516
30-39,2006,3.7397,0.0091,3.7219,3.7575
30-39,2007,3.7284,0.0089,3.711,3.7458
30-39,2008,3.7315,0.0079,3.716,3.7471
30-39,2009,3.7482,0.0082,3.7321,3.7643
30-39,2010,3.737,0.0079,3.7214,3.7525
30-39,2011,3.6373,0.008,3.6217,3.6529
30-39,2012,3.6303,0.0085,3.6135,3.647
30-39,2013,3.6316,0.008,3.6159,3.6473
30-39,2014,3.6253,0.0087,3.6083,3.6423
30-39,2015,3.6425,0.0081,3.6266,3.6584
30-39,2016,3.6223,0.008,3.6067,3.6379
30-39,2017,3.5946,0.0086,3.5778,3.6115
30-39,2018,3.5905,0.0084,3.5741,3.607
30-39,2019,3.5783,0.0085,3.5617,3.5949
30-39,2020,3.7881,0.009,3.7705,3.8057
30-39,2021,3.6794,0.009,3.6618,3.697
30-39,2022,3.6109,0.0085,3.5943,3.6276
30-39,2023,3.5297,0.009,3.5122,3.5473
30-39,2024,3.5253,0.0345,3.4576,3.5929
40-49,1993,3.7962,0.011,3.7746,3.8178
40-49,1994,3.7688,0.0114,3.7465,3.791
40-49,1995,3.758,0.0151,3.7284,3.7876
40-49,1996,3.7333,0.0099,3.7139,3.7528
40-49,1997,3.7274,0.0098,3.7082,3.7466
40-49,1998,3.7084,0.0099,3.6889,3.7278
40-49,1999,3.6933,0.0096,3.6744,3.7121
40-49,2000,3.6586,0.0099,3.6392,3.678
40-49,2001,3.6285,0.0092,3.6105,3.6464
40-49,2002,3.6156,0.0089,3.5982,3.633
40-49,2003,3.6155,0.0087,3.5984,3.6326
40-49,2004,3.608,0.0087,3.591,3.625
40-49,2005,3.6157,0.0081,3.5998,3.6316
