age_group,year,mean_srh,se,ci_lower,ci_upper
18-29,1996,4.1229,0.0072,4.1088,4.137
18-29,1997,4.1264,0.0071,4.1124,4.1404
18-29,1998,4.0965,0.0073,4.0823,4.1108
18-29,1999,4.1069,0.0072,4.0928,4.121
18-29,2000,4.1074,0.0072,4.0932,4.1215
18-29,2001,4.114,0.0061,4.102,4.1259
18-29,2002,4.0847,0.0061,4.0728,4.0967
18-29,2003,4.0995,0.006,4.0877,4.1112
18-29,2004,4.1046,0.0063,4.0923,4.1169
18-29,2005,4.0968,0.0061,4.0848,4.1088
18-29,2006,4.0927,0.0061,4.0807,4.1048
18-29,2007,4.0927,0.0062,4.0806,4.1049
18-29,2008,4.1102,0.0062,4.098,4.1223
18-29,2009,4.0862,0.0062,4.0739,4.0984
18-29,2010,4.0643,0.0061,4.0524,4.0761
18-29,2011,4.0821,0.0061,4.07,4.0941
18-29,2012,4.0927,0.0062,4.0805,4.1049
18-29,2013,4.1072,0.0063,4.0949,4.1196
18-29,2014,4.1163,0.0072,4.1022,4.1304
18-29,2015,4.1208,0.0063,4.1086,4.1331
18-29,2016,4.1296,0.0065,4.1169,4.1423
18-29,2017,4.1188,0.0065,4.106,4.1317
18-29,2018,4.1263,0.0066,4.1134,4.1393
18-29,2019,4.0404,0.0069,4.0268,4.054
18-29,2020,4.0913,0.0075,4.0767,4.106
18-29,2021,4.0477,0.0073,4.0334,4.062
18-29,2022,4.0244,0.0077,4.0093,4.0395
18-29,2023,4.0053,0.0078,3.9901,4.0205
18-29,2024,4.0109,0.0079,3.9955,4.0263
30-39,1996,3.9939,0.0078,3.9786,4.0091
30-39,1997,3.9795,0.0077,3.9643,3.9947
30-39,1998,3.9741,0.0078,3.9588,3.9894
30-39,1999,3.988,0.0078,3.9727,4.0032
30-39,2000,4.0118,0.0077,3.9968,4.0269
30-39,2001,4.0065,0.0063,3.9943,4.0188
30-39,2002,3.971,0.0063,3.9586,3.9834
30-39,2003,3.9825,0.0065,3.9698,3.9951
30-39,2004,3.9703,0.0067,3.9571,3.9834
30-39,2005,3.9609,0.0068,3.9475,3.9742
30-39,2006,3.9693,0.0068,3.9559,3.9826
30-39,2007,3.9708,0.0068,3.9574,3.9841
30-39,2008,3.9709,0.0069,3.9574,3.9844
30-39,2009,3.9392,0.007,3.9256,3.9529
30-39,2010,3.9072,0.0069,3.8937,3.9206
30-39,2011,3.9236,0.0069,3.91,3.9372
30-39,2012,3.9349,0.0071,3.921,3.9489
30-39,2013,3.9378,0.0069,3.9242,3.9514
30-39,2014,3.9383,0.0078,3.9231,3.9535
30-39,2015,3.9452,0.0069,3.9316,3.9587
30-39,2016,3.9578,0.0071,3.9438,3.9717
30-39,2017,3.9559,0.0071,3.9421,3.9698
30-39,2018,3.9637,0.0071,3.9498,3.9776
30-39,2019,3.9278,0.0072,3.9137,3.9419
30-39,2020,3.9642,0.0078,3.949,3.9794
30-39,2021,3.9107,0.0075,3.896,3.9254
30-39,2022,3.8868,0.008,3.8712,3.9024
30-39,2023,3.8686,0.0079,3.8531,3.8842
30-39,2024,3.8519,0.0079,3.8363,3.8675
40-49,1996,3.8072,0.0087,3.7902,3.8243
40-49,1997,3.7485,0.009,3.731,3.7661
40-49,1998,3.7786,0.0086,3.7619,3.7954
40-49,1999,3.7963,0.0084,3.7799,3.8127
40-49,2000,3.8002,0.0084,3.7838,3.8166
