age_group,year,mean_srh,se,ci_lower,ci_upper
18-29,1972,3.295,0.0355,3.2254,3.3646
18-29,1973,3.2463,0.0429,3.1623,3.3304
18-29,1974,3.3124,0.037,3.2399,3.3848
18-29,1975,3.2423,0.0397,3.1646,3.3201
18-29,1976,3.3168,0.0391,3.2402,3.3934
18-29,1977,3.2292,0.0448,3.1415,3.317
18-29,1980,3.2934,0.0403,3.2144,3.3724
18-29,1982,3.2204,0.0368,3.1483,3.2926
18-29,1984,3.2318,0.0359,3.1614,3.3022
18-29,1985,3.2796,0.0398,3.2016,3.3575
18-29,1987,3.3172,0.0363,3.246,3.3884
18-29,1988,3.1942,0.0518,3.0927,3.2958
18-29,1989,3.2848,0.0542,3.1786,3.3911
18-29,1990,3.24,0.0614,3.1197,3.3602
18-29,1991,3.2598,0.0611,3.14,3.3796
18-29,1993,3.2142,0.064,3.0887,3.3396
18-29,1994,3.248,0.0445,3.1609,3.3351
18-29,1996,3.195,0.0374,3.1217,3.2682
18-29,1998,3.2558,0.035,3.1872,3.3244
18-29,2000,3.2128,0.0363,3.1415,3.284
18-29,2002,3.1639,0.0471,3.0717,3.2561
18-29,2004,3.1555,0.0549,3.048,3.2631
18-29,2006,3.2176,0.0354,3.1482,3.2871
18-29,2008,3.1242,0.0551,3.0162,3.2323
18-29,2010,3.1273,0.0631,3.0035,3.251
18-29,2012,3.1793,0.063,3.0559,3.3027
18-29,2014,3.0427,0.0544,2.9361,3.1493
18-29,2016,2.97,0.0622,2.8482,3.0918
18-29,2018,2.9703,0.0562,2.8602,3.0804
18-29,2021,2.9951,0.0463,2.9043,3.0858
18-29,2022,3.0696,0.0437,2.9839,3.1552
30-39,1972,3.2469,0.0453,3.158,3.3357
30-39,1973,3.1976,0.0533,3.0932,3.302
30-39,1974,3.2058,0.0461,3.1154,3.2962
30-39,1975,3.1745,0.0558,3.0652,3.2839
30-39,1976,3.244,0.047,3.1518,3.3362
30-39,1977,3.2559,0.0447,3.1683,3.3434
30-39,1980,3.2266,0.0443,3.1397,3.3134
30-39,1982,3.1862,0.0426,3.1027,3.2696
30-39,1984,3.1636,0.0386,3.088,3.2392
30-39,1985,3.2291,0.0445,3.1418,3.3164
30-39,1987,3.1905,0.0369,3.1181,3.2629
30-39,1988,3.2912,0.0498,3.1936,3.3888
30-39,1989,3.3209,0.05,3.2228,3.4189
30-39,1990,3.2134,0.0465,3.1222,3.3046
30-39,1991,3.2549,0.0502,3.1566,3.3533
30-39,1993,3.1923,0.0455,3.1032,3.2814
30-39,1994,3.1922,0.035,3.1236,3.2608
30-39,1996,3.2196,0.0323,3.1564,3.2828
30-39,1998,3.2237,0.0298,3.1653,3.2822
30-39,2000,3.2407,0.0336,3.1748,3.3066
30-39,2002,3.1446,0.0393,3.0677,3.2216
30-39,2004,3.1626,0.0449,3.0746000000000002,3.2507
30-39,2006,3.0806,0.0359,3.0102,3.1511
30-39,2008,3.0867,0.0613,2.9667,3.2068
30-39,2010,3.0278,0.0647,2.901,3.1546
30-39,2012,3.0624,0.0633,2.9383,3.1864
30-39,2014,3.0913,0.0459,3.0013,3.1812
30-39,2016,3.0032,0.054,2.8973,3.1092
30-39,2018,2.9422,0.0495,2.8451,3.0393
30-39,2021,2.8885,0.0314,2.827,2.95
30-39,2022,2.8639,0.0487,2.7685,2.9594
40-49,1972,3.0647,0.0496,2.9676,3.1619
40-49,1973,2.9355,0.0659,2.8063,3.0647
40-49,1974,3.0872,0.0558,2.9778,3.1966
40-49,1975,3.0723,0.0583,2.9581,3.1865
40-49,1976,2.9685,0.0649,2.8412,3.0958
40-49,1977,3.0574,0.056,2.9477,3.1672
40-49,1980,2.9893,0.0593,2.873,3.1056
