age_group,year,mean_srh,se,ci_lower,ci_upper
18-29,2001.5,3.5393,0.0341,3.4719,3.6067
18-29,2003.5,3.6417,0.0219,3.5985,3.6849
18-29,2005.5,3.5375,0.0463,3.4461,3.629
18-29,2007.5,3.5351,0.0525,3.4313,3.6388
18-29,2009.5,3.4111,0.0262,3.3592,3.4629
18-29,2011.5,3.5911,0.0608,3.4709,3.7114
18-29,2013.5,3.3875,0.0365,3.3154,3.4597
18-29,2015.5,3.429,0.0383,3.3533,3.5048
18-29,2017.5,3.3894,0.0418,3.3067,3.4721
30-39,2001.5,3.5546,0.02,3.515,3.5942
30-39,2003.5,3.4946,0.0435,3.4086,3.5806
30-39,2005.5,3.4696,0.0438,3.3831,3.5562
30-39,2007.5,3.531,0.057,3.4182,3.6437
30-39,2009.5,3.4054,0.0393,3.3277,3.4831
30-39,2011.5,3.4644,0.0563,3.3531,3.5757
30-39,2013.5,3.3768,0.0347,3.3081,3.4454
30-39,2015.5,3.3052,0.0472,3.212,3.3985
30-39,2017.5,3.4052,0.0422,3.3217,3.4886
40-49,2001.5,3.5577,0.0542,3.4504,3.6649
40-49,2003.5,3.4372,0.0414,3.3553,3.519
40-49,2005.5,3.3533,0.0519,3.2507,3.4559
40-49,2007.5,3.316,0.0448,3.2275,3.4045
40-49,2009.5,3.3306,0.0294,3.2724,3.3889
40-49,2011.5,3.3314,0.052,3.2286,3.4341
40-49,2013.5,3.2827,0.0503,3.1833,3.3822
40-49,2015.5,3.3344,0.068,3.2001,3.4688
40-49,2017.5,3.1782,0.0602,3.0591,3.2972
50-59,2001.5,3.4644,0.0469,3.3716,3.5572
50-59,2003.5,3.2454,0.0861,3.0752,3.4157
50-59,2005.5,3.3307,0.0551,3.2217,3.4397
50-59,2007.5,3.3004,0.0657,3.1705,3.4304
50-59,2009.5,3.2997,0.0404,3.2198,3.3796
50-59,2011.5,3.2624,0.0594,3.1448,3.3799
50-59,2013.5,3.2185,0.0771,3.0661,3.3709
50-59,2015.5,3.2095,0.0801,3.0512,3.3679
50-59,2017.5,3.2835,0.0654,3.1542,3.4128
60-69,2001.5,3.305,0.057,3.1924,3.4176
60-69,2003.5,3.2956,0.0729,3.1515,3.4397
60-69,2005.5,3.328,0.0671,3.1952,3.4607
60-69,2007.5,3.2459,0.0741,3.0993,3.3925
60-69,2009.5,3.3202,0.0568,3.2079,3.4325
60-69,2011.5,3.4156,0.0473,3.3222,3.5091
60-69,2013.5,3.1727,0.0707,3.0329,3.3126
60-69,2015.5,3.2844,0.0725,3.1411,3.4277
60-69,2017.5,3.2621000000000002,0.0777,3.1084,3.4158
70-79,2001.5,3.1805,0.0578,3.0662,3.2948
70-79,2003.5,3.0864,0.0731,2.9419,3.231
70-79,2005.5,3.2479,0.0448,3.1593,3.3365
70-79,2007.5,3.124,0.0503,3.0246,3.2235
70-79,2009.5,3.2738,0.0466,3.1816,3.366
70-79,2011.5,3.2158,0.0523,3.1124,3.3191
70-79,2013.5,3.1872,0.0406,3.1068,3.2675
70-79,2015.5,3.3046,0.0811,3.1443,3.4649
70-79,2017.5,3.1964,0.0717,3.0547,3.3381
80-89,2001.5,3.0403,0.0606,2.9205,3.1602
80-89,2003.5,3.0787,0.0535,2.9729,3.1845
80-89,2005.5,3.063,0.0457,2.9727,3.1532
80-89,2007.5,3.0424,0.0589,2.9259,3.1588
80-89,2009.5,3.1468,0.0536,3.0407,3.2528
80-89,2011.5,3.1508,0.0641,3.024,3.2776
80-89,2013.5,3.15,0.0614,3.0287,3.2714
80-89,2015.5,3.2523,0.0904,3.0736,3.4311
80-89,2017.5,3.2646,0.0669,3.1323,3.3969
