age_group,year,mean_srh,se,ci_lower,ci_upper
18-29,1983,4.159,0.0117,4.1362,4.1819
18-29,1985,4.1687,0.0132,4.1428,4.1946
18-29,1987,4.141,0.0118,4.1179,4.1641
18-29,1988,4.1374,0.012,4.1138,4.161
18-29,1989,4.1543,0.0122,4.1304,4.1782
18-29,1990,4.1621,0.0135,4.1357,4.1885
18-29,1991,4.1208,0.0121,4.097,4.1446
18-29,1992,4.0991,0.0143,4.0709,4.1272
18-29,1993,4.0662,0.0134,4.0399,4.0925
18-29,1997,4.1415,0.0137,4.1146,4.1684
18-29,1998,4.1701,0.0143,4.142,4.1981
18-29,1999,4.187,0.0152,4.1572,4.2168
18-29,2000,4.1686,0.0134,4.1423,4.1948
18-29,2001,4.1663,0.0134,4.1401,4.1926
18-29,2002,4.1473,0.0136,4.1206,4.1739
18-29,2003,4.1244,0.0148,4.0955,4.1534
18-29,2004,4.142,0.0149,4.1128,4.1711
18-29,2005,4.133,0.0144,4.1047,4.1613
18-29,2006,4.1102,0.0166,4.0776,4.1427
18-29,2007,4.1288,0.0178,4.0938,4.1637
18-29,2008,4.1243,0.0191,4.0869,4.1618
18-29,2009,4.1467,0.0182,4.1111,4.1824
18-29,2010,4.078,0.0165,4.0456,4.1103
18-29,2011,4.1078,0.016,4.0764,4.1392
18-29,2012,4.1116,0.0176,4.0771,4.146
18-29,2013,4.1367,0.017,4.1033,4.17
18-29,2014,4.1408,0.0167,4.1081,4.1735
18-29,2015,4.1199,0.0176,4.0854,4.1544
18-29,2016,4.1318,0.0177,4.0972,4.1664
18-29,2017,4.1135,0.0199,4.0745,4.1525
18-29,2018,4.1118,0.0201,4.0723,4.1513
18-29,2019,4.0106,0.0197,3.9719,4.0492
18-29,2020,4.0742,0.0193,4.0363,4.1121
18-29,2021,4.0764,0.019,4.0391,4.1136
18-29,2022,3.9765,0.0185,3.9403,4.0127
18-29,2023,3.946,0.0183,3.9101,3.982
30-39,1983,4.0707,0.0135,4.0443,4.0972
30-39,1985,4.0869,0.0126,4.0622,4.1117
30-39,1987,4.0872,0.0109,4.0659,4.1085
30-39,1988,4.059,0.0139,4.0319,4.0862
30-39,1989,4.0847,0.0127,4.0598,4.1096
30-39,1990,4.0845,0.0117,4.0616,4.1074
30-39,1991,4.0535,0.0116,4.0308,4.0761
30-39,1992,4.0011,0.0152,3.9714,4.0309
30-39,1993,4.0088,0.0127,3.9839,4.0337
30-39,1997,4.08,0.0125,4.0554,4.1045
30-39,1998,4.0622,0.0124,4.0379,4.0865
30-39,1999,4.0815,0.0133,4.0554,4.1076
