survey,year,coefficient,se,t_value,p_value,ci_lower,ci_upper,n_unweighted
BRFSS,1993,-0.016174,2.77e-4,-58.399247,0,-0.016717,-0.015631,101548
BRFSS,1994,-0.015578,2.86e-4,-54.462844,0,-0.016138,-0.015017,105170
BRFSS,1995,-0.015383,2.9e-4,-53.019171,0,-0.015952,-0.014815,113274
BRFSS,1996,-0.014002,2.6e-4,-53.824478,0,-0.014512,-0.013492,123318
BRFSS,1997,-0.014538,2.52e-4,-57.743944,0,-0.015032,-0.014045,134578
BRFSS,1998,-0.014282,2.51e-4,-56.983836,0,-0.014773,-0.013791,148351
BRFSS,1999,-0.013611,2.53e-4,-53.817153,0,-0.014107,-0.013115,158712
BRFSS,2000,-0.014145,2.43e-4,-58.279154,0,-0.01462,-0.013669,182254
BRFSS,2001,-0.014324,2.25e-4,-63.568232,0,-0.014765,-0.013882,210243
BRFSS,2002,-0.014372,2.27e-4,-63.315113,0,-0.014817,-0.013927,244597
BRFSS,2003,-0.013864,2.16e-4,-64.178632,0,-0.014287,-0.013441,262303
BRFSS,2004,-0.01353,2.22e-4,-61.018186,0,-0.013965,-0.013096,300898
BRFSS,2005,-0.012786,2.06e-4,-62.215325,0,-0.013189,-0.012383,351846
BRFSS,2006,-0.012631,2.32e-4,-54.400513,0,-0.013086,-0.012176,350139
BRFSS,2007,-0.012493,2.06e-4,-60.680755,0,-0.012897,-0.012089,425583
BRFSS,2008,-0.0124,1.94e-4,-63.80726,0,-0.012781,-0.012019,408885
BRFSS,2009,-0.012429,1.91e-4,-65.000595,0,-0.012804,-0.012055,426540
BRFSS,2010,-0.012686,1.75e-4,-72.650359,0,-0.013029,-0.012344,442811
BRFSS,2011,-0.0121,1.62e-4,-74.493347,0,-0.012419,-0.011782,500301
BRFSS,2012,-0.011682,1.7e-4,-68.691332,0,-0.012015,-0.011349,469066
BRFSS,2013,-0.011348,1.62e-4,-69.940965,0,-0.011666,-0.01103,483071
BRFSS,2014,-0.011322,1.65e-4,-68.535578,0,-0.011646,-0.010998,458088
BRFSS,2015,-0.011173,1.67e-4,-67.050441,0,-0.0115,-0.010847,428915
BRFSS,2016,-0.011189,1.65e-4,-67.777988,0,-0.011513,-0.010866,475409
BRFSS,2017,-0.010274,1.82e-4,-56.518287,0,-0.01063,-0.009918,445051
BRFSS,2018,-0.010356,1.8e-4,-57.43102,0,-0.010709,-0.010003,420810
BRFSS,2019,-0.009852,1.71e-4,-57.69302,0,-0.010187,-0.009517,410845
BRFSS,2020,-0.012147,1.96e-4,-62.047763,0,-0.01253,-0.011763,399275
BRFSS,2021,-0.010873,1.95e-4,-55.682899,0,-0.011256,-0.01049,417011
BRFSS,2022,-0.00946,1.81e-4,-52.337274,0,-0.009814,-0.009106,432875
BRFSS,2023,-0.008412,1.84e-4,-45.782831,0,-0.008772,-0.008052,424575
BRFSS,2024,-0.007937,8.03e-4,-9.888418,0,-0.009511,-0.006364,24838
