survey,year,coefficient,se,t_value,p_value,ci_lower,ci_upper,n_unweighted
CPS,1996,-0.025187,2.23e-4,-112.788241,0,-0.025624,-0.024749,93785
CPS,1997,-0.024598,2.2e-4,-112.035871,0,-0.025028,-0.024167,95179
CPS,1998,-0.023986,2.19e-4,-109.539929,0,-0.024416,-0.023557,94976
CPS,1999,-0.023555,2.15e-4,-109.479952,0,-0.023976,-0.023133,95791
CPS,2000,-0.023554,2.17e-4,-108.450684,0,-0.02398,-0.023128,97217
CPS,2001,-0.023945,1.92e-4,-124.939955,0,-0.024321,-0.02357,150186
CPS,2002,-0.023264,1.93e-4,-120.52394,0,-0.023642,-0.022885,149879
CPS,2003,-0.023466,1.93e-4,-121.538491,0,-0.023844,-0.023087,149844
CPS,2004,-0.022813,1.93e-4,-117.998562,0,-0.023191,-0.022434,148180
CPS,2005,-0.022676,1.91e-4,-118.88743,0,-0.02305,-0.022302,146518
CPS,2006,-0.022584,1.88e-4,-119.834192,0,-0.022953,-0.022214,145752
CPS,2007,-0.022557,1.9e-4,-118.661038,0,-0.022929,-0.022184,144918
CPS,2008,-0.022045,1.9e-4,-115.808295,0,-0.022418,-0.021671,145609
CPS,2009,-0.021994,1.89e-4,-116.45624,0,-0.022364,-0.021624,147163
CPS,2010,-0.020937,1.83e-4,-114.213253,0,-0.021296,-0.020578,149071
CPS,2011,-0.021385,1.83e-4,-116.965021,0,-0.021743,-0.021026,146785
CPS,2012,-0.021266,1.85e-4,-115.103043,0,-0.021628,-0.020904,144803
CPS,2013,-0.021089,1.83e-4,-115.36799,0,-0.021447,-0.02073,145762
CPS,2014,-0.021303,2.03e-4,-104.768294,0,-0.021702,-0.020905,144298
CPS,2015,-0.020492,1.8e-4,-113.906137,0,-0.020845,-0.02014,144279
CPS,2016,-0.020527,1.85e-4,-110.807706,0,-0.02089,-0.020163,134562
CPS,2017,-0.020332,1.84e-4,-110.375569,0,-0.020693,-0.01997,135750
CPS,2018,-0.020263,1.83e-4,-110.962178,0,-0.020621,-0.019905,132144
CPS,2019,-0.018061,1.85e-4,-97.713033,0,-0.018423,-0.017698,132868
CPS,2020,-0.018183,1.91e-4,-95.195888,0,-0.018557,-0.017809,117763
CPS,2021,-0.01753,1.86e-4,-94.328148,0,-0.017894,-0.017166,121845
CPS,2022,-0.017638,1.92e-4,-91.724772,0,-0.018015,-0.017261,114158
CPS,2023,-0.017149,1.92e-4,-89.147116,0,-0.017526,-0.016772,110008
CPS,2024,-0.017352,1.94e-4,-89.502623,0,-0.017732,-0.016972,109367
