survey,year,coefficient,se,t_value,p_value,ci_lower,ci_upper,n_unweighted
GSS,1972,-0.016528,0.001235,-13.386529,0,-0.01895,-0.014107,1607
GSS,1973,-0.015563,0.001396,-11.146644,0,-0.018302,-0.012824,1496
GSS,1974,-0.016976,0.001353,-12.54609,0,-0.01963,-0.014322,1474
GSS,1975,-0.014964,0.001361,-10.994416,0,-0.017633,-0.012294,1484
GSS,1976,-0.016359,0.00132,-12.396254,0,-0.018947,-0.01377,1492
GSS,1977,-0.016032,0.00143,-11.213012,0,-0.018837,-0.013228,1520
GSS,1980,-0.01463,0.001372,-10.665083,0,-0.017321,-0.011939,1457
GSS,1982,-0.014095,0.001248,-11.297459,0,-0.016542,-0.011648,1845
GSS,1984,-0.012,0.001233,-9.734512,0,-0.014418,-0.009582,1456
GSS,1985,-0.014487,0.001313,-11.031662,0,-0.017063,-0.011911,1523
GSS,1987,-0.015261,0.001281,-11.917685,0,-0.017773,-0.01275,1804
GSS,1988,-0.013291,0.001582,-8.402998,0,-0.016395,-0.010187,973
GSS,1989,-0.013459,0.001611,-8.35567,0,-0.016619,-0.010298,1026
GSS,1990,-0.013471,0.001751,-7.694807,0,-0.016907,-0.010035,914
GSS,1991,-0.012979,0.001687,-7.691964,0,-0.01629,-0.009668,987
GSS,1993,-0.010567,0.001689,-6.255715,0,-0.013881,-0.007252,1067
GSS,1994,-0.011836,0.001259,-9.401951,0,-0.014305,-0.009367,1991
GSS,1996,-0.009189,0.00109,-8.431736,0,-0.011326,-0.007052,2414
GSS,1998,-0.011868,9.95e-4,-11.929768,0,-0.013819,-0.009918,2817
GSS,2000,-0.011595,0.00109,-10.639813,0,-0.013732,-0.009458,2319
GSS,2002,-0.008895,0.001314,-6.771414,0,-0.011471,-0.006319,1840
GSS,2004,-0.008407,0.001517,-5.541962,0,-0.011382,-0.005431,1351
GSS,2006,-0.010666,9.79e-4,-10.892469,0,-0.012585,-0.008746,3504
GSS,2008,-0.009894,0.001449,-6.826223,0,-0.012737,-0.007051,1347
GSS,2010,-0.00836,0.001629,-5.132067,0,-0.011556,-0.005165,1276
GSS,2012,-0.009833,0.001779,-5.528989,0,-0.013322,-0.006344,1301
GSS,2014,-0.006765,0.001375,-4.921022,1e-6,-0.009462,-0.004069,1703
GSS,2016,-0.003715,0.001368,-2.715952,0.006669,-0.006397,-0.001032,1877
GSS,2018,-0.002116,0.00146,-1.449557,0.147382,-0.00498,7.47e-4,1567
GSS,2021,-0.001978,9.04e-4,-2.18862,0.028687,-0.00375,-2.06e-4,3696
GSS,2022,-0.005194,0.001153,-4.505947,7e-6,-0.007454,-0.002934,3333
