survey,year,coefficient,se,t_value,p_value,ci_lower,ci_upper,n_unweighted
MEPS,2000,-0.017561,4.74e-4,-37.069127,0,-0.018495,-0.016626,15207
MEPS,2001,-0.01644,4.6e-4,-35.75282,0,-0.017344,-0.015536,20674
MEPS,2002,-0.017767,4.79e-4,-37.101047,0,-0.01871,-0.016823,24043
MEPS,2003,-0.01705,4.46e-4,-38.21885,0,-0.017928,-0.016171,20662
MEPS,2004,-0.016923,5.14e-4,-32.937102,0,-0.017935,-0.015911,20777
MEPS,2005,-0.016755,5.47e-4,-30.608512,0,-0.017834,-0.015677,20525
MEPS,2006,-0.01631,5.5e-4,-29.627698,0,-0.017394,-0.015225,20634
MEPS,2007,-0.016733,5.17e-4,-32.373266,0,-0.017749,-0.015717,18872
MEPS,2008,-0.016301,5.75e-4,-28.350874,0,-0.017434,-0.015167,20323
MEPS,2009,-0.014732,5e-4,-29.443676,0,-0.015718,-0.013745,22902
MEPS,2010,-0.015357,5.64e-4,-27.238277,0,-0.016468,-0.014245,20575
MEPS,2011,-0.01493,5.67e-4,-26.353532,0,-0.016047,-0.013813,22141
MEPS,2012,-0.014257,5.26e-4,-27.125652,0,-0.015293,-0.013221,24806
MEPS,2013,-0.014643,5.35e-4,-27.381168,0,-0.015698,-0.013589,22717
MEPS,2014,-0.0152,5.59e-4,-27.168835,0,-0.016303,-0.014097,20862
MEPS,2015,-0.014167,5.16e-4,-27.449385,0,-0.015185,-0.01315,21292
MEPS,2016,-0.013845,5.21e-4,-26.579511,0,-0.014872,-0.012818,21338
MEPS,2017,-0.015218,5.13e-4,-29.64012,0,-0.016228,-0.014208,20163
MEPS,2018,-0.015558,5.13e-4,-30.334906,0,-0.016572,-0.014544,18998
MEPS,2019,-0.015143,5.15e-4,-29.391659,0,-0.01616,-0.014126,17282
MEPS,2020,-0.01456,5.74e-4,-25.353583,0,-0.015693,-0.013426,13880
MEPS,2021,-0.012914,5.55e-4,-23.250402,0,-0.014008,-0.011821,14939
MEPS,2022,-0.013756000000000001,7.06e-4,-19.471516,0,-0.015148,-0.012365,10814
MEPS,2023,-0.00994,7.6e-4,-13.086655,0,-0.011441,-0.00844,9612
