survey,year,coefficient,se,t_value,p_value,ci_lower,ci_upper,n_unweighted
NHIS,1983,-0.021724,3.9e-4,-55.760146,0,-0.022494,-0.020954,37526
NHIS,1984,-0.015312,0.001252,-12.226441,0,-0.017787,-0.012838,15862
NHIS,1985,-0.021153,4.21e-4,-50.213892,0,-0.021987,-0.020319,33411
NHIS,1987,-0.020752,3.46e-4,-59.894054,0,-0.021436,-0.020068,43796
NHIS,1988,-0.019736,3.82e-4,-51.70811,0,-0.020489,-0.018983,43482
NHIS,1989,-0.019367,3.12e-4,-62.105782,0,-0.019982,-0.018751,42101
NHIS,1990,-0.018885,3.94e-4,-47.938369,0,-0.019663,-0.018108,40863
NHIS,1991,-0.019033,3.87e-4,-49.152404,0,-0.019797,-0.018269,43456
NHIS,1992,-0.018396,4.37e-4,-42.070761,0,-0.019259,-0.017533,23909
NHIS,1993,-0.01832,3.84e-4,-47.686226,0,-0.019078,-0.017562,44072
NHIS,1997,-0.019172,3.87e-4,-49.478352,0,-0.019934,-0.01841,36081
NHIS,1998,-0.019434,4.03e-4,-48.275151,0,-0.020226,-0.018642,32410
NHIS,1999,-0.019407,3.88e-4,-50.049196,0,-0.02017,-0.018644,30763
NHIS,2000,-0.019846,3.6e-4,-55.165527,0,-0.020554,-0.019139,32342
NHIS,2001,-0.019575,3.82e-4,-51.225724,0,-0.020327,-0.018824,33285
NHIS,2002,-0.019461,4.14e-4,-46.961136,0,-0.020276,-0.018645,31003
NHIS,2003,-0.019091,3.76e-4,-50.825066,0,-0.01983,-0.018352,30815
NHIS,2004,-0.019498,3.76e-4,-51.850939,0,-0.020238,-0.018758,31304
NHIS,2005,-0.018872,3.74e-4,-50.446506,0,-0.019608,-0.018136,31413
NHIS,2006,-0.018311,4.59e-4,-39.92505,0,-0.019214,-0.017408,24257
NHIS,2007,-0.018788,4.78e-4,-39.337658,0,-0.019728,-0.017848,23378
NHIS,2008,-0.018342,4.85e-4,-37.819545,0,-0.019296,-0.017388,21767
NHIS,2009,-0.018151,4.79e-4,-37.921081,0,-0.019093,-0.01721,27721
NHIS,2010,-0.016153,4.26e-4,-37.917582,0,-0.016991,-0.015315,27141
NHIS,2011,-0.016763,4.11e-4,-40.790872,0,-0.017572,-0.015954,32997
NHIS,2012,-0.016068,4.1e-4,-39.161494,0,-0.016876,-0.015261,34507
NHIS,2013,-0.017288,4.25e-4,-40.648464,0,-0.018125,-0.016451,34542
NHIS,2014,-0.016601,3.87e-4,-42.920729,0,-0.017362,-0.015839,36674
NHIS,2015,-0.01639,4e-4,-40.930423,0,-0.017178,-0.015602,33661
NHIS,2016,-0.015827,4.08e-4,-38.832868,0,-0.016627,-0.015026,33016
NHIS,2017,-0.016701,4.49e-4,-37.17603,0,-0.017584,-0.015818,26734
NHIS,2018,-0.016506,4.55e-4,-36.266867,0,-0.0174,-0.015612,25408
NHIS,2019,-0.016125,4.18e-4,-38.554112,0,-0.016946,-0.015303,31896
NHIS,2020,-0.016129,3.95e-4,-40.878732,0,-0.016904,-0.015354,31478
NHIS,2021,-0.016363,4.33e-4,-37.753786,0,-0.017214,-0.015511,29383
NHIS,2022,-0.014779,4.14e-4,-35.668593,0,-0.015593,-0.013965,27581
NHIS,2023,-0.014462,3.96e-4,-36.484259,0,-0.01524,-0.013684,29437
