survey,year,r_squared,n_unweighted
BRFSS,1993,0.074568,101548
BRFSS,1994,0.0684,105170
BRFSS,1995,0.065592,113274
BRFSS,1996,0.054878,123318
BRFSS,1997,0.059032,134578
BRFSS,1998,0.056293,148351
BRFSS,1999,0.051391,158712
BRFSS,2000,0.055363,182254
BRFSS,2001,0.056181,210243
BRFSS,2002,0.055494,244597
BRFSS,2003,0.053636,262303
BRFSS,2004,0.050988,300898
BRFSS,2005,0.045683,351846
BRFSS,2006,0.045182,350139
BRFSS,2007,0.042711,425583
BRFSS,2008,0.043567,408885
BRFSS,2009,0.043408,426540
BRFSS,2010,0.043663,442811
BRFSS,2011,0.041774,500301
BRFSS,2012,0.039145,469066
BRFSS,2013,0.03752,483071
BRFSS,2014,0.037579,458088
BRFSS,2015,0.037566,428915
BRFSS,2016,0.03745,475409
BRFSS,2017,0.031906,445051
BRFSS,2018,0.032999,420810
BRFSS,2019,0.030128,410845
BRFSS,2020,0.047941,399275
BRFSS,2021,0.038665,417011
BRFSS,2022,0.029274,432875
BRFSS,2023,0.023763,424575
BRFSS,2024,0.022193,453816
BRFSS,2025,0.016029,19184
MEPS,2000,0.092697,15288
MEPS,2001,0.08308,20674
MEPS,2002,0.093709,24043
MEPS,2003,0.070646,20664
MEPS,2004,0.083943,20777
MEPS,2005,0.071401,20526
MEPS,2006,0.080936,20634
MEPS,2007,0.086805,18872
MEPS,2008,0.082532,20323
MEPS,2009,0.066585,22903
MEPS,2010,0.073405,20575
MEPS,2011,0.070259,22141
MEPS,2012,0.060402,24807
MEPS,2013,0.068371,22717
MEPS,2014,0.073065,20863
MEPS,2015,0.065891,21292
MEPS,2016,0.05632,21340
MEPS,2017,0.069759,20164
MEPS,2018,0.082515,18998
MEPS,2019,0.052442,17283
MEPS,2020,0.076728,13880
MEPS,2021,0.047768,14940
MEPS,2022,0.069282,10814
MEPS,2023,0.03699,9612
NHIS,1983,0.115333,37650
NHIS,1984,NA,16078
NHIS,1985,0.113827,33528
NHIS,1987,0.110882,43962
NHIS,1988,0.100401,43662
NHIS,1989,0.097263,42258
NHIS,1990,0.094556,40999
NHIS,1991,0.093168,43635
NHIS,1992,0.085477,24000
NHIS,1993,0.084512,44244
NHIS,1997,0.098656,36081
NHIS,1998,0.100827,32410
NHIS,1999,0.102362,30763
NHIS,2000,0.10504,32342
NHIS,2001,0.101696,33285
NHIS,2002,0.100096,31003
NHIS,2003,0.096765,30815
NHIS,2004,0.102382,31304
NHIS,2005,0.095461,31413
NHIS,2006,0.090764,24257
NHIS,2007,0.092252,23378
NHIS,2008,0.089714,21767
NHIS,2009,0.088528,27721
NHIS,2010,0.072055,27141
NHIS,2011,0.077007,32997
NHIS,2012,0.071688,34507
NHIS,2013,0.08184,34542
NHIS,2014,0.077862,36674
NHIS,2015,0.076253,33661
NHIS,2016,0.072793,33016
NHIS,2017,0.081889,26734
NHIS,2018,0.08068,25408
NHIS,2019,0.074953,31896
NHIS,2020,0.079081,31478
NHIS,2021,0.082168,29383
NHIS,2022,0.067218,27581
NHIS,2023,0.064021,29437
NHIS,2024,0.064686,32562
CPS,1996,0.150563,93785
CPS,1997,0.142937,95179
CPS,1998,0.139618,94976
CPS,1999,0.137438,95791
CPS,2000,0.136067,97217
CPS,2001,0.140673,150186
CPS,2002,0.128982,149879
CPS,2003,0.131897,149844
CPS,2004,0.12683,148180
CPS,2005,0.127094,146518
CPS,2006,0.126087,145752
CPS,2007,0.126356,144918
CPS,2008,0.120009,145609
CPS,2009,0.118966,147163
CPS,2010,0.111508,149071
CPS,2011,0.117257,146785
CPS,2012,0.116145,144803
CPS,2013,0.115262,145762
CPS,2014,0.118317,144298
CPS,2015,0.111925,144279
CPS,2016,0.113816,134562
CPS,2017,0.113229,135750
CPS,2018,0.115917,132144
CPS,2019,0.093391,132868
CPS,2020,0.09696,117763
CPS,2021,0.090165,121845
CPS,2022,0.092409,114158
CPS,2023,0.090675,110008
CPS,2024,0.092962,109367
CPS,2025,0.090313,108044
NHANES,1999.5,0.047427,4969
NHANES,2001.5,0.026073,5590
NHANES,2003.5,0.039617,5300
NHANES,2005.5,0.022079,5329
NHANES,2007.5,0.031053,5993
NHANES,2009.5,0.020985,6358
NHANES,2011.5,0.021441,5614
NHANES,2013.5,0.012815,5919
NHANES,2015.5,0.006621,5726
NHANES,2017.5,0.012718,5527
NHANES,2018.5,0.010273,8956
NHANES,2022,0.02829,6335
GSS,1972,0.112205,1607
GSS,1973,0.080615,1496
GSS,1974,0.10769,1474
GSS,1975,0.084717,1484
GSS,1976,0.108074,1492
GSS,1977,0.09293,1520
GSS,1980,0.081893,1457
GSS,1982,0.078596,1845
GSS,1984,0.068483,1456
GSS,1985,0.08266,1523
GSS,1987,0.096669,1804
GSS,1988,0.079854,973
GSS,1989,0.08049,1026
GSS,1990,0.08177,914
GSS,1991,0.080663,987
GSS,1993,0.043445,1067
GSS,1994,0.055698,1991
GSS,1996,0.031404,2414
GSS,1998,0.056617,2817
GSS,2000,0.059149,2319
GSS,2002,0.027846,1840
GSS,2004,0.025906,1351
GSS,2006,0.042063,3504
GSS,2008,0.042741,1347
GSS,2010,0.024398,1276
GSS,2012,0.030203,1301
GSS,2014,0.020023,1703
GSS,2016,0.00735,1877
GSS,2018,0.007671,1567
GSS,2021,0.002292,3696
GSS,2022,0.014834,3333
GSS,2024,0.008674,3166
