survey,year,r_squared,n_unweighted
BRFSS,1993,0.074568,101548
BRFSS,1994,0.0684,105170
BRFSS,1995,0.065592,113274
BRFSS,1996,0.054878,123318
BRFSS,1997,0.059032,134578
BRFSS,1998,0.056293,148351
BRFSS,1999,0.051391,158712
BRFSS,2000,0.055363,182254
BRFSS,2001,0.056181,210243
BRFSS,2002,0.055494,244597
BRFSS,2003,0.053636,262303
BRFSS,2004,0.050988,300898
BRFSS,2005,0.045683,351846
BRFSS,2006,0.045182,350139
BRFSS,2007,0.042711,425583
BRFSS,2008,0.043567,408885
BRFSS,2009,0.043408,426540
BRFSS,2010,0.043663,442811
BRFSS,2011,0.041774,500301
BRFSS,2012,0.039145,469066
BRFSS,2013,0.03752,483071
BRFSS,2014,0.037579,458088
BRFSS,2015,0.037566,428915
BRFSS,2016,0.03745,475409
BRFSS,2017,0.031906,445051
BRFSS,2018,0.032999,420810
BRFSS,2019,0.030128,410845
BRFSS,2020,0.047941,399275
BRFSS,2021,0.038665,417011
BRFSS,2022,0.029274,432875
BRFSS,2023,0.023763,424575
BRFSS,2024,0.022193,453816
BRFSS,2025,0.016029,19184
