survey,year,r_squared,n_unweighted
CPS,1996,0.150563,93785
CPS,1997,0.142937,95179
CPS,1998,0.139618,94976
CPS,1999,0.137438,95791
CPS,2000,0.136067,97217
CPS,2001,0.140673,150186
CPS,2002,0.128982,149879
CPS,2003,0.131897,149844
CPS,2004,0.12683,148180
CPS,2005,0.127094,146518
CPS,2006,0.126087,145752
CPS,2007,0.126356,144918
CPS,2008,0.120009,145609
CPS,2009,0.118966,147163
CPS,2010,0.111508,149071
CPS,2011,0.117257,146785
CPS,2012,0.116145,144803
CPS,2013,0.115262,145762
CPS,2014,0.118317,144298
CPS,2015,0.111925,144279
CPS,2016,0.113816,134562
CPS,2017,0.113229,135750
CPS,2018,0.115917,132144
CPS,2019,0.093391,132868
CPS,2020,0.09696,117763
CPS,2021,0.090165,121845
CPS,2022,0.092409,114158
CPS,2023,0.090675,110008
CPS,2024,0.092962,109367
CPS,2025,0.090313,108044
