survey,year,r_squared,n_unweighted
GSS,1972,0.112205,1607
GSS,1973,0.080615,1496
GSS,1974,0.10769,1474
GSS,1975,0.084717,1484
GSS,1976,0.108074,1492
GSS,1977,0.09293,1520
GSS,1980,0.081893,1457
GSS,1982,0.078596,1845
GSS,1984,0.068483,1456
GSS,1985,0.08266,1523
GSS,1987,0.096669,1804
GSS,1988,0.079854,973
GSS,1989,0.08049,1026
GSS,1990,0.08177,914
GSS,1991,0.080663,987
GSS,1993,0.043445,1067
GSS,1994,0.055698,1991
GSS,1996,0.031404,2414
GSS,1998,0.056617,2817
GSS,2000,0.059149,2319
GSS,2002,0.027846,1840
GSS,2004,0.025906,1351
GSS,2006,0.042063,3504
GSS,2008,0.042741,1347
GSS,2010,0.024398,1276
GSS,2012,0.030203,1301
GSS,2014,0.020023,1703
GSS,2016,0.00735,1877
GSS,2018,0.007671,1567
GSS,2021,0.002292,3696
GSS,2022,0.014834,3333
GSS,2024,0.008674,3166
