survey,year,r_squared,n_unweighted
MEPS,2000,0.092697,15288
MEPS,2001,0.08308,20674
MEPS,2002,0.093709,24043
MEPS,2003,0.070646,20664
MEPS,2004,0.083943,20777
MEPS,2005,0.071401,20526
MEPS,2006,0.080936,20634
MEPS,2007,0.086805,18872
MEPS,2008,0.082532,20323
MEPS,2009,0.066585,22903
MEPS,2010,0.073405,20575
MEPS,2011,0.070259,22141
MEPS,2012,0.060402,24807
MEPS,2013,0.068371,22717
MEPS,2014,0.073065,20863
MEPS,2015,0.065891,21292
MEPS,2016,0.05632,21340
MEPS,2017,0.069759,20164
MEPS,2018,0.082515,18998
MEPS,2019,0.052442,17283
MEPS,2020,0.076728,13880
MEPS,2021,0.047768,14940
MEPS,2022,0.069282,10814
MEPS,2023,0.03699,9612
