survey,year,r_squared,n_unweighted
NHIS,1983,0.115333,37650
NHIS,1984,NA,16078
NHIS,1985,0.113827,33528
NHIS,1987,0.110882,43962
NHIS,1988,0.100401,43662
NHIS,1989,0.097263,42258
NHIS,1990,0.094556,40999
NHIS,1991,0.093168,43635
NHIS,1992,0.085477,24000
NHIS,1993,0.084512,44244
NHIS,1997,0.098656,36081
NHIS,1998,0.100827,32410
NHIS,1999,0.102362,30763
NHIS,2000,0.10504,32342
NHIS,2001,0.101696,33285
NHIS,2002,0.100096,31003
NHIS,2003,0.096765,30815
NHIS,2004,0.102382,31304
NHIS,2005,0.095461,31413
NHIS,2006,0.090764,24257
NHIS,2007,0.092252,23378
NHIS,2008,0.089714,21767
NHIS,2009,0.088528,27721
NHIS,2010,0.072055,27141
NHIS,2011,0.077007,32997
NHIS,2012,0.071688,34507
NHIS,2013,0.08184,34542
NHIS,2014,0.077862,36674
NHIS,2015,0.076253,33661
NHIS,2016,0.072793,33016
NHIS,2017,0.081889,26734
NHIS,2018,0.08068,25408
NHIS,2019,0.074953,31896
NHIS,2020,0.079081,31478
NHIS,2021,0.082168,29383
NHIS,2022,0.067218,27581
NHIS,2023,0.064021,29437
NHIS,2024,0.064686,32562
