survey,covariate,covariate_label,age_group,year,coefficient,se,ci_lower,ci_upper,n_unweighted,category
BRFSS,comorb_count,Comorbidity Count,18-29,1993,-0.5808234775311995,0.09099391861408973,-0.7591789990141369,-0.40246795604826185,20143,Comorbidity Count
BRFSS,comorb_count,Comorbidity Count,18-29,1994,-0.5737674505728328,0.10496463918062716,-0.7795068108753305,-0.36802809027033523,20007,Comorbidity Count
BRFSS,comorb_count,Comorbidity Count,18-29,1995,-0.6662944989170484,0.13429496872235158,-0.9295230341099822,-0.40306596372411463,20917,Comorbidity Count
BRFSS,comorb_count,Comorbidity Count,18-29,1996,-0.579019859712949,0.09816493939620571,-0.7714300638135967,-0.3866096556123014,22270,Comorbidity Count
BRFSS,comorb_count,Comorbidity Count,18-29,1997,-0.4939834335127437,0.09806183337144128,-0.6861908397066697,-0.3017760273188177,23876,Comorbidity Count
BRFSS,comorb_count,Comorbidity Count,18-29,1998,-0.42364876625664316,0.08866720489388823,-0.5974412908157205,-0.2498562416975658,26308,Comorbidity Count
BRFSS,comorb_count,Comorbidity Count,18-29,1999,-0.4832139678469122,0.10004035602207001,-0.6792978590580184,-0.2871300766358059,28268,Comorbidity Count
BRFSS,comorb_count,Comorbidity Count,18-29,2000,-0.33048552268092657,0.045017596511434506,-0.4187217253434575,-0.24224932001839566,32027,Comorbidity Count
BRFSS,comorb_count,Comorbidity Count,18-29,2001,-0.4479884181747281,0.03533386311349285,-0.5172438626378639,-0.3787329737115923,35743,Comorbidity Count
BRFSS,comorb_count,Comorbidity Count,18-29,2003,-0.42239695207149,0.03469287761151083,-0.490395999086904,-0.35439790505607593,36478,Comorbidity Count
BRFSS,comorb_count,Comorbidity Count,18-29,2005,-0.45225224832285843,0.03573748097049363,-0.5222986098610414,-0.3822058867846755,38787,Comorbidity Count
BRFSS,comorb_count,Comorbidity Count,18-29,2007,-0.5382037300658562,0.03985704224034578,-0.6163248073189821,-0.4600826528127303,34894,Comorbidity Count
BRFSS,comorb_count,Comorbidity Count,18-29,2009,-0.5292060291761013,0.046538073818989396,-0.6204228739341255,-0.437989184418077,28339,Comorbidity Count
BRFSS,comorb_count,Comorbidity Count,18-29,2011,-0.6058457521324309,0.03269509612965789,-0.6699286938092446,-0.5417628104556171,44816,Comorbidity Count
BRFSS,comorb_count,Comorbidity Count,18-29,2012,-0.6047988341131854,0.04245736730579381,-0.6880159187568607,-0.52158174946951,46336,Comorbidity Count
BRFSS,comorb_count,Comorbidity Count,18-29,2013,-0.6492094604535453,0.03783772045869671,-0.7233718376620701,-0.5750470832450205,49654,Comorbidity Count
BRFSS,comorb_count,Comorbidity Count,18-29,2014,-0.5879978348595122,0.03763226422342853,-0.661757747278688,-0.5142379224403364,43983,Comorbidity Count
BRFSS,comorb_count,Comorbidity Count,18-29,2015,-0.6599900884439958,0.03077160407288752,-0.7203030274870595,-0.599677149400932,42860,Comorbidity Count
BRFSS,comorb_count,Comorbidity Count,18-29,2016,-0.6401340122662763,0.030361669247895694,-0.6996432418283299,-0.5806247827042227,49631,Comorbidity Count
BRFSS,comorb_count,Comorbidity Count,18-29,2017,-0.6738425121264351,0.03752586888365503,-0.7473936906913724,-0.6002913335614978,48727,Comorbidity Count
BRFSS,comorb_count,Comorbidity Count,18-29,2018,-0.5632198695488868,0.03901569848036851,-0.6396911853642376,-0.486748553733536,47420,Comorbidity Count
BRFSS,comorb_count,Comorbidity Count,18-29,2019,-0.6336865016616903,0.03300263296268068,-0.698372187350925,-0.5690008159724556,45689,Comorbidity Count
BRFSS,comorb_count,Comorbidity Count,18-29,2020,-0.5939984273262093,0.038917908079495224,-0.6702780752580937,-0.517718779394325,47355,Comorbidity Count
BRFSS,comorb_count,Comorbidity Count,18-29,2021,-0.5669314135938177,0.032016126982194824,-0.6296835097836803,-0.5041793174039552,46304,Comorbidity Count
