survey,covariate,covariate_label,age_group,year,coefficient,se,ci_lower,ci_upper,n_unweighted,category
NHIS,comorb_count,Comorbidity Count,18-29,1997,-0.35549279151750957,0.03163229526487975,-0.4175012462707075,-0.29348433676431157,7292,Comorbidity Count
NHIS,comorb_count,Comorbidity Count,18-29,1998,-0.33972074816731423,0.03261573577977387,-0.40365867413215384,-0.27578282220247463,6315,Comorbidity Count
NHIS,comorb_count,Comorbidity Count,18-29,1999,-0.36067572422031496,0.0339152052899773,-0.427161663675863,-0.294189784764767,6026,Comorbidity Count
NHIS,comorb_count,Comorbidity Count,18-29,2000,-0.3585763695478653,0.032070602678684834,-0.4214453223932925,-0.29570741670243816,6491,Comorbidity Count
NHIS,comorb_count,Comorbidity Count,18-29,2001,-0.36754161482673614,0.031040091661562273,-0.428390169904789,-0.30669305974868327,6641,Comorbidity Count
NHIS,comorb_count,Comorbidity Count,18-29,2002,-0.31928490323826414,0.028786696359413094,-0.37571712610874525,-0.2628526803677831,6028,Comorbidity Count
NHIS,comorb_count,Comorbidity Count,18-29,2003,-0.3858926571576884,0.030110036561601456,-0.4449192597748182,-0.3268660545405585,5948,Comorbidity Count
NHIS,comorb_count,Comorbidity Count,18-29,2004,-0.35062045887307114,0.031200241088848574,-0.41178431706343743,-0.2894566006827048,5920,Comorbidity Count
NHIS,comorb_count,Comorbidity Count,18-29,2005,-0.3520463489807142,0.027160912236569128,-0.40529182247928747,-0.2988008754821409,5827,Comorbidity Count
NHIS,comorb_count,Comorbidity Count,18-29,2006,-0.39453126199908384,0.03154204708605731,-0.4563678910159134,-0.33269463298225427,4877,Comorbidity Count
NHIS,comorb_count,Comorbidity Count,18-29,2007,-0.3452036636325003,0.038192551579403884,-0.42007965546390347,-0.2703276718010972,4541,Comorbidity Count
NHIS,comorb_count,Comorbidity Count,18-29,2008,-0.3213447761973634,0.035818035076133244,-0.39156753507050907,-0.25112201732421774,4108,Comorbidity Count
NHIS,comorb_count,Comorbidity Count,18-29,2009,-0.3055874525588862,0.03625715674467229,-0.3766664831950191,-0.23450842192275329,5277,Comorbidity Count
NHIS,comorb_count,Comorbidity Count,18-29,2010,-0.34445536204412325,0.02961852940050775,-0.4025199511589941,-0.28639077292925236,5271,Comorbidity Count
NHIS,comorb_count,Comorbidity Count,18-29,2011,-0.39328498604326745,0.029185342543695772,-0.4504981650941882,-0.3360718069923467,6321,Comorbidity Count
NHIS,comorb_count,Comorbidity Count,18-29,2012,-0.4349001941386091,0.035251569866877636,-0.504005037915545,-0.36579535036167315,6418,Comorbidity Count
NHIS,comorb_count,Comorbidity Count,18-29,2013,-0.344931575788308,0.03177396361488752,-0.40721917436101973,-0.2826439772155963,6405,Comorbidity Count
NHIS,comorb_count,Comorbidity Count,18-29,2014,-0.4141130316301889,0.03280244706084491,-0.478416521730538,-0.34980954152983984,6556,Comorbidity Count
NHIS,comorb_count,Comorbidity Count,18-29,2015,-0.37331220135539395,0.03300087170375845,-0.43800648293333777,-0.3086179197774502,5692,Comorbidity Count
NHIS,comorb_count,Comorbidity Count,18-29,2016,-0.3189829448989964,0.04537192136573791,-0.40792977635974037,-0.23003611343825248,5523,Comorbidity Count
NHIS,comorb_count,Comorbidity Count,18-29,2017,-0.3130261329231531,0.036038119644967774,-0.3836791361897527,-0.24237312965655355,4368,Comorbidity Count
NHIS,comorb_count,Comorbidity Count,18-29,2018,-0.3849474668664036,0.03735026522636376,-0.4581764548735259,-0.3117184788592813,3724,Comorbidity Count
NHIS,comorb_count,Comorbidity Count,18-29,2019,-0.5023008997181391,0.031830909904777306,-0.5647052341885906,-0.4398965652476874,4472,Comorbidity Count
NHIS,comorb_count,Comorbidity Count,18-29,2020,-0.3912725025579183,0.032435380876351554,-0.4548657571860707,-0.3276792479297659,3654,Comorbidity Count
NHIS,comorb_count,Comorbidity Count,18-29,2021,-0.4077067657965062,0.032294525826981654,-0.47102272179699456,-0.3443908097960179,3863,Comorbidity Count
NHIS,comorb_count,Comorbidity Count,18-29,2022,-0.4236031802819989,0.03175086883930422,-0.48585495819127617,-0.3613514023727217,3553,Comorbidity Count
NHIS,comorb_count,Comorbidity Count,18-29,2023,-0.4181117491893044,0.03104874220302416,-0.4789856575315722,-0.3572378408470366,3782,Comorbidity Count
NHIS,comorb_count,Comorbidity Count,18-29,2024,-0.40562060604600836,0.030658827088174335,-0.46572862564604295,-0.34551258644597377,4084,Comorbidity Count
NHIS,comorb_count,Comorbidity Count,30-39,1997,-0.4623292009489224,0.025201353234870782,-0.5117302179809669,-0.4129281839168779,8224,Comorbidity Count
NHIS,comorb_count,Comorbidity Count,30-39,1998,-0.45651504221348554,0.02861338491474118,-0.5126057933122187,-0.4004242911147524,7113,Comorbidity Count
NHIS,comorb_count,Comorbidity Count,30-39,1999,-0.4838037190035722,0.029742296327425467,-0.5421083904868556,-0.42549904752028883,6511,Comorbidity Count
NHIS,comorb_count,Comorbidity Count,30-39,2000,-0.45220749142149835,0.026953218835213837,-0.50504426477428,-0.39937071806871666,6780,Comorbidity Count
NHIS,comorb_count,Comorbidity Count,30-39,2001,-0.43878811182194083,0.028635450979903266,-0.4949223983730062,-0.38265382527087544,6911,Comorbidity Count
NHIS,comorb_count,Comorbidity Count,30-39,2002,-0.4528760567010976,0.022018529508892784,-0.49603971283038706,-0.40971240057180813,6427,Comorbidity Count
NHIS,comorb_count,Comorbidity Count,30-39,2003,-0.4427834061081348,0.02393879179498046,-0.48971174902195336,-0.39585506319431635,6194,Comorbidity Count
NHIS,comorb_count,Comorbidity Count,30-39,2004,-0.4790172214186957,0.022508523463468346,-0.5231418333661227,-0.4348926094712686,6129,Comorbidity Count
NHIS,comorb_count,Comorbidity Count,30-39,2005,-0.44896264114664164,0.02455348221386073,-0.4970963275670168,-0.40082895472626645,5980,Comorbidity Count
NHIS,comorb_count,Comorbidity Count,30-39,2006,-0.4440658961687902,0.025497749721142365,-0.4940539058114902,-0.3940778865260902,4538,Comorbidity Count
NHIS,comorb_count,Comorbidity Count,30-39,2007,-0.4392172391019952,0.025919758017982207,-0.49003327861734847,-0.388401199586642,4319,Comorbidity Count
NHIS,comorb_count,Comorbidity Count,30-39,2008,-0.4423917979886952,0.027817418301709466,-0.49692962634874027,-0.38785396962865015,3957,Comorbidity Count
NHIS,comorb_count,Comorbidity Count,30-39,2009,-0.45021635885236405,0.025771122127030352,-0.5007390699851995,-0.39969364771952864,4998,Comorbidity Count
NHIS,comorb_count,Comorbidity Count,30-39,2010,-0.4146671224639985,0.024784706464544483,-0.46325620052231753,-0.36607804440567954,4925,Comorbidity Count
NHIS,comorb_count,Comorbidity Count,30-39,2011,-0.46949264063003615,0.022075689289237872,-0.5127691290656966,-0.42621615219437564,5866,Comorbidity Count
NHIS,comorb_count,Comorbidity Count,30-39,2012,-0.44996088641650206,0.02333680710378014,-0.49570939966502925,-0.4042123731679749,6013,Comorbidity Count
NHIS,comorb_count,Comorbidity Count,30-39,2013,-0.4532534900598935,0.02564569067733141,-0.5035282958385108,-0.40297868428127626,5982,Comorbidity Count
NHIS,comorb_count,Comorbidity Count,30-39,2014,-0.4732591329574222,0.029902169659503916,-0.5318778226287671,-0.41464044328607724,6164,Comorbidity Count
NHIS,comorb_count,Comorbidity Count,30-39,2015,-0.43944140050917174,0.02701138458576741,-0.4923940851559318,-0.38648871586241174,5652,Comorbidity Count
NHIS,comorb_count,Comorbidity Count,30-39,2016,-0.4511676664939323,0.023782798137119792,-0.4977920968947466,-0.404543236093118,5131,Comorbidity Count
NHIS,comorb_count,Comorbidity Count,30-39,2017,-0.44414716225535056,0.023364416704028557,-0.4899537969859087,-0.39834052752479243,4196,Comorbidity Count
NHIS,comorb_count,Comorbidity Count,30-39,2018,-0.4448098174176536,0.027050958240090683,-0.49784464964306496,-0.3917749851922422,4032,Comorbidity Count
NHIS,comorb_count,Comorbidity Count,30-39,2019,-0.511094782200805,0.021515384872605754,-0.5532740267980233,-0.4689155376035867,5177,Comorbidity Count
NHIS,comorb_count,Comorbidity Count,30-39,2020,-0.4310482739429395,0.02765583050308934,-0.48526614754386754,-0.37683040034201143,4884,Comorbidity Count
NHIS,comorb_count,Comorbidity Count,30-39,2021,-0.46991868307130447,0.02715077856849743,-0.5231468517707344,-0.4166905143718746,4732,Comorbidity Count
NHIS,comorb_count,Comorbidity Count,30-39,2022,-0.4479414588205334,0.022710299778228697,-0.49246510679581157,-0.4034178108452552,4391,Comorbidity Count
NHIS,comorb_count,Comorbidity Count,30-39,2023,-0.4865412573910496,0.022126059637642175,-0.5299187919353203,-0.4431637228467789,4667,Comorbidity Count
NHIS,comorb_count,Comorbidity Count,30-39,2024,-0.42822682131468703,0.02213014158078729,-0.471611071514189,-0.38484257111518505,5269,Comorbidity Count
NHIS,comorb_count,Comorbidity Count,40-49,1997,-0.4914028468037146,0.023019889586542913,-0.5365287795435645,-0.44627691406386466,7024,Comorbidity Count
NHIS,comorb_count,Comorbidity Count,40-49,1998,-0.5118631685066094,0.022958948410417828,-0.5568704417332355,-0.4668558952799832,6365,Comorbidity Count
