survey,covariate,covariate_label,year,coefficient,se,ci_lower,ci_upper,n_unweighted,n_covariate_1
MEPS,DIABETICEV,Diabetes,2000,-1.006666,0.032919,-1.071607,-0.941725,15153,1092
MEPS,DIABETICEV,Diabetes,2001,-0.946251,0.02934,-1.003927,-0.888576,20571,1506
MEPS,DIABETICEV,Diabetes,2002,-1.034382,0.028165,-1.08986,-0.978905,23940,1828
MEPS,DIABETICEV,Diabetes,2003,-0.992717,0.026854,-1.045612,-0.939821,20561,1622
MEPS,DIABETICEV,Diabetes,2004,-0.97291,0.030854,-1.033684,-0.912135,20669,1708
MEPS,DIABETICEV,Diabetes,2005,-0.969911,0.027509,-1.024091,-0.91573,20408,1811
MEPS,DIABETICEV,Diabetes,2006,-0.974912,0.029951,-1.033903,-0.915921,20533,1987
MEPS,DIABETICEV,Diabetes,2007,-0.948858,0.027591,-1.00309,-0.894626,18811,1880
MEPS,DIABETICEV,Diabetes,2008,-0.910057,0.027843,-0.964954,-0.855159,20321,2160
MEPS,DIABETICEV,Diabetes,2009,-0.865351,0.026231,-0.91707,-0.813632,22895,2213
MEPS,DIABETICEV,Diabetes,2010,-0.922839,0.029435,-0.980874,-0.864804,20573,2056
MEPS,DIABETICEV,Diabetes,2011,-0.88154,0.024888,-0.930613,-0.832467,22137,2309
MEPS,DIABETICEV,Diabetes,2012,-0.87716,0.022597,-0.921717,-0.832603,24803,2509
MEPS,DIABETICEV,Diabetes,2013,-0.87208,0.024492,-0.920382,-0.823777,22716,2414
MEPS,DIABETICEV,Diabetes,2014,-0.941609,0.02637,-0.993608,-0.88961,20858,2348
MEPS,DIABETICEV,Diabetes,2015,-0.873444,0.027021,-0.926724,-0.820165,21287,2394
MEPS,DIABETICEV,Diabetes,2016,-0.865306,0.030153,-0.924761,-0.805851,21335,2460
MEPS,DIABETICEV,Diabetes,2017,-0.849766,0.026478,-0.901848,-0.797684,20071,2485
MEPS,DIABETICEV,Diabetes,2018,-0.880596,0.025556,-0.931126,-0.830067,18995,2461
MEPS,DIABETICEV,Diabetes,2019,-0.82784,0.024665,-0.876518,-0.779161,17281,2221
MEPS,DIABETICEV,Diabetes,2020,-0.828314,0.03241,-0.892279,-0.764349,13880,2124
MEPS,DIABETICEV,Diabetes,2021,-0.753226,0.027366,-0.807096,-0.699357,14936,2278
MEPS,DIABETICEV,Diabetes,2022,-0.768273,0.031354,-0.830015,-0.70653,10813,1638
MEPS,DIABETICEV,Diabetes,2023,-0.802053,0.035811,-0.87279,-0.731316,9610,1422
MEPS,HYPERTENEV,Hypertension,2007,-0.739167,0.018912,-0.77634,-0.701994,18787,5721
MEPS,HYPERTENEV,Hypertension,2008,-0.720899,0.018267,-0.756914,-0.684883,20315,6500
MEPS,HYPERTENEV,Hypertension,2009,-0.688727,0.017421,-0.723075,-0.654378,22891,7527
MEPS,HYPERTENEV,Hypertension,2010,-0.696243,0.018432,-0.732584,-0.659902,20567,6844
MEPS,HYPERTENEV,Hypertension,2011,-0.687847,0.018803,-0.724921,-0.650772,22135,7189
MEPS,HYPERTENEV,Hypertension,2012,-0.667737,0.018215,-0.703654,-0.63182,24795,8110
MEPS,HYPERTENEV,Hypertension,2013,-0.690834,0.018026,-0.726383,-0.655285,22711,7650
MEPS,HYPERTENEV,Hypertension,2014,-0.71606,0.019631,-0.75477,-0.677349,20853,6999
MEPS,HYPERTENEV,Hypertension,2015,-0.698077,0.018388,-0.734335,-0.661818,21285,7277
MEPS,HYPERTENEV,Hypertension,2016,-0.68474,0.019299,-0.722793,-0.646686,21332,7451
MEPS,HYPERTENEV,Hypertension,2017,-0.705932,0.019231,-0.743759,-0.668105,20065,6997
MEPS,HYPERTENEV,Hypertension,2018,-0.691234,0.021875,-0.734484,-0.647984,18949,6826
MEPS,HYPERTENEV,Hypertension,2019,-0.696938,0.017601,-0.731675,-0.6622,17233,6325
MEPS,HYPERTENEV,Hypertension,2020,-0.675197,0.020941,-0.716527,-0.633867,13876,5676
MEPS,HYPERTENEV,Hypertension,2021,-0.623365,0.018846,-0.660462,-0.586267,14901,6131
MEPS,HYPERTENEV,Hypertension,2022,-0.642814,0.026235,-0.694477,-0.591152,10799,4521
MEPS,HYPERTENEV,Hypertension,2023,-0.556392,0.026852,-0.609433,-0.503352,9598,3937
MEPS,CHEARTDIEV,Heart Disease,2007,-0.9687,0.0385,-1.044374,-0.893026,18793,852
MEPS,CHEARTDIEV,Heart Disease,2008,-0.971342,0.038669,-1.047584,-0.895099,20317,1189
MEPS,CHEARTDIEV,Heart Disease,2009,-0.956393,0.034208,-1.023841,-0.888945,22893,1286
MEPS,CHEARTDIEV,Heart Disease,2010,-0.964676,0.034883,-1.033453,-0.895898,20571,1171
MEPS,CHEARTDIEV,Heart Disease,2011,-0.866447,0.037128,-0.939652,-0.793242,22137,1137
MEPS,CHEARTDIEV,Heart Disease,2012,-0.87788,0.0392,-0.955176,-0.800583,24799,1234
MEPS,CHEARTDIEV,Heart Disease,2013,-0.881037,0.039123,-0.958193,-0.803882,22715,1153
MEPS,CHEARTDIEV,Heart Disease,2014,-0.928639,0.037106,-1.001809,-0.855469,20858,1104
MEPS,CHEARTDIEV,Heart Disease,2015,-0.912295,0.034978,-0.981264,-0.843326,21285,1107
MEPS,CHEARTDIEV,Heart Disease,2016,-0.886096,0.036852,-0.958759,-0.813432,21329,1135
MEPS,CHEARTDIEV,Heart Disease,2017,-0.954449,0.037858,-1.028917,-0.879982,20066,1076
MEPS,CHEARTDIEV,Heart Disease,2018,-0.90117100000000006,0.042195,-0.984598,-0.817743,18948,1057
MEPS,CHEARTDIEV,Heart Disease,2019,-0.876359,0.039943,-0.955192,-0.797526,17233,934
MEPS,CHEARTDIEV,Heart Disease,2020,-0.854788,0.0421,-0.937876,-0.771699,13878,949
MEPS,CHEARTDIEV,Heart Disease,2021,-0.796455,0.043647,-0.882375,-0.710535,14904,1036
MEPS,CHEARTDIEV,Heart Disease,2022,-0.870543,0.04611,-0.961344,-0.779742,10801,747
MEPS,CHEARTDIEV,Heart Disease,2023,-0.790686,0.051899,-0.893201,-0.688171,9601,612
MEPS,STROKEV,Stroke,2007,-1.030194,0.044941,-1.118527,-0.941861,18817,632
MEPS,STROKEV,Stroke,2008,-0.970409,0.043145,-1.055477,-0.88534,20320,754
MEPS,STROKEV,Stroke,2009,-0.980762,0.049218,-1.077805,-0.883719,22895,835
MEPS,STROKEV,Stroke,2010,-0.997113,0.044565,-1.08498,-0.909246,20574,750
MEPS,STROKEV,Stroke,2011,-0.999555,0.043238,-1.084808,-0.914302,22137,802
MEPS,STROKEV,Stroke,2012,-0.925369,0.051802,-1.027514,-0.823224,24802,855
MEPS,STROKEV,Stroke,2013,-0.86483,0.04862,-0.960715,-0.768945,22716,854
MEPS,STROKEV,Stroke,2014,-0.978529,0.044322,-1.065928,-0.891131,20858,829
MEPS,STROKEV,Stroke,2015,-0.975818,0.04576,-1.066046,-0.88559,21288,880
MEPS,STROKEV,Stroke,2016,-0.979227,0.043105,-1.064219,-0.894234,21334,927
MEPS,STROKEV,Stroke,2017,-0.937733,0.04154,-1.019442,-0.856023,20072,860
MEPS,STROKEV,Stroke,2018,-0.952499,0.040688,-1.032946,-0.872052,18952,872
MEPS,STROKEV,Stroke,2019,-0.943349,0.042001,-1.026243,-0.860455,17237,785
MEPS,STROKEV,Stroke,2020,-0.918215,0.045719,-1.008446,-0.827984,13879,760
MEPS,STROKEV,Stroke,2021,-0.864256,0.049851,-0.962388,-0.766124,14907,811
MEPS,STROKEV,Stroke,2022,-0.830847,0.065908,-0.960633,-0.701061,10802,580
MEPS,STROKEV,Stroke,2023,-0.745857,0.056359,-0.857183,-0.634531,9601,508
MEPS,ARTHGLUPEV,Arthritis,2007,-0.7189,0.02183,-0.761808,-0.675991,18775,4265
MEPS,ARTHGLUPEV,Arthritis,2008,-0.719582,0.021476,-0.761924,-0.677239,20317,4766
MEPS,ARTHGLUPEV,Arthritis,2009,-0.706821,0.020698,-0.747631,-0.666011,22892,5517
MEPS,ARTHGLUPEV,Arthritis,2010,-0.721523,0.021298,-0.763516,-0.679531,20572,5087
MEPS,ARTHGLUPEV,Arthritis,2011,-0.693114,0.019575,-0.73171,-0.654519,22137,5180
MEPS,ARTHGLUPEV,Arthritis,2012,-0.668439,0.020344,-0.708554,-0.628325,24799,5712
MEPS,ARTHGLUPEV,Arthritis,2013,-0.694611,0.018652,-0.731395,-0.657826,22715,5454
MEPS,ARTHGLUPEV,Arthritis,2014,-0.691255,0.022801,-0.736216,-0.646294,20856,5332
MEPS,ARTHGLUPEV,Arthritis,2015,-0.672827,0.02132,-0.714865,-0.630788,21285,5530
MEPS,ARTHGLUPEV,Arthritis,2016,-0.668567,0.019602,-0.707218,-0.629916,21331,5586
MEPS,ARTHGLUPEV,Arthritis,2017,-0.651771,0.018805,-0.68876,-0.614782,20065,5331
MEPS,ARTHGLUPEV,Arthritis,2018,-0.712073,0.01701,-0.745705,-0.67844,18948,5283
MEPS,ARTHGLUPEV,Arthritis,2019,-0.699116,0.018017,-0.734675,-0.663558,17235,4786
MEPS,ARTHGLUPEV,Arthritis,2020,-0.671624,0.022493,-0.716017,-0.627231,13879,4570
MEPS,ARTHGLUPEV,Arthritis,2021,-0.669927,0.023823,-0.716822,-0.623032,14907,4929
MEPS,ARTHGLUPEV,Arthritis,2022,-0.651019,0.025257,-0.700755,-0.601282,10800,3592
MEPS,ARTHGLUPEV,Arthritis,2023,-0.533665,0.029658,-0.592248,-0.475081,9597,3221
MEPS,CANCEREV,Cancer,2008,-0.450471,0.029333,-0.508305,-0.392637,20320,1716
MEPS,CANCEREV,Cancer,2009,-0.481571,0.02982,-0.540368,-0.422773,22891,1917
MEPS,CANCEREV,Cancer,2010,-0.44692,0.032049,-0.510109,-0.38373,20573,1761
MEPS,CANCEREV,Cancer,2011,-0.422058,0.030302,-0.481804,-0.362311,22137,1903
MEPS,CANCEREV,Cancer,2012,-0.450442,0.025797,-0.501309,-0.399576,24800,2051
MEPS,CANCEREV,Cancer,2013,-0.384104,0.032384,-0.447969,-0.320239,22711,1826
MEPS,CANCEREV,Cancer,2014,-0.393832,0.032125,-0.457179,-0.330484,20853,1831
