survey,covariate,covariate_label,year,coefficient,se,ci_lower,ci_upper,n_unweighted,n_covariate_1
NHIS,DIABETICEV,Diabetes,1997,-0.469748,0.028989,-0.52677,-0.412726,36081,33460
NHIS,DIABETICEV,Diabetes,1998,-0.519481,0.037291,-0.592832,-0.446129,32410,30112
NHIS,DIABETICEV,Diabetes,1999,-0.654681,0.046184,-0.745525,-0.563836,30763,28611
NHIS,DIABETICEV,Diabetes,2000,-0.669428,0.046924,-0.761729,-0.577128,32342,29956
NHIS,DIABETICEV,Diabetes,2001,-0.654806,0.034122,-0.721924,-0.587688,33285,30668
NHIS,DIABETICEV,Diabetes,2002,-0.600393,0.038208,-0.675548,-0.525238,31003,28487
NHIS,DIABETICEV,Diabetes,2003,-0.662852,0.040359,-0.742238,-0.583466,30815,28266
NHIS,DIABETICEV,Diabetes,2004,-0.667025,0.041044,-0.747759,-0.586292,31304,28484
NHIS,DIABETICEV,Diabetes,2005,-0.669055,0.040173,-0.748076,-0.590034,31413,28447
NHIS,DIABETICEV,Diabetes,2006,-0.609961,0.038885,-0.686484,-0.533438,24257,21914
NHIS,DIABETICEV,Diabetes,2007,-0.670555,0.051023,-0.770965,-0.570145,23378,21107
NHIS,DIABETICEV,Diabetes,2008,-0.707036,0.045962,-0.797487,-0.616585,21767,19476
NHIS,DIABETICEV,Diabetes,2009,-0.667468,0.052917,-0.771605,-0.563331,27721,24662
NHIS,DIABETICEV,Diabetes,2010,-0.714774,0.036792,-0.787177,-0.64237,27141,23997
NHIS,DIABETICEV,Diabetes,2011,-0.689612,0.02542,-0.739638,-0.639587,32997,29250
NHIS,DIABETICEV,Diabetes,2012,-0.694536,0.031216,-0.75596699999999994,-0.633104,34507,30464
NHIS,DIABETICEV,Diabetes,2013,-0.677899,0.031417,-0.739725,-0.616074,34542,30378
NHIS,DIABETICEV,Diabetes,2014,-0.664001,0.030534,-0.724091,-0.603911,36674,32202
NHIS,DIABETICEV,Diabetes,2015,-0.642557,0.032614,-0.706738,-0.578375,33661,29444
NHIS,DIABETICEV,Diabetes,2016,-0.47831,0.031721,-0.540607,-0.416014,33016,28577
NHIS,DIABETICEV,Diabetes,2017,-0.550621,0.022904,-0.595625,-0.505617,26734,23113
NHIS,DIABETICEV,Diabetes,2018,-0.553647,0.025633,-0.604012,-0.503281,25408,21714
NHIS,DIABETICEV,Diabetes,2019,-0.699975,0.04998,-0.798149,-0.601802,31896,28507
NHIS,DIABETICEV,Diabetes,2020,-0.69563,0.07101,-0.835102,-0.556158,31478,28098
NHIS,DIABETICEV,Diabetes,2021,-0.739918,0.043752,-0.825846,-0.65399,29383,26229
NHIS,DIABETICEV,Diabetes,2022,-0.72873,0.052387,-0.831626,-0.625834,27581,24612
NHIS,DIABETICEV,Diabetes,2023,-0.731382,0.047882,-0.825416,-0.637347,29437,26122
NHIS,DIABETICEV,Diabetes,2024,-0.763459,0.046153,-0.854098,-0.672821,32562,28837
NHIS,HYPERTENEV,Hypertension,1997,-0.538458,0.022968,-0.583636,-0.49328,36081,27218
NHIS,HYPERTENEV,Hypertension,1998,-0.534699,0.025303,-0.58447,-0.484928,32410,24337
NHIS,HYPERTENEV,Hypertension,1999,-0.606005,0.03283,-0.670582,-0.541429,30763,23175
NHIS,HYPERTENEV,Hypertension,2000,-0.620157,0.030996,-0.681127,-0.559187,32342,24391
NHIS,HYPERTENEV,Hypertension,2001,-0.600925,0.029399,-0.658753,-0.543098,33285,24842
NHIS,HYPERTENEV,Hypertension,2002,-0.549398,0.026381,-0.60129,-0.497507,31003,22898
NHIS,HYPERTENEV,Hypertension,2003,-0.52955,0.030098,-0.588753,-0.470347,30815,22515
NHIS,HYPERTENEV,Hypertension,2004,-0.561187,0.029144,-0.618513,-0.503861,31304,22668
NHIS,HYPERTENEV,Hypertension,2005,-0.572319,0.038457,-0.647964,-0.496673,31413,22555
NHIS,HYPERTENEV,Hypertension,2006,-0.580446,0.036192,-0.65167,-0.509222,24257,17195
NHIS,HYPERTENEV,Hypertension,2007,-0.672107,0.033233,-0.737507,-0.606708,23378,16507
NHIS,HYPERTENEV,Hypertension,2008,-0.644187,0.03284,-0.708814,-0.57956,21767,14773
NHIS,HYPERTENEV,Hypertension,2009,-0.666847,0.026789,-0.719566,-0.614128,27721,19036
NHIS,HYPERTENEV,Hypertension,2010,-0.542014,0.025237,-0.59168,-0.492349,27141,18255
NHIS,HYPERTENEV,Hypertension,2011,-0.619229,0.025322,-0.669061,-0.569397,32997,22289
NHIS,HYPERTENEV,Hypertension,2012,-0.640867,0.031661,-0.703173,-0.578561,34507,23186
NHIS,HYPERTENEV,Hypertension,2013,-0.641391,0.026132,-0.692817,-0.589966,34542,23281
NHIS,HYPERTENEV,Hypertension,2014,-0.598258,0.026074,-0.649571,-0.546946,36674,24245
NHIS,HYPERTENEV,Hypertension,2015,-0.615669,0.030647,-0.675981,-0.555357,33661,21880
NHIS,HYPERTENEV,Hypertension,2016,-0.584655,0.029539,-0.642666,-0.526643,33016,21309
NHIS,HYPERTENEV,Hypertension,2017,-0.616441,0.031968,-0.679255,-0.553627,26734,17309
NHIS,HYPERTENEV,Hypertension,2018,-0.549175,0.029069,-0.606291,-0.492058,25408,16150
NHIS,HYPERTENEV,Hypertension,2019,-0.633368,0.028401,-0.689154,-0.577582,31896,20393
NHIS,HYPERTENEV,Hypertension,2020,-0.628179,0.02895,-0.685041,-0.571317,31478,19967
NHIS,HYPERTENEV,Hypertension,2021,-0.637119,0.021814,-0.679961,-0.594278,29383,18713
NHIS,HYPERTENEV,Hypertension,2022,-0.599739,0.026898,-0.65257,-0.546908,27581,17406
NHIS,HYPERTENEV,Hypertension,2023,-0.564288,0.029209,-0.621651,-0.506925,29437,18333
NHIS,HYPERTENEV,Hypertension,2024,-0.596508,0.025123,-0.645847,-0.547169,32562,20276
NHIS,CHEARTDIEV,Heart Disease,1997,-0.420626,0.03005,-0.479736,-0.361517,36081,34697
NHIS,CHEARTDIEV,Heart Disease,1998,-0.402127,0.034711,-0.470403,-0.333851,32410,31096
NHIS,CHEARTDIEV,Heart Disease,1999,-0.410446,0.046181,-0.501283,-0.319608,30763,29751
NHIS,CHEARTDIEV,Heart Disease,2000,-0.536621,0.041898,-0.619035,-0.454207,32342,31112
NHIS,CHEARTDIEV,Heart Disease,2001,-0.372968,0.031016,-0.433976,-0.311959,33285,31828
NHIS,CHEARTDIEV,Heart Disease,2002,-0.434119,0.030011,-0.49315,-0.375088,31003,29650
NHIS,CHEARTDIEV,Heart Disease,2003,-0.412729,0.036436,-0.484399,-0.341059,30815,29638
NHIS,CHEARTDIEV,Heart Disease,2004,-0.424101,0.033768,-0.490523,-0.357678,31304,29791
NHIS,CHEARTDIEV,Heart Disease,2005,-0.474282,0.03625,-0.545587,-0.402977,31413,29794
NHIS,CHEARTDIEV,Heart Disease,2006,-0.439108,0.045419,-0.528489,-0.349728,24257,23108
NHIS,CHEARTDIEV,Heart Disease,2007,-0.38497,0.048491,-0.480398,-0.289543,23378,22275
NHIS,CHEARTDIEV,Heart Disease,2008,-0.542919,0.064443,-0.669739,-0.416099,21767,20745
NHIS,CHEARTDIEV,Heart Disease,2009,-0.467627,0.062068,-0.589773,-0.345481,27721,26315
NHIS,CHEARTDIEV,Heart Disease,2010,-0.451926,0.038614,-0.527915,-0.375937,27141,25751
NHIS,CHEARTDIEV,Heart Disease,2011,-0.482166,0.042314,-0.565436,-0.398896,32997,31176
NHIS,CHEARTDIEV,Heart Disease,2012,-0.512249,0.043809,-0.598463,-0.426036,34507,32647
NHIS,CHEARTDIEV,Heart Disease,2013,-0.443329,0.045955,-0.533766,-0.352892,34542,32654
NHIS,CHEARTDIEV,Heart Disease,2014,-0.397522,0.066416,-0.528225,-0.26682,36674,34818
NHIS,CHEARTDIEV,Heart Disease,2015,-0.480687,0.053777,-0.586517,-0.374857,33661,31866
NHIS,CHEARTDIEV,Heart Disease,2016,-0.354131,0.03716,-0.427109,-0.281153,33016,31138
NHIS,CHEARTDIEV,Heart Disease,2017,-0.407975,0.034088,-0.474956,-0.340994,26734,25252
NHIS,CHEARTDIEV,Heart Disease,2018,-0.399669,0.04309,-0.484336,-0.315002,25408,23863
NHIS,CHEARTDIEV,Heart Disease,2019,-0.391851,0.028527,-0.447886,-0.335817,31896,29962
NHIS,CHEARTDIEV,Heart Disease,2020,-0.440771,0.032956,-0.5055,-0.376041,31478,29507
NHIS,CHEARTDIEV,Heart Disease,2021,-0.378232,0.032019,-0.441118,-0.315346,29383,27521
NHIS,CHEARTDIEV,Heart Disease,2022,-0.37675,0.031307,-0.438241,-0.315258,27581,25779
NHIS,CHEARTDIEV,Heart Disease,2023,-0.356667,0.028525,-0.412685,-0.300648,29437,27520
NHIS,CHEARTDIEV,Heart Disease,2024,-0.323468,0.027379,-0.377238,-0.269699,32562,30347
NHIS,STROKEV,Stroke,1997,-0.418017,0.037689,-0.492151,-0.343884,36081,35141
NHIS,STROKEV,Stroke,1998,-0.360541,0.044094,-0.447274,-0.273808,32410,31542
NHIS,STROKEV,Stroke,1999,-0.515768,0.055665,-0.625262,-0.406274,30763,29989
NHIS,STROKEV,Stroke,2000,-0.532396,0.063042,-0.6564,-0.408393,32342,31533
NHIS,STROKEV,Stroke,2001,-0.474427,0.058353,-0.589208,-0.359647,33285,32384
NHIS,STROKEV,Stroke,2002,-0.438605,0.039701,-0.516697,-0.360512,31003,30160
NHIS,STROKEV,Stroke,2003,-0.480415,0.044677,-0.568294,-0.392536,30815,29977
NHIS,STROKEV,Stroke,2004,-0.543367,0.066827,-0.674816,-0.411917,31304,30336
NHIS,STROKEV,Stroke,2005,-0.461138,0.043389,-0.546484,-0.375792,31413,30511
NHIS,STROKEV,Stroke,2006,-0.415211,0.057947,-0.529247,-0.301174,24257,23519
NHIS,STROKEV,Stroke,2007,-0.591089,0.07373,-0.736184,-0.445995,23378,22709
NHIS,STROKEV,Stroke,2008,-0.560227,0.083236,-0.72403,-0.396424,21767,21024
NHIS,STROKEV,Stroke,2009,-0.550547,0.064142,-0.676774,-0.424321,27721,26860
NHIS,STROKEV,Stroke,2010,-0.477739,0.060507,-0.596812,-0.358666,27141,26269
NHIS,STROKEV,Stroke,2011,-0.559573,0.071736,-0.700743,-0.418402,32997,31919
NHIS,STROKEV,Stroke,2012,-0.595856,0.076568,-0.746537,-0.445175,34507,33373
NHIS,STROKEV,Stroke,2013,-0.588014,0.073221,-0.732107,-0.443921,34542,33435
NHIS,STROKEV,Stroke,2014,-0.470402,0.06267,-0.593732,-0.347071,36674,35462
NHIS,STROKEV,Stroke,2015,-0.399119,0.049524,-0.496579,-0.301659,33661,32469
NHIS,STROKEV,Stroke,2016,-0.529981,0.077918,-0.683005,-0.376957,33016,31767
NHIS,STROKEV,Stroke,2017,-0.549857,0.076623,-0.700413,-0.3993,26734,25710
NHIS,STROKEV,Stroke,2018,-0.552164,0.059296,-0.668674,-0.435655,25408,24387
NHIS,STROKEV,Stroke,2019,-0.518041,0.063424,-0.642621,-0.39346,31896,30659
NHIS,STROKEV,Stroke,2020,-0.610348,0.053549,-0.715525,-0.50517,31478,30396
NHIS,STROKEV,Stroke,2021,-0.541847,0.060456,-0.660583,-0.423112,29383,28341
NHIS,STROKEV,Stroke,2022,-0.465815,0.049149,-0.56235,-0.36928,27581,26536
NHIS,STROKEV,Stroke,2023,-0.473834,0.05535,-0.582534,-0.365134,29437,28276
NHIS,STROKEV,Stroke,2024,-0.528893,0.062234,-0.651113,-0.406673,32562,31289
NHIS,ARTHGLUPEV,Arthritis,2002,-0.414783,0.039361,-0.492206,-0.33736,31003,24091
NHIS,ARTHGLUPEV,Arthritis,2003,-0.460609,0.02472,-0.509234,-0.411984,30815,23755
NHIS,ARTHGLUPEV,Arthritis,2004,-0.482934,0.023419,-0.529,-0.436868,31304,24006
NHIS,ARTHGLUPEV,Arthritis,2005,-0.484623,0.029631,-0.542906,-0.426339,31413,24098
NHIS,ARTHGLUPEV,Arthritis,2006,-0.479341,0.031885,-0.542089,-0.416593,24257,18780
NHIS,ARTHGLUPEV,Arthritis,2007,-0.551265,0.030522,-0.611329,-0.4912,23378,18236
NHIS,ARTHGLUPEV,Arthritis,2008,-0.643627,0.035837,-0.714152,-0.573102,21767,16474
NHIS,ARTHGLUPEV,Arthritis,2009,-0.609293,0.032764,-0.67377,-0.544817,27721,20990
NHIS,ARTHGLUPEV,Arthritis,2010,-0.589884,0.030796,-0.650489,-0.529279,27141,20672
NHIS,ARTHGLUPEV,Arthritis,2011,-0.585409,0.031344,-0.647092,-0.523726,32997,24782
NHIS,ARTHGLUPEV,Arthritis,2012,-0.620737,0.026926,-0.673724,-0.567749,34507,26243
NHIS,ARTHGLUPEV,Arthritis,2013,-0.582417,0.034403,-0.65012,-0.514714,34542,25952
NHIS,ARTHGLUPEV,Arthritis,2014,-0.594387,0.026499,-0.646535,-0.542239,36674,27404
NHIS,ARTHGLUPEV,Arthritis,2015,-0.583349,0.035557,-0.653324,-0.513375,33661,24933
NHIS,ARTHGLUPEV,Arthritis,2016,-0.616115,0.031438,-0.677857,-0.554374,33016,23812
NHIS,ARTHGLUPEV,Arthritis,2017,-0.559708,0.03176,-0.622114,-0.497302,26734,19140
NHIS,ARTHGLUPEV,Arthritis,2018,-0.578567,0.034254,-0.645871,-0.511262,25408,18188
NHIS,ARTHGLUPEV,Arthritis,2019,-0.61841,0.039719,-0.696428,-0.540392,31896,23654
NHIS,ARTHGLUPEV,Arthritis,2020,-0.654702,0.031862,-0.717283,-0.592121,31478,23125
NHIS,ARTHGLUPEV,Arthritis,2021,-0.67363,0.026737,-0.72614,-0.621119,29383,21754
NHIS,ARTHGLUPEV,Arthritis,2022,-0.553322,0.03133,-0.61486,-0.49178500000000003,27581,20250
NHIS,ARTHGLUPEV,Arthritis,2023,-0.598614,0.033889,-0.665168,-0.53206,29437,21683
NHIS,ARTHGLUPEV,Arthritis,2024,-0.610003,0.024339,-0.657801,-0.562205,32562,23810
NHIS,COPDEV,COPD,2012,-0.530226,0.077368,-0.68248,-0.377971,34507,33359
NHIS,COPDEV,COPD,2013,-0.675582,0.068284,-0.80996,-0.541203,34542,33357
NHIS,COPDEV,COPD,2014,-0.507895,0.059555,-0.625094,-0.390695,36674,35263
NHIS,COPDEV,COPD,2015,-0.589472,0.064081,-0.715579,-0.463366,33661,32347
NHIS,COPDEV,COPD,2016,-0.494465,0.077639,-0.646943,-0.341988,33016,31571
NHIS,COPDEV,COPD,2017,-0.505718,0.051171,-0.606263,-0.405172,26734,25546
NHIS,COPDEV,COPD,2018,-0.565838,0.066884,-0.697257,-0.434419,25408,24230
NHIS,COPDEV,COPD,2019,-0.641147,0.058809,-0.756663,-0.525631,31896,30073
NHIS,COPDEV,COPD,2020,-0.691577,0.065967,-0.821144,-0.562011,31478,29586
NHIS,COPDEV,COPD,2021,-0.602414,0.053284,-0.707062,-0.497765,29383,27668
NHIS,COPDEV,COPD,2022,-0.59175,0.064258,-0.717961,-0.465538,27581,26027
NHIS,COPDEV,COPD,2023,-0.600801,0.060413,-0.719444,-0.482157,29437,27795
NHIS,COPDEV,COPD,2024,-0.548236,0.060271,-0.666601,-0.429871,32562,30676
NHIS,CANCEREV,Cancer,1997,-0.342506,0.025423,-0.392514,-0.292499,36081,33629
NHIS,CANCEREV,Cancer,1998,-0.345424,0.031764,-0.407904,-0.282943,32410,30244
NHIS,CANCEREV,Cancer,1999,-0.429617,0.037755,-0.503881,-0.355354,30763,28656
NHIS,CANCEREV,Cancer,2000,-0.432517,0.039533,-0.510278,-0.354756,32342,30169
NHIS,CANCEREV,Cancer,2001,-0.360047,0.03058,-0.420199,-0.299895,33285,30921
NHIS,CANCEREV,Cancer,2002,-0.394184,0.0281,-0.449458,-0.338911,31003,28699
NHIS,CANCEREV,Cancer,2003,-0.411241,0.036973,-0.483967,-0.338514,30815,28645
NHIS,CANCEREV,Cancer,2004,-0.361348,0.030082,-0.42052,-0.302177,31304,28929
NHIS,CANCEREV,Cancer,2005,-0.432744,0.0293,-0.490377,-0.37511,31413,28959
NHIS,CANCEREV,Cancer,2006,-0.364664,0.03835,-0.440135,-0.289194,24257,22490
NHIS,CANCEREV,Cancer,2007,-0.335751,0.044662,-0.423643,-0.247859,23378,21572
NHIS,CANCEREV,Cancer,2008,-0.376085,0.050258,-0.474988,-0.277182,21767,19905
NHIS,CANCEREV,Cancer,2009,-0.413034,0.035248,-0.482399,-0.343669,27721,25404
NHIS,CANCEREV,Cancer,2010,-0.378085,0.036995,-0.450888,-0.305282,27141,24794
NHIS,CANCEREV,Cancer,2011,-0.401239,0.024881,-0.450203,-0.352274,32997,30103
NHIS,CANCEREV,Cancer,2012,-0.414782,0.02877,-0.471399,-0.358165,34507,31374
NHIS,CANCEREV,Cancer,2013,-0.421114,0.031085,-0.482288,-0.35994,34542,31418
NHIS,CANCEREV,Cancer,2014,-0.349116,0.059257,-0.465729,-0.232502,36674,33210
NHIS,CANCEREV,Cancer,2015,-0.368863,0.037731,-0.443115,-0.294611,33661,30343
NHIS,CANCEREV,Cancer,2016,-0.305091,0.032165,-0.36826,-0.241922,33016,29302
NHIS,CANCEREV,Cancer,2017,-0.405918,0.025379,-0.455786,-0.35605,26734,23648
NHIS,CANCEREV,Cancer,2018,-0.365771,0.028011,-0.42081,-0.310733,25408,22443
NHIS,CANCEREV,Cancer,2019,-0.381751,0.0281,-0.436946,-0.326556,31896,28026
NHIS,CANCEREV,Cancer,2020,-0.4119,0.031426,-0.473624,-0.350176,31478,27325
NHIS,CANCEREV,Cancer,2021,-0.414502,0.027409,-0.468332,-0.360672,29383,25714
NHIS,CANCEREV,Cancer,2022,-0.341288,0.028151,-0.39658,-0.285996,27581,24126
NHIS,CANCEREV,Cancer,2023,-0.352642,0.024286,-0.400337,-0.304947,29437,25653
NHIS,CANCEREV,Cancer,2024,-0.401969,0.026123,-0.453271,-0.350666,32562,28114
NHIS,ASTHMAEV,Asthma,1997,-0.256333,0.017532,-0.290819,-0.221847,36081,32753
NHIS,ASTHMAEV,Asthma,1998,-0.227074,0.019897,-0.266213,-0.187936,32410,29386
NHIS,ASTHMAEV,Asthma,1999,-0.289073,0.025885,-0.339988,-0.238157,30763,28067
NHIS,ASTHMAEV,Asthma,2000,-0.329535,0.023066,-0.374906,-0.28416400000000003,32342,29261
NHIS,ASTHMAEV,Asthma,2001,-0.258983,0.022698,-0.303629,-0.214336,33285,29617
