Category,Survey,Derived Variable,Raw Variable(s),Figure Label,Scale,Coding,Description,Notes
Comorbidity Count,NHIS,comorb_count,"DIABETICEV, HYPERTENEV, CHEARTDIEV, STROKEV, ARTHGLUPEV, COPDEV, CANCEREV, ASTHMAEV",Comorbidity count,0-8 (count),"IPUMS: 1=No, 2=Yes; count where ==2",Sum of 8 chronic conditions ever diagnosed,Available all years
Comorbidity Count,MEPS,comorb_count,"DIABETICEV, HYPERTENEV, CHEARTDIEV, STROKEV, ARTHGLUPEV, CANCEREV, ASTHMAEV",Comorbidity count,0-7 (count),"0=NIU, 1=No, 2=Yes; count where ==1",Sum of 7 chronic conditions ever diagnosed,No COPD variable in MEPS
Comorbidity Count,BRFSS,comorb_count,"diabetes_dx, chd_dx, stroke_dx, arthritis_dx",Comorbidity count,0-4 (count),"0=No, 1=Yes; count where ==1",Sum of 4 chronic conditions ever diagnosed,"Excluded: htn_dx (odd years only causes zigzag), copd_dx/cancer_any_dx (2011+ only). Even years 2002-2010 excluded for consistency."
Mental Health,NHIS,k6_scaled,K6,K6 distress (0-6),0-6,"Raw 0-24 rescaled: (K6/24)*6",Kessler-6 psychological distress scale (higher=worse),Available 1997+; 2019 redesign may affect comparability
Mental Health,MEPS,K6SUM_scaled,K6SUM,K6 distress (0-6),0-6,"Raw 0-24 rescaled: (K6SUM/24)*6",Kessler-6 psychological distress scale (higher=worse),Nonspecific psychological distress past 30 days
Mental Health,BRFSS,ment_bad,MENTHLTH,Mental bad days (0-30),0-30 days,"Raw: 88=0 days, 1-30=days, 77/99=NA; recode 88→0","Days mental health not good (stress, depression, emotional problems)",Past 30 days; consistent across all years
Physical Health Limitations,NHIS,flclimb_harmonized,FLCLIMB,Difficulty climbing (1-4),1-4 (ordinal),"Harmonized: 1=None, 2=Little/Some, 3=Somewhat, 4=Very/Cannot; NIU→1",Difficulty climbing stairs without special equipment,"Harmonized across 2019 NHIS redesign. Pre-2019: 0=NIU→1, 10=None→1, 20-22→2, 30→3, 40/50→4. Post-2019: similar mapping."
Physical Health Limitations,MEPS,ADPALS,ADPALS,Physical limitation (0-4),0-4 (count),"Raw count of days 0-4",Days accomplished less than would like due to physical health,Past 4 weeks; measures functional impact
Physical Health Limitations,BRFSS,phys_bad,PHYSHLTH,Physical bad days (0-30),0-30 days,"Raw: 88=0 days, 1-30=days, 77/99=NA; recode 88→0","Days physical health not good (illness, injury)",Past 30 days; excludes mental health component
Outcome,NHIS,srh,HEALTH,Self-rated health,1-5 (higher=better),"Raw: 1=Excellent to 5=Poor; reversed so higher=better",Self-rated general health status,Dependent variable in coefficient regressions
Outcome,MEPS,srh,RTHLTH53,Self-rated health,1-5 (higher=better),"Raw: 1=Excellent to 5=Poor; reversed so higher=better",Self-rated general health status,Dependent variable in coefficient regressions
Outcome,BRFSS,srh,GENHLTH,Self-rated health,1-5 (higher=better),"Raw: 1=Excellent to 5=Poor; reversed so higher=better",Self-rated general health status,Dependent variable in coefficient regressions
