survey,variable,variable_label,age_group,year,mean,se,ci_lower,ci_upper,n_unweighted,category,value_scaled
BRFSS,comorb_count,Comorbidity Count,18-29,1993,0.010413810514208676,0.0011017722282580112,0.008254376627656532,0.012573244400760821,20143,Comorbidity Count,0.0021486807279842957
BRFSS,comorb_count,Comorbidity Count,18-29,1994,0.008336230025786283,0.0010167641227221396,0.006343408964478426,0.01032905108709414,20007,Comorbidity Count,1.601527138610265e-4
BRFSS,comorb_count,Comorbidity Count,18-29,1995,0.008168905174880291,9.478500826290897e-4,0.0063111531501839615,0.01002665719957662,20917,Comorbidity Count,0
BRFSS,comorb_count,Comorbidity Count,18-29,1996,0.014361373224354003,0.001289892845598781,0.011833229703064507,0.0168895167456435,22270,Comorbidity Count,0.005927036888131484
BRFSS,comorb_count,Comorbidity Count,18-29,1997,0.011679711853841649,9.964317967431945e-4,0.009726741419174453,0.013632682288508845,23876,Comorbidity Count,0.0033603210427659543
BRFSS,comorb_count,Comorbidity Count,18-29,1998,0.016231250419416657,0.0013632657970343112,0.013559298555874117,0.0189032022829592,26308,Comorbidity Count,0.007716764509310587
BRFSS,comorb_count,Comorbidity Count,18-29,1999,0.017524489526137495,0.001502808053903301,0.014579039864810298,0.020469939187464693,28268,Comorbidity Count,0.008954570797444777
BRFSS,comorb_count,Comorbidity Count,18-29,2000,0.03921656775218942,0.0017330694736456679,0.03581981400113812,0.04261332150324072,32027,Comorbidity Count,0.029716849552677192
BRFSS,comorb_count,Comorbidity Count,18-29,2001,0.0543913618038231,0.0018945191319514475,0.05067817253717617,0.05810455107047002,35743,Comorbidity Count,0.04424119806691378
BRFSS,comorb_count,Comorbidity Count,18-29,2003,0.07732084857655634,0.002432111442812056,0.07255399774225696,0.08208769941085572,36478,Comorbidity Count,0.06618784564621992
BRFSS,comorb_count,Comorbidity Count,18-29,2005,0.08324835667992643,0.0027149577579031834,0.07792713725488858,0.08856957610496428,38787,Comorbidity Count,0.07186127971203778
BRFSS,comorb_count,Comorbidity Count,18-29,2007,0.08197245910091588,0.0030125815742341995,0.07606790771492787,0.0878770104869039,34894,Comorbidity Count,0.07064007163218085
BRFSS,comorb_count,Comorbidity Count,18-29,2009,0.07049690127835884,0.0028439418102639362,0.06492287775611388,0.07607092480060379,28339,Comorbidity Count,0.05965639695145932
BRFSS,comorb_count,Comorbidity Count,18-29,2011,0.0627200776239089,0.001974801181798813,0.05884953843095609,0.06659061681686171,44816,Comorbidity Count,0.05221291556339859
BRFSS,comorb_count,Comorbidity Count,18-29,2012,0.06854740719556339,0.0023157374904254173,0.0640086451166804,0.07308616927444637,46336,Comorbidity Count,0.057790465104963204
BRFSS,comorb_count,Comorbidity Count,18-29,2013,0.06663391485797622,0.0021208717927899035,0.062477082528281117,0.07079074718767132,49654,Comorbidity Count,0.055958991841084195
BRFSS,comorb_count,Comorbidity Count,18-29,2014,0.06216825232321652,0.0019741733234625164,0.05829894370999025,0.0660375609364428,43983,Comorbidity Count,0.05168474345384917
BRFSS,comorb_count,Comorbidity Count,18-29,2015,0.06052771509278209,0.0019005585191584629,0.05680268884472073,0.06425274134084345,42860,Comorbidity Count,0.05011452547235077
BRFSS,comorb_count,Comorbidity Count,18-29,2016,0.058668000115336204,0.0017500205855079975,0.05523802279553683,0.06209797743513558,49631,Comorbidity Count,0.04833452448006965
BRFSS,comorb_count,Comorbidity Count,18-29,2017,0.06236039656626046,0.0020728826710789184,0.058297621186768595,0.06642317194575233,48727,Comorbidity Count,0.05186865171260237
BRFSS,comorb_count,Comorbidity Count,18-29,2018,0.06579766662199282,0.0022796617287907015,0.061329611736628736,0.07026572150735691,47420,Comorbidity Count,0.055158588172836004
BRFSS,comorb_count,Comorbidity Count,18-29,2019,0.06496105632229653,0.001962127708547185,0.06111535668047594,0.06880675596411712,45689,Comorbidity Count,0.05435783796021083
BRFSS,comorb_count,Comorbidity Count,18-29,2020,0.060316958237900946,0.002305898580092283,0.05579748006891802,0.06483643640688387,47355,Comorbidity Count,0.04991280240437091
BRFSS,comorb_count,Comorbidity Count,18-29,2021,0.06274040044928827,0.0022115204044594466,0.05840590010547231,0.06707490079310424,46304,Comorbidity Count,0.05223236728034445
BRFSS,comorb_count,Comorbidity Count,18-29,2022,0.07332235286890239,0.0033301904775821633,0.06679529947118311,0.07984940626662167,48722,Comorbidity Count,0.06236073965762874
BRFSS,comorb_count,Comorbidity Count,18-29,2023,0.0620149737212197,0.0024698032492351477,0.057174248303818814,0.06685569913862059,47723,Comorbidity Count,0.0515380349168106
BRFSS,comorb_count,Comorbidity Count,18-29,2024,0.06931748981875922,0.0022791068203624363,0.06485052253392926,0.07378445710358919,53228,Comorbidity Count,0.05852753925344891
BRFSS,comorb_count,Comorbidity Count,18-29,2025,0.08216706486013758,0.02643162392508611,0.0303620339140616,0.13397209580621355,2752,Comorbidity Count,0.07082633589779105
BRFSS,comorb_count,Comorbidity Count,30-39,1993,0.017245197367689116,0.0012872357897717895,0.014722261580125436,0.019768133155252793,24343,Comorbidity Count,0.00868725009228101
BRFSS,comorb_count,Comorbidity Count,30-39,1994,0.012590480594499739,9.971751781681145e-4,0.010636053159012924,0.014544908029986554,24733,Comorbidity Count,0.0042320510023410125
BRFSS,comorb_count,Comorbidity Count,30-39,1995,0.015170594711148424,0.001344454697267429,0.012535511925658563,0.017805677496638285,26485,Comorbidity Count,0.006701572269594901
BRFSS,comorb_count,Comorbidity Count,30-39,1996,0.024841965607651735,0.0013771363922408053,0.02214282787706033,0.02754110333824314,28126,Comorbidity Count,0.015958393880042797
BRFSS,comorb_count,Comorbidity Count,30-39,1997,0.026704226725659017,0.0014868754586320975,0.023790004377243632,0.0296184490740744,29839,Comorbidity Count,0.017740831876263095
BRFSS,comorb_count,Comorbidity Count,30-39,1998,0.02896181523492314,0.001533140330963241,0.025956915402989368,0.03196671506685691,32052,Comorbidity Count,0.019901652128499592
BRFSS,comorb_count,Comorbidity Count,30-39,1999,0.03329813633954926,0.0015001762307595339,0.03035784495679753,0.036238427722301,33375,Comorbidity Count,0.02405210311840602
BRFSS,comorb_count,Comorbidity Count,30-39,2000,0.09296018950723223,0.002733094439030427,0.08760342284038589,0.09831695617407857,37662,Comorbidity Count,0.08115682891131057
BRFSS,comorb_count,Comorbidity Count,30-39,2001,0.11478743590712762,0.002682922472580093,0.10952900448755748,0.12004586732669775,42269,Comorbidity Count,0.10204848205266351
BRFSS,comorb_count,Comorbidity Count,30-39,2003,0.15430454319095963,0.003003677951854991,0.1484174425841668,0.16019164379775244,46379,Comorbidity Count,0.13987174584865963
BRFSS,comorb_count,Comorbidity Count,30-39,2005,0.1566337415030687,0.0029763416545103756,0.150800219054542,0.1624672639515954,55731,Comorbidity Count,0.14210110645340548
BRFSS,comorb_count,Comorbidity Count,30-39,2007,0.15340006122418579,0.0030445343684549443,0.1474328835123197,0.15936723893605187,57291,Comorbidity Count,0.13900603318952465
BRFSS,comorb_count,Comorbidity Count,30-39,2009,0.14321668931052425,0.0030319300279358576,0.13727421565212444,0.14915916296892406,50021,Comorbidity Count,0.12925915674290922
BRFSS,comorb_count,Comorbidity Count,30-39,2011,0.14313955825661426,0.002964515124449158,0.13732921538106962,0.1489499011321589,57439,Comorbidity Count,0.12918533179975364
BRFSS,comorb_count,Comorbidity Count,30-39,2012,0.15512486818114643,0.0033997714607896315,0.14846143856233163,0.16178829779996123,53768,Comorbidity Count,0.14065690879794712
BRFSS,comorb_count,Comorbidity Count,30-39,2013,0.1408434185245024,0.002781567416631227,0.1353916465673351,0.14629519048166972,54808,Comorbidity Count,0.12698761276692183
BRFSS,comorb_count,Comorbidity Count,30-39,2014,0.1556325220027833,0.003325295850431962,0.14911506189799617,0.16214998210757042,49151,Comorbidity Count,0.14114280277482413
BRFSS,comorb_count,Comorbidity Count,30-39,2015,0.13438261014889452,0.002902952246081251,0.12869292829773563,0.14007229200005342,46333,Comorbidity Count,0.12080373757153326
BRFSS,comorb_count,Comorbidity Count,30-39,2016,0.14481834703706503,0.00289413626698629,0.1391459441874207,0.15049074988670935,52507,Comorbidity Count,0.13079216173405725
BRFSS,comorb_count,Comorbidity Count,30-39,2017,0.13787269880165648,0.003050215248619453,0.13189438676926746,0.1438510108340455,51243,Comorbidity Count,0.12414422863624328
BRFSS,comorb_count,Comorbidity Count,30-39,2018,0.15265702301910097,0.0032600577893386346,0.146267427164478,0.15904661887372396,49472,Comorbidity Count,0.13829484423939306
BRFSS,comorb_count,Comorbidity Count,30-39,2019,0.15076970959524372,0.003006008596789178,0.14487804100831914,0.1566613781821683,47617,Comorbidity Count,0.13648842776807701
BRFSS,comorb_count,Comorbidity Count,30-39,2020,0.13990197638411964,0.0037292635167910917,0.13259275420234992,0.14721119856588935,49716,Comorbidity Count,0.12608652417841237
BRFSS,comorb_count,Comorbidity Count,30-39,2021,0.15050640872081375,0.0033944023515440416,0.14385350236274935,0.15715931507887815,52467,Comorbidity Count,0.13623641290373606
BRFSS,comorb_count,Comorbidity Count,30-39,2022,0.15953174842176387,0.003556261848623669,0.15256160327886764,0.1665018935646601,54293,Comorbidity Count,0.14487489450882005
BRFSS,comorb_count,Comorbidity Count,30-39,2023,0.14405909630663197,0.003490125675311139,0.1372185756815036,0.15089961693176032,51968,Comorbidity Count,0.1300654551849617
BRFSS,comorb_count,Comorbidity Count,30-39,2024,0.14852027983150026,0.0034287232843136796,0.14180010568129156,0.15524045398170896,55317,Comorbidity Count,0.13433541654856793
BRFSS,comorb_count,Comorbidity Count,30-39,2025,0.16102029750979155,0.014123976187451795,0.13333781286388469,0.1887027821556984,2693,Comorbidity Count,0.1462996390991913
BRFSS,comorb_count,Comorbidity Count,40-49,1993,0.03480794283609721,0.002043095141664786,0.03080354994144547,0.038812335730748944,19165,Comorbidity Count,0.025497193949313216
BRFSS,comorb_count,Comorbidity Count,40-49,1994,0.03279915681012257,0.002037567052604549,0.028805598770932223,0.036792714849312916,20392,Comorbidity Count,0.023574511622784844
BRFSS,comorb_count,Comorbidity Count,40-49,1995,0.03944111814279917,0.004146180206025397,0.03131475426557653,0.04756748202002181,22557,Comorbidity Count,0.02993177491648289
BRFSS,comorb_count,Comorbidity Count,40-49,1996,0.05453750310102664,0.0021072814505841333,0.05040730735259242,0.05866769884946086,25556,Comorbidity Count,0.04438107522937704
BRFSS,comorb_count,Comorbidity Count,40-49,1997,0.05260356574275891,0.0020759313259977605,0.04853481510942482,0.056672316376093,27818,Comorbidity Count,0.04253003329097534
BRFSS,comorb_count,Comorbidity Count,40-49,1998,0.06663383672301282,0.002502612619879716,0.06172880612079315,0.07153886732523249,30913,Comorbidity Count,0.05595891705526267
BRFSS,comorb_count,Comorbidity Count,40-49,1999,0.0804913213485059,0.002738672355268902,0.07512362216672336,0.08585902053028843,33274,Comorbidity Count,0.06922242070127547
BRFSS,comorb_count,Comorbidity Count,40-49,2000,0.18650685485697027,0.004237993555000707,0.178200540122456,0.19481316959148454,38689,Comorbidity Count,0.17069375213156215
BRFSS,comorb_count,Comorbidity Count,40-49,2001,0.24627273168583239,0.004175606017723214,0.23808869427746618,0.2544567690941986,44716,Comorbidity Count,0.227897851334996
BRFSS,comorb_count,Comorbidity Count,40-49,2003,0.2916628045002634,0.00410343101705346,0.28362022749379406,0.2997053815067327,55379,Comorbidity Count,0.27134234451231176
BRFSS,comorb_count,Comorbidity Count,40-49,2005,0.31392361871934193,0.0039968706033392774,0.3060898962859301,0.3217573411527538,69633,Comorbidity Count,0.29264898121712835
BRFSS,comorb_count,Comorbidity Count,40-49,2007,0.30165747011813177,0.0036441320625812818,0.2945151025205648,0.30879983771569874,77527,Comorbidity Count,0.2809086032848023
BRFSS,comorb_count,Comorbidity Count,40-49,2009,0.28835443841295494,0.003648330048431206,0.2812038429143145,0.2955050339115954,71629,Comorbidity Count,0.2681757867388588
BRFSS,comorb_count,Comorbidity Count,40-49,2011,0.2933181749970338,0.0036693609428857087,0.28612635970269984,0.3005099902913677,75945,Comorbidity Count,0.2729267599536989
BRFSS,comorb_count,Comorbidity Count,40-49,2012,0.31107186795233727,0.004425533415799068,0.30239798184499256,0.319745754059682,68574,Comorbidity Count,0.2899194666105523
