survey,variable,variable_label,age_group,year,mean,se,ci_lower,ci_upper,n_unweighted,category
BRFSS,comorb_count,Comorbidity Count,18-29,1993,0.010413810514208676,0.0011017722282580112,0.008254376627656532,0.012573244400760821,20143,Comorbidity Count
BRFSS,comorb_count,Comorbidity Count,18-29,1994,0.008336230025786283,0.0010167641227221396,0.006343408964478426,0.01032905108709414,20007,Comorbidity Count
BRFSS,comorb_count,Comorbidity Count,18-29,1995,0.008168905174880291,9.478500826290897e-4,0.0063111531501839615,0.01002665719957662,20917,Comorbidity Count
BRFSS,comorb_count,Comorbidity Count,18-29,1996,0.014361373224354003,0.001289892845598781,0.011833229703064507,0.0168895167456435,22270,Comorbidity Count
BRFSS,comorb_count,Comorbidity Count,18-29,1997,0.011679711853841649,9.964317967431945e-4,0.009726741419174453,0.013632682288508845,23876,Comorbidity Count
BRFSS,comorb_count,Comorbidity Count,18-29,1998,0.016231250419416657,0.0013632657970343112,0.013559298555874117,0.0189032022829592,26308,Comorbidity Count
BRFSS,comorb_count,Comorbidity Count,18-29,1999,0.017524489526137495,0.001502808053903301,0.014579039864810298,0.020469939187464693,28268,Comorbidity Count
BRFSS,comorb_count,Comorbidity Count,18-29,2000,0.03921656775218942,0.0017330694736456679,0.03581981400113812,0.04261332150324072,32027,Comorbidity Count
BRFSS,comorb_count,Comorbidity Count,18-29,2001,0.0543913618038231,0.0018945191319514475,0.05067817253717617,0.05810455107047002,35743,Comorbidity Count
BRFSS,comorb_count,Comorbidity Count,18-29,2003,0.07732084857655634,0.002432111442812056,0.07255399774225696,0.08208769941085572,36478,Comorbidity Count
BRFSS,comorb_count,Comorbidity Count,18-29,2005,0.08324835667992643,0.0027149577579031834,0.07792713725488858,0.08856957610496428,38787,Comorbidity Count
BRFSS,comorb_count,Comorbidity Count,18-29,2007,0.08197245910091588,0.0030125815742341995,0.07606790771492787,0.0878770104869039,34894,Comorbidity Count
BRFSS,comorb_count,Comorbidity Count,18-29,2009,0.07049690127835884,0.0028439418102639362,0.06492287775611388,0.07607092480060379,28339,Comorbidity Count
BRFSS,comorb_count,Comorbidity Count,18-29,2011,0.0627200776239089,0.001974801181798813,0.05884953843095609,0.06659061681686171,44816,Comorbidity Count
BRFSS,comorb_count,Comorbidity Count,18-29,2012,0.06854740719556339,0.0023157374904254173,0.0640086451166804,0.07308616927444637,46336,Comorbidity Count
BRFSS,comorb_count,Comorbidity Count,18-29,2013,0.06663391485797622,0.0021208717927899035,0.062477082528281117,0.07079074718767132,49654,Comorbidity Count
BRFSS,comorb_count,Comorbidity Count,18-29,2014,0.06216825232321652,0.0019741733234625164,0.05829894370999025,0.0660375609364428,43983,Comorbidity Count
BRFSS,comorb_count,Comorbidity Count,18-29,2015,0.06052771509278209,0.0019005585191584629,0.05680268884472073,0.06425274134084345,42860,Comorbidity Count
BRFSS,comorb_count,Comorbidity Count,18-29,2016,0.058668000115336204,0.0017500205855079975,0.05523802279553683,0.06209797743513558,49631,Comorbidity Count
BRFSS,comorb_count,Comorbidity Count,18-29,2017,0.06236039656626046,0.0020728826710789184,0.058297621186768595,0.06642317194575233,48727,Comorbidity Count
BRFSS,comorb_count,Comorbidity Count,18-29,2018,0.06579766662199282,0.0022796617287907015,0.061329611736628736,0.07026572150735691,47420,Comorbidity Count
BRFSS,comorb_count,Comorbidity Count,18-29,2019,0.06496105632229653,0.001962127708547185,0.06111535668047594,0.06880675596411712,45689,Comorbidity Count
BRFSS,comorb_count,Comorbidity Count,18-29,2020,0.060316958237900946,0.002305898580092283,0.05579748006891802,0.06483643640688387,47355,Comorbidity Count
BRFSS,comorb_count,Comorbidity Count,18-29,2021,0.06274040044928827,0.0022115204044594466,0.05840590010547231,0.06707490079310424,46304,Comorbidity Count
