survey,variable,variable_label,age_group,year,mean,se,ci_lower,ci_upper,n_unweighted,category
MEPS,comorb_count,Comorbidity Count,18-29,2007,0.18464850499241706,0.008704298155007785,0.16758839409790335,0.20170861588693076,3856,Comorbidity Count
MEPS,comorb_count,Comorbidity Count,18-29,2008,0.22537201400523313,0.009126553192428633,0.20748429844508395,0.2432597295653823,4548,Comorbidity Count
MEPS,comorb_count,Comorbidity Count,18-29,2009,0.22916841488406484,0.009325051678609015,0.2108916494400164,0.24744518032811327,5017,Comorbidity Count
MEPS,comorb_count,Comorbidity Count,18-29,2010,0.22502700066984926,0.00945400593861605,0.206497489520534,0.24355651181916452,4352,Comorbidity Count
MEPS,comorb_count,Comorbidity Count,18-29,2011,0.2106300270888028,0.008492560292877394,0.19398491477822818,0.2272751393993774,4910,Comorbidity Count
MEPS,comorb_count,Comorbidity Count,18-29,2012,0.22844553077299154,0.008600191433824978,0.2115894653025447,0.2453015962434384,5579,Comorbidity Count
MEPS,comorb_count,Comorbidity Count,18-29,2013,0.24482818959620734,0.009885885445984646,0.22545221016678874,0.26420416902562593,5110,Comorbidity Count
MEPS,comorb_count,Comorbidity Count,18-29,2014,0.23704802627344665,0.009904271161278396,0.2176360115042223,0.256460041042671,4537,Comorbidity Count
MEPS,comorb_count,Comorbidity Count,18-29,2015,0.24006780376525863,0.01020934114074876,0.220057862823508,0.2600777447070093,4421,Comorbidity Count
MEPS,comorb_count,Comorbidity Count,18-29,2016,0.22592543413658317,0.010294166011409952,0.20574923950334334,0.246101628769823,4251,Comorbidity Count
MEPS,comorb_count,Comorbidity Count,18-29,2017,0.24515550297189867,0.010536380635856811,0.22450457639821408,0.26580642954558326,3732,Comorbidity Count
MEPS,comorb_count,Comorbidity Count,18-29,2018,0.29024772101169277,0.011721112013833131,0.2672747636058201,0.31322067841756546,3175,Comorbidity Count
MEPS,comorb_count,Comorbidity Count,18-29,2019,0.26696868593809897,0.0117022864905326,0.24403262587988545,0.2899047459963125,2727,Comorbidity Count
MEPS,comorb_count,Comorbidity Count,18-29,2020,0.2732175763261181,0.016239669218544937,0.2413884095369263,0.3050467431153099,1721,Comorbidity Count
MEPS,comorb_count,Comorbidity Count,18-29,2021,0.2921815590746196,0.017172512815061783,0.258524052433046,0.32583906571619325,1885,Comorbidity Count
MEPS,comorb_count,Comorbidity Count,18-29,2022,0.3218895785535266,0.02044443951196014,0.2818192134259771,0.36195994368107615,1214,Comorbidity Count
MEPS,comorb_count,Comorbidity Count,18-29,2023,0.26302705660228975,0.01916824707197495,0.22545798269445352,0.300596130510126,1063,Comorbidity Count
MEPS,comorb_count,Comorbidity Count,30-39,2007,0.3086127895960206,0.011820599945447033,0.2854448394272883,0.3317807397647529,3506,Comorbidity Count
MEPS,comorb_count,Comorbidity Count,30-39,2008,0.4073488113479729,0.01394405982295095,0.3800189562967171,0.4346786663992287,3845,Comorbidity Count
MEPS,comorb_count,Comorbidity Count,30-39,2009,0.39622974997599975,0.012771681027139393,0.37119771514077304,0.42126178481122645,4357,Comorbidity Count
MEPS,comorb_count,Comorbidity Count,30-39,2010,0.40491421268463385,0.01398056142269428,0.377512815812503,0.4323156095567647,3843,Comorbidity Count
MEPS,comorb_count,Comorbidity Count,30-39,2011,0.38541155246650843,0.013323383145021649,0.35929820135003804,0.41152490358297883,4109,Comorbidity Count
MEPS,comorb_count,Comorbidity Count,30-39,2012,0.40641194311361806,0.013412511705432246,0.38012390322874895,0.43269998299848716,4691,Comorbidity Count
MEPS,comorb_count,Comorbidity Count,30-39,2013,0.4061108297182935,0.014538766610335879,0.3776153707824017,0.43460628865418527,4305,Comorbidity Count
MEPS,comorb_count,Comorbidity Count,30-39,2014,0.40156183046734195,0.014152007935404769,0.3738244046050236,0.4292992563296603,3976,Comorbidity Count
MEPS,comorb_count,Comorbidity Count,30-39,2015,0.39823723454144755,0.014187513677613268,0.3704302187031561,0.426044250379739,3989,Comorbidity Count
MEPS,comorb_count,Comorbidity Count,30-39,2016,0.40282458278917044,0.014482062557613746,0.3744402617543915,0.4312089038239494,3886,Comorbidity Count
MEPS,comorb_count,Comorbidity Count,30-39,2017,0.4091307418960208,0.014455772779041753,0.38079794788040444,0.4374635359116371,3525,Comorbidity Count
MEPS,comorb_count,Comorbidity Count,30-39,2018,0.4243413741969576,0.01454008960831538,0.3958433222326744,0.45283942616124084,3245,Comorbidity Count
MEPS,comorb_count,Comorbidity Count,30-39,2019,0.39829289542675494,0.014748326732555574,0.3693867061987167,0.42719908465479317,2793,Comorbidity Count
MEPS,comorb_count,Comorbidity Count,30-39,2020,0.42917388234953496,0.02002011147947237,0.3899351848832922,0.4684125798157777,1998,Comorbidity Count
MEPS,comorb_count,Comorbidity Count,30-39,2021,0.44943135695349623,0.01970832537400174,0.41080374902485595,0.4880589648821365,2087,Comorbidity Count
MEPS,comorb_count,Comorbidity Count,30-39,2022,0.3990435591825857,0.020827362238087267,0.35822267930296514,0.4398644390622063,1501,Comorbidity Count
