survey,variable,variable_label,age_group,year,mean,se,ci_lower,ci_upper,n_unweighted,category
NHIS,comorb_count,Comorbidity Count,18-29,1997,0.19471005614986553,0.00617809818262076,0.1826012062189765,0.20681890608075457,7292,Comorbidity Count
NHIS,comorb_count,Comorbidity Count,18-29,1998,0.18770698652677403,0.006398625559982479,0.17516591087865094,0.20024806217489713,6315,Comorbidity Count
NHIS,comorb_count,Comorbidity Count,18-29,1999,0.18533413551945974,0.006501580536004757,0.1725912718263038,0.19807699921261568,6026,Comorbidity Count
NHIS,comorb_count,Comorbidity Count,18-29,2000,0.18443093378297193,0.00638411286076984,0.17191830250262408,0.19694356506331978,6491,Comorbidity Count
NHIS,comorb_count,Comorbidity Count,18-29,2001,0.21057675664423275,0.006623488429213476,0.19759495787095657,0.22355855541750894,6641,Comorbidity Count
NHIS,comorb_count,Comorbidity Count,18-29,2002,0.2518845085002474,0.007992953694551342,0.23621860712883042,0.2675504098716644,6028,Comorbidity Count
NHIS,comorb_count,Comorbidity Count,18-29,2003,0.24756929454183965,0.007664181197634326,0.2325477754234873,0.262590813660192,5948,Comorbidity Count
NHIS,comorb_count,Comorbidity Count,18-29,2004,0.23447825335728814,0.007876489567804634,0.2190406174797856,0.2499158892347907,5920,Comorbidity Count
NHIS,comorb_count,Comorbidity Count,18-29,2005,0.25158869296536884,0.008816011664227024,0.23430962761619886,0.26886775831453885,5827,Comorbidity Count
NHIS,comorb_count,Comorbidity Count,18-29,2006,0.2536701653278718,0.009151950515480076,0.23573267192923805,0.2716076587265055,4877,Comorbidity Count
NHIS,comorb_count,Comorbidity Count,18-29,2007,0.26144354435616396,0.01004935927569779,0.24174716210809277,0.28113992660423515,4541,Comorbidity Count
NHIS,comorb_count,Comorbidity Count,18-29,2008,0.28220742906973456,0.010371846813903894,0.26187898286131644,0.3025358752781527,4108,Comorbidity Count
NHIS,comorb_count,Comorbidity Count,18-29,2009,0.28592094438478755,0.009777251111905215,0.26675788433764913,0.30508400443192596,5277,Comorbidity Count
