survey,covariate,covariate_label,age_group,year,coefficient,se,ci_lower,ci_upper,n_unweighted,category
MEPS,ladl,ADL Limitation,18-29,2000,-0.7672575293000243,0.34477909553825536,-1.4432653768132044,-0.09124968178684412,3233,ADL Limitation
MEPS,ladl,ADL Limitation,18-29,2001,-0.9398291683909146,0.2573080376017342,-1.4442864460273368,-0.435371890754492,4278,ADL Limitation
MEPS,ladl,ADL Limitation,18-29,2002,-0.8829906053509313,0.18422661733985551,-1.2441546510031016,-0.5218265596987609,5055,ADL Limitation
MEPS,ladl,ADL Limitation,18-29,2003,-1.0592570931720815,0.3686403433331346,-1.7819720323575945,-0.33654215398656817,4531,ADL Limitation
MEPS,ladl,ADL Limitation,18-29,2004,-0.8265081663116499,0.18238440828012875,-1.1840709127933395,-0.46894541982996024,4516,ADL Limitation
MEPS,ladl,ADL Limitation,18-29,2005,-0.7333902956019361,0.24515227783603447,-1.2140133237788202,-0.2527672674250524,4363,ADL Limitation
MEPS,ladl,ADL Limitation,18-29,2006,-0.6509619384949316,0.2441371113860421,-1.1296007442758167,-0.17232313271404615,4174,ADL Limitation
MEPS,ladl,ADL Limitation,18-29,2007,-0.8937645753461848,0.21442072233471773,-1.3141528110383782,-0.47337633965399134,3876,ADL Limitation
MEPS,ladl,ADL Limitation,18-29,2008,-1.2841426551811455,0.22168672667138856,-1.7187554605518995,-0.849529849810391,4584,ADL Limitation
MEPS,ladl,ADL Limitation,18-29,2009,-1.0791922247919397,0.2770041418697639,-1.6222406506586475,-0.5361437989252315,5047,ADL Limitation
MEPS,ladl,ADL Limitation,18-29,2010,-0.9946220698392156,0.2734929137483756,-1.5308063297746093,-0.458437809903822,4387,ADL Limitation
MEPS,ladl,ADL Limitation,18-29,2011,-0.6303049792475325,0.2134585302996406,-1.0487779228552472,-0.21183203563981795,4972,ADL Limitation
MEPS,ladl,ADL Limitation,18-29,2012,-0.9146800971476122,0.22387572336769385,-1.3535627712352802,-0.4757974230599441,5634,ADL Limitation
MEPS,ladl,ADL Limitation,18-29,2013,-1.2750699371324248,0.2388028446578087,-1.743224470354761,-0.8069154039100885,5174,ADL Limitation
MEPS,ladl,ADL Limitation,18-29,2014,-1.1498719240917281,0.32358245334599817,-1.784249526014591,-0.5154943221688655,4582,ADL Limitation
MEPS,ladl,ADL Limitation,18-29,2015,-0.8471857143549435,0.2216469584861542,-1.2817232214622503,-0.41264820724763707,4480,ADL Limitation
MEPS,ladl,ADL Limitation,18-29,2016,-0.7834917280919322,0.2333706408674634,-1.2410183241317059,-0.32596513205215855,4310,ADL Limitation
MEPS,ladl,ADL Limitation,18-29,2017,-0.7390967890050347,0.17417681932088908,-1.0805869211282408,-0.3976066568818286,3765,ADL Limitation
MEPS,ladl,ADL Limitation,18-29,2018,-0.903659648881918,0.2033727765741813,-1.3024135074147092,-0.5049057903491267,3208,ADL Limitation
MEPS,ladl,ADL Limitation,18-29,2019,-0.3716400861958424,0.24526989200034963,-0.852570384224641,0.10929021183295634,2772,ADL Limitation
MEPS,ladl,ADL Limitation,18-29,2020,-1.9426934488975802,0.4962821042350717,-2.9160559836729116,-0.9693309141222483,1767,ADL Limitation
MEPS,ladl,ADL Limitation,18-29,2021,-0.8046869183114942,0.16905283238873112,-1.1362351427771686,-0.47313869384581986,1906,ADL Limitation
MEPS,ladl,ADL Limitation,18-29,2022,-1.146609971523289,0.24860161564998176,-1.6343335716741172,-0.6588863713724605,1249,ADL Limitation
MEPS,ladl,ADL Limitation,18-29,2023,-0.8020011847366119,0.42883785965166354,-1.643458879339533,0.03945650986630922,1073,ADL Limitation
MEPS,ladl,ADL Limitation,30-39,2000,-1.680803108148789,0.3400995405014985,-2.3476383378667887,-1.01396787843079,3200,ADL Limitation
MEPS,ladl,ADL Limitation,30-39,2001,-1.2844565226728704,0.2418693306215642,-1.7586505012974527,-0.8102625440482881,4137,ADL Limitation
MEPS,ladl,ADL Limitation,30-39,2002,-1.2904216373825614,0.22217392453122745,-1.7259840617638988,-0.8548592130012239,4815,ADL Limitation
MEPS,ladl,ADL Limitation,30-39,2003,-1.486496941859139,0.2615182233287596,-1.9992154540917053,-0.9737784296265726,4079,ADL Limitation
MEPS,ladl,ADL Limitation,30-39,2004,-1.1440885099490847,0.2006908474343704,-1.5375505692257405,-0.750626450672429,4135,ADL Limitation
MEPS,ladl,ADL Limitation,30-39,2005,-1.2040857572398265,0.19680945479304923,-1.5899432853799471,-0.8182282290997058,3957,ADL Limitation
MEPS,ladl,ADL Limitation,30-39,2006,-0.8941132448242346,0.24938726359439037,-1.3830560606351612,-0.4051704290133079,3876,ADL Limitation
MEPS,ladl,ADL Limitation,30-39,2007,-1.4851044586474436,0.32242592113659985,-2.1172644051868947,-0.8529445121079919,3532,ADL Limitation
MEPS,ladl,ADL Limitation,30-39,2008,-0.9932866021633806,0.20684947492683978,-1.39883109016054,-0.5877421141662211,3868,ADL Limitation
MEPS,ladl,ADL Limitation,30-39,2009,-1.3143562243445774,0.2203900816776994,-1.7464322731377049,-0.8822801755514502,4381,ADL Limitation
MEPS,ladl,ADL Limitation,30-39,2010,-1.2000932207437327,0.24444329374795704,-1.67934354854904,-0.7208428929384254,3862,ADL Limitation
MEPS,ladl,ADL Limitation,30-39,2011,-0.9052229757153764,0.18167047717069995,-1.2613942963813838,-0.5490516550493689,4158,ADL Limitation
MEPS,ladl,ADL Limitation,30-39,2012,-0.8487637517570061,0.20586116719684341,-1.2523476076104685,-0.4451798959035436,4727,ADL Limitation
MEPS,ladl,ADL Limitation,30-39,2013,-1.3715032394766673,0.22315006674316368,-1.808990921762032,-0.9340155571913026,4357,ADL Limitation
MEPS,ladl,ADL Limitation,30-39,2014,-1.524007556544296,0.21898098588791057,-1.953331312046569,-1.0946838010420232,4033,ADL Limitation
MEPS,ladl,ADL Limitation,30-39,2015,-1.1898586476100805,0.22129729230713716,-1.6237236438358993,-0.7559936513842619,4033,ADL Limitation
MEPS,ladl,ADL Limitation,30-39,2016,-1.280055728342186,0.23051831640516762,-1.7320026228586591,-0.828108833825713,3929,ADL Limitation
MEPS,ladl,ADL Limitation,30-39,2017,-1.530424682999755,0.3739712218488023,-2.263643466123524,-0.7972058998759862,3571,ADL Limitation
MEPS,ladl,ADL Limitation,30-39,2018,-1.241893210754105,0.2441806014729495,-1.7206536739918348,-0.7631327475163752,3308,ADL Limitation
MEPS,ladl,ADL Limitation,30-39,2019,-1.9777666096467055,0.34646359847713487,-2.6571132300984472,-1.2984199891949637,2833,ADL Limitation
MEPS,ladl,ADL Limitation,30-39,2020,-1.660124741332537,0.3001728891985036,-2.2488001871422347,-1.071449295522839,2053,ADL Limitation
MEPS,ladl,ADL Limitation,30-39,2021,-0.5960146117983262,0.3615261179210877,-1.3049977468895564,0.11296852329290408,2121,ADL Limitation
MEPS,ladl,ADL Limitation,30-39,2022,-0.5842530991451662,0.3572706290150411,-1.2850483282671346,0.1165421299768018,1523,ADL Limitation
MEPS,ladl,ADL Limitation,30-39,2023,-0.3131885275717557,0.3438951762453949,-0.987804952051343,0.36142789690783156,1376,ADL Limitation
MEPS,ladl,ADL Limitation,40-49,2000,-1.1755431320558936,0.16950103731945504,-1.5078837894813164,-0.8432024746304707,3227,ADL Limitation
MEPS,ladl,ADL Limitation,40-49,2001,-1.5623814138843848,0.1602910047539695,-1.8766323960105917,-1.2481304317581778,4405,ADL Limitation
MEPS,ladl,ADL Limitation,40-49,2002,-1.8104047559085965,0.16264061900576407,-2.129251587548874,-1.4915579242683188,5009,ADL Limitation
MEPS,ladl,ADL Limitation,40-49,2003,-1.6548205371220117,0.14306335476350474,-1.9352992500806498,-1.3743418241633736,4262,ADL Limitation
MEPS,ladl,ADL Limitation,40-49,2004,-1.5537990066711838,0.14987567113866418,-1.8476345214045935,-1.259963491937774,4206,ADL Limitation
MEPS,ladl,ADL Limitation,40-49,2005,-1.1625775863851724,0.18865689805579466,-1.532446733981451,-0.7927084387888939,4131,ADL Limitation
MEPS,ladl,ADL Limitation,40-49,2006,-1.402287133097489,0.1523452356231638,-1.7009653974703178,-1.1036088687246604,4153,ADL Limitation
MEPS,ladl,ADL Limitation,40-49,2007,-1.573035494243682,0.18042143069079572,-1.9267704347590584,-1.2193005537283055,3711,ADL Limitation
MEPS,ladl,ADL Limitation,40-49,2008,-1.6431029434797237,0.12216667828498648,-1.8826184399965311,-1.4035874469629164,3962,ADL Limitation
MEPS,ladl,ADL Limitation,40-49,2009,-1.5375938656957295,0.15572151322268693,-1.8428854784061448,-1.2323022529853143,4451,ADL Limitation
MEPS,ladl,ADL Limitation,40-49,2010,-1.4163263788189324,0.13887865547728828,-1.6886076985582734,-1.1440450590795914,3918,ADL Limitation
MEPS,ladl,ADL Limitation,40-49,2011,-1.3145634059964633,0.12939171394951607,-1.5682421500334949,-1.0608846619594317,4061,ADL Limitation
MEPS,ladl,ADL Limitation,40-49,2012,-1.7695718662018174,0.2715098812754566,-2.3018646568709253,-1.2372790755327094,4501,ADL Limitation
MEPS,ladl,ADL Limitation,40-49,2013,-1.5974967406357996,0.19528107023799277,-1.9803534629173059,-1.2146400183542936,4108,ADL Limitation
MEPS,ladl,ADL Limitation,40-49,2014,-1.4362624890406661,0.15757789525139482,-1.7452125306798907,-1.1273124474014415,3631,ADL Limitation
MEPS,ladl,ADL Limitation,40-49,2015,-1.3205974638184446,0.17659353728288552,-1.666827148430878,-0.974367779206011,3720,ADL Limitation
MEPS,ladl,ADL Limitation,40-49,2016,-1.2656541879015373,0.16119723711017947,-1.5816967835736957,-0.9496115922293789,3759,ADL Limitation
MEPS,ladl,ADL Limitation,40-49,2017,-1.6238294675862,0.23837141445913726,-2.091192771606769,-1.156466163565631,3453,ADL Limitation
MEPS,ladl,ADL Limitation,40-49,2018,-1.6454584489844595,0.29991212104491244,-2.2335096105921703,-1.0574072873767486,3041,ADL Limitation
MEPS,ladl,ADL Limitation,40-49,2019,-1.5289954572407036,0.18160291708066298,-1.8850881630007488,-1.1729027514806587,2738,ADL Limitation
MEPS,ladl,ADL Limitation,40-49,2020,-1.3791589882077526,0.25198146760725754,-1.8733263533977595,-0.884991623017746,2045,ADL Limitation
MEPS,ladl,ADL Limitation,40-49,2021,-1.6845052248519743,0.20808455597099842,-2.0925777637758034,-1.2764326859281452,2110,ADL Limitation
MEPS,ladl,ADL Limitation,40-49,2022,-1.8862221018501737,0.5602266314550435,-2.9851540336253484,-0.7872901700749995,1467,ADL Limitation
MEPS,ladl,ADL Limitation,40-49,2023,-1.0454931972828168,0.3308650639733622,-1.6945853467280396,-0.3964010478375939,1293,ADL Limitation
MEPS,ladl,ADL Limitation,50-59,2000,-1.2158683442449592,0.14140706937726932,-1.493158938962237,-0.9385777495276815,2437,ADL Limitation
MEPS,ladl,ADL Limitation,50-59,2001,-1.6694155321366557,0.1533172745780657,-1.970019576717228,-1.3688114875560835,3380,ADL Limitation
MEPS,ladl,ADL Limitation,50-59,2002,-1.4738960497061244,0.11318165503943571,-1.695796410202428,-1.2519956892098207,3929,ADL Limitation
MEPS,ladl,ADL Limitation,50-59,2003,-1.3042516151356682,0.12604635122285715,-1.5513897083051764,-1.05711352196616,3261,ADL Limitation
MEPS,ladl,ADL Limitation,50-59,2004,-1.3259729681133778,0.12821440679714668,-1.5773578151547096,-1.0745881210720463,3412,ADL Limitation
MEPS,ladl,ADL Limitation,50-59,2005,-1.301986367538902,0.11914172115671295,-1.5355795825310157,-1.0683931525467882,3548,ADL Limitation
MEPS,ladl,ADL Limitation,50-59,2006,-1.6118339354739795,0.11600799198660981,-1.8392793847213242,-1.3843884862266345,3724,ADL Limitation
MEPS,ladl,ADL Limitation,50-59,2007,-1.2931396841384895,0.13417347510055236,-1.556209094439884,-1.0300702738370948,3381,ADL Limitation
MEPS,ladl,ADL Limitation,50-59,2008,-1.3121007911895535,0.19644982015705095,-1.6972668694493052,-0.926934712929802,3547,ADL Limitation
MEPS,ladl,ADL Limitation,50-59,2009,-1.1598227063971998,0.11634457774508038,-1.3879213241195054,-0.9317240886748941,4096,ADL Limitation
MEPS,ladl,ADL Limitation,50-59,2010,-1.2675833838956625,0.10909266262096336,-1.4814710791999302,-1.0536956885913948,3700,ADL Limitation
MEPS,ladl,ADL Limitation,50-59,2011,-1.5674459272936796,0.14891380773805948,-1.8594002798982703,-1.275491574689089,3988,ADL Limitation
MEPS,ladl,ADL Limitation,50-59,2012,-1.2956607475524304,0.12428967719931709,-1.539330628725113,-1.051990866379748,4431,ADL Limitation
MEPS,ladl,ADL Limitation,50-59,2013,-1.1759957655308697,0.16965012634757198,-1.508604046242922,-0.8433874848188172,4022,ADL Limitation
MEPS,ladl,ADL Limitation,50-59,2014,-1.4340633812819352,0.16245775463882242,-1.7525765558492585,-1.115550206714612,3788,ADL Limitation
MEPS,ladl,ADL Limitation,50-59,2015,-1.191230192218676,0.12105339054580501,-1.4285637394697956,-0.9538966449675563,3923,ADL Limitation
MEPS,ladl,ADL Limitation,50-59,2016,-1.7195546263393804,0.1977479108241718,-2.1072563807411275,-1.3318528719376332,3818,ADL Limitation
MEPS,ladl,ADL Limitation,50-59,2017,-1.2142747605685678,0.12386432601107931,-1.4571262551728585,-0.971423265964277,3592,ADL Limitation
MEPS,ladl,ADL Limitation,50-59,2018,-1.266130394350762,0.18280240562184316,-1.6245484641765986,-0.9077123245249255,3290,ADL Limitation
MEPS,ladl,ADL Limitation,50-59,2019,-1.7825866566866513,0.19310939896714813,-2.161225473781023,-1.4039478395922793,3030,ADL Limitation
MEPS,ladl,ADL Limitation,50-59,2020,-1.4236352098604574,0.2162765013668965,-1.8477386235225324,-0.9995317961983823,2455,ADL Limitation
MEPS,ladl,ADL Limitation,50-59,2021,-1.3084103662911986,0.17874008882513276,-1.658904942007049,-0.9579157905753481,2491,ADL Limitation
MEPS,ladl,ADL Limitation,50-59,2022,-0.8342878744331423,0.22535814921810737,-1.276273260473557,-0.39230248839272747,1837,ADL Limitation
MEPS,ladl,ADL Limitation,50-59,2023,-1.2243215028203973,0.24871632668136104,-1.7121752966937027,-0.736467708947092,1561,ADL Limitation
MEPS,ladl,ADL Limitation,60-69,2000,-1.3300001969290034,0.23576724189168988,-1.7924520143855691,-0.8675483794724377,1572,ADL Limitation
MEPS,ladl,ADL Limitation,60-69,2001,-1.0930903230063,0.14599211951879684,-1.3793877036727498,-0.8067929423398501,2194,ADL Limitation
