survey,variable,variable_label,age_group,year,mean,se,ci_lower,ci_upper,n_unweighted,category
MEPS,ladl,ADL Limitation,18-29,2000,0.007537234290835663,0.001814282834022263,0.0039813052783827674,0.011093163303288559,3244,ADL Limitation
MEPS,ladl,ADL Limitation,18-29,2001,0.0042165173022035264,9.999296725436114e-4,0.0022566911569451187,0.006176343447461935,4288,ADL Limitation
MEPS,ladl,ADL Limitation,18-29,2002,0.008188410101374608,0.0016818159718289573,0.004892111367965623,0.011484708834783594,5074,ADL Limitation
MEPS,ladl,ADL Limitation,18-29,2003,0.0069587773716172285,0.0016516437365005235,0.00372161513278504,0.010195939610449418,4545,ADL Limitation
MEPS,ladl,ADL Limitation,18-29,2004,0.007744022069354657,0.001530930926225001,0.004743452591135109,0.010744591547574206,4530,ADL Limitation
MEPS,ladl,ADL Limitation,18-29,2005,0.008899514832591958,0.0016758344017681847,0.005614939761073089,0.012184089904110827,4371,ADL Limitation
MEPS,ladl,ADL Limitation,18-29,2006,0.009429264083391696,0.001840320574270625,0.005822302037813202,0.01303622612897019,4178,ADL Limitation
MEPS,ladl,ADL Limitation,18-29,2007,0.010362069603827705,0.0020544161454558274,0.006335487949476683,0.014388651258178727,3881,ADL Limitation
MEPS,ladl,ADL Limitation,18-29,2008,0.007015470205119058,0.001363270618771612,0.004343508891145065,0.009687431519093051,4587,ADL Limitation
MEPS,ladl,ADL Limitation,18-29,2009,0.007776341365124951,0.001659946935100419,0.004522905156080484,0.011029777574169418,5056,ADL Limitation
MEPS,ladl,ADL Limitation,18-29,2010,0.007787264095908891,0.001558173566387652,0.004733300024126763,0.010841228167691019,4394,ADL Limitation
MEPS,ladl,ADL Limitation,18-29,2011,0.009058237380967017,0.001737853378207811,0.005652107349268443,0.01246436741266559,4977,ADL Limitation
MEPS,ladl,ADL Limitation,18-29,2012,0.007400499226001006,0.001460245929287377,0.004538469796026525,0.010262528655975486,5639,ADL Limitation
MEPS,ladl,ADL Limitation,18-29,2013,0.007000232342924338,0.0011922144368164069,0.004663534984915477,0.009336929700933198,5188,ADL Limitation
MEPS,ladl,ADL Limitation,18-29,2014,0.008828531317047231,0.0014850316633496193,0.005917922740980368,0.011739139893114094,4591,ADL Limitation
MEPS,ladl,ADL Limitation,18-29,2015,0.014222583879295904,0.0025810407784169847,0.009163836910969388,0.01928133084762242,4490,ADL Limitation
MEPS,ladl,ADL Limitation,18-29,2016,0.011809230230890276,0.0026689828873770072,0.00657811989627762,0.01704034056550293,4323,ADL Limitation
MEPS,ladl,ADL Limitation,18-29,2017,0.004844520050714218,0.001155950557789174,0.002578898589538451,0.007110141511889986,3773,ADL Limitation
MEPS,ladl,ADL Limitation,18-29,2018,0.0074930244593670705,0.0017204943814239202,0.004120917436172669,0.010865131482561472,3219,ADL Limitation
MEPS,ladl,ADL Limitation,18-29,2019,0.009127178058613156,0.0021077653523095766,0.004996033880225008,0.013258322237001303,2777,ADL Limitation
