survey,outcome,outcome_label,age_group,year,coefficient,se,ci_lower,ci_upper,n_unweighted,category
MEPS,provider_listens,Provider Listens,18-29,2000,0.006369070000014793,0.00449658109300769,-0.002449784141593402,0.015187924141622988,1869,Provider Listens
MEPS,provider_listens,Provider Listens,18-29,2001,0.015961051127024454,0.005390904563911534,0.005390042985859706,0.026532059268189207,2546,Provider Listens
MEPS,provider_listens,Provider Listens,30-39,2000,0.02087745305556729,0.006378143150116781,0.008369802850408418,0.03338510326072616,2255,Provider Listens
MEPS,provider_listens,Provider Listens,30-39,2001,0.013383776075226202,0.004340884739153326,0.004872253255436507,0.021895298895015902,2908,Provider Listens
MEPS,provider_listens,Provider Listens,40-49,2000,0.0019728700179997114,0.003550592298497432,-0.004989573381180196,0.00893531341717962,2473,Provider Listens
MEPS,provider_listens,Provider Listens,40-49,2001,0.010523973503346733,0.0045711526627424184,0.0015614723458105915,0.01948647466088288,3385,Provider Listens
MEPS,provider_listens,Provider Listens,50-59,2000,0.014320530356679823,0.004319352010495504,0.005849720289443848,0.02279134042391579,2038,Provider Listens
MEPS,provider_listens,Provider Listens,50-59,2001,0.00504101605948871,0.003420200961074602,-0.0016653546420962858,0.01174738676107371,2801,Provider Listens
MEPS,provider_listens,Provider Listens,60-69,2000,0.014201072775829047,0.005219621806091238,0.003961648960521709,0.024440496591136382,1356,Provider Listens
MEPS,provider_listens,Provider Listens,60-69,2001,0.002985415532750004,0.004297053469828666,-0.005442031509787773,0.011412862575287773,1899,Provider Listens
MEPS,provider_listens,Provider Listens,70-79,2000,0.0125062753355993,0.006843536950599298,-9.210915572051802e-4,0.025933642228403782,1140,Provider Listens
MEPS,provider_listens,Provider Listens,70-79,2001,0.00648568014077392,0.0055741701160634755,-0.0044482508772063145,0.01741961115875415,1513,Provider Listens
MEPS,provider_listens,Provider Listens,80-89,2000,0.013583355094480401,0.0068117866402246955,2.0110959544937697e-4,0.026965600593511427,518,Provider Listens
MEPS,provider_listens,Provider Listens,80-89,2001,0.01352671375369001,0.0050424818662124305,0.0036283303509159464,0.023425097156464077,785,Provider Listens
MEPS,provider_respect,Provider Respect,18-29,2002,-8.197866961103342e-4,0.03219820776735079,-0.06414361220001674,0.06250403880779606,356,Provider Respect
MEPS,provider_respect,Provider Respect,18-29,2003,0.0198676322945597,0.04184325590066353,-0.062492166072156234,0.10222743066127563,288,Provider Respect
MEPS,provider_respect,Provider Respect,18-29,2004,-0.012905008627542678,0.04061278075845474,-0.09288269736147849,0.06707268010639317,258,Provider Respect
MEPS,provider_respect,Provider Respect,18-29,2005,-0.04672451983884971,0.034362998125945676,-0.11440638798004732,0.020957348302347863,249,Provider Respect
MEPS,provider_respect,Provider Respect,18-29,2006,0.04468149696753544,0.03688700787946674,-0.02802884080734161,0.11739183474241255,215,Provider Respect
MEPS,provider_respect,Provider Respect,18-29,2007,0.052018885211624254,0.03521094233891964,-0.01742651315504854,0.12146428357829708,196,Provider Respect
MEPS,provider_respect,Provider Respect,18-29,2008,0.004428000685840988,0.03454132520879886,-0.06359082479768183,0.07244682616936375,260,Provider Respect
MEPS,provider_respect,Provider Respect,18-29,2009,0.004955218888819425,0.03600757884753488,-0.0659471146453954,0.07585755242303427,263,Provider Respect
