survey,variable,variable_label,age_group,year,mean,se,ci_lower,ci_upper,n_unweighted,category
MEPS,provider_listens,Provider Listens,18-29,2000,0.9752095708526414,0.004138551830058435,0.9670981583175745,0.9833209833877082,1869,Provider Listens
MEPS,provider_listens,Provider Listens,18-29,2001,0.9616651664723528,0.004464743480601237,0.9529144300501644,0.9704159028945412,2546,Provider Listens
MEPS,provider_listens,Provider Listens,30-39,2000,0.9612952721680451,0.004820785400597386,0.9518467064056777,0.9707438379304125,2255,Provider Listens
MEPS,provider_listens,Provider Listens,30-39,2001,0.9605022420652487,0.003968611519470541,0.9527239064184556,0.9682805777120418,2908,Provider Listens
MEPS,provider_listens,Provider Listens,40-49,2000,0.9752346662337987,0.0036255437321631593,0.968128731094384,0.9823406013732134,2473,Provider Listens
MEPS,provider_listens,Provider Listens,40-49,2001,0.9597551099775652,0.0037189595704711516,0.9524660831594812,0.9670441367956492,3385,Provider Listens
MEPS,provider_listens,Provider Listens,50-59,2000,0.9647879689821502,0.004383090550002508,0.9561972693631675,0.973378668601133,2038,Provider Listens
MEPS,provider_listens,Provider Listens,50-59,2001,0.9729335088141188,0.003237594893741107,0.9665879394258554,0.9792790782023821,2801,Provider Listens
MEPS,provider_listens,Provider Listens,60-69,2000,0.9692256952176549,0.005181163272138446,0.9590708018062418,0.979380588629068,1356,Provider Listens
MEPS,provider_listens,Provider Listens,60-69,2001,0.9624153503811999,0.004708574234704686,0.9531867144626455,0.9716439862997542,1899,Provider Listens
MEPS,provider_listens,Provider Listens,70-79,2000,0.9775887308253519,0.004710772330511322,0.9683557867181819,0.9868216749325219,1140,Provider Listens
MEPS,provider_listens,Provider Listens,70-79,2001,0.9638167151944915,0.005761262538645849,0.9525248481132659,0.9751085822757172,1513,Provider Listens
MEPS,provider_listens,Provider Listens,80-89,2000,0.9800186058432173,0.00699450921728182,0.9663096196878115,0.9937275919986231,518,Provider Listens
MEPS,provider_listens,Provider Listens,80-89,2001,0.9727969835568596,0.006362037932233449,0.9603276183414043,0.9852663487723149,785,Provider Listens
MEPS,provider_respect,Provider Respect,18-29,2002,0.6429578887731613,0.031096806989206072,0.582009267040124,0.7039065105061986,356,Provider Respect
MEPS,provider_respect,Provider Respect,18-29,2003,0.7348536806702425,0.03245825914088097,0.6712366617532478,0.7984706995872372,288,Provider Respect
