survey,outcome,outcome_label,age_group,year,coefficient,se,ci_lower,ci_upper,n_unweighted,category
MEPS,hospitalized,Hospitalized,18-29,2000,-0.025883806396913067,0.006575773006946111,-0.03877720629221808,-0.012990406501608055,3049,Hospitalized
MEPS,hospitalized,Hospitalized,18-29,2001,-0.016548455703826823,0.005203337808659288,-0.026749728678218898,-0.006347182729434754,4233,Hospitalized
MEPS,hospitalized,Hospitalized,18-29,2002,-0.027054294946715938,0.005185652222743604,-0.03722042988366142,-0.016888160009770455,5038,Hospitalized
MEPS,hospitalized,Hospitalized,18-29,2003,-0.015526392160612244,0.00480668177795579,-0.024949843763492977,-0.006102940557731517,4513,Hospitalized
MEPS,hospitalized,Hospitalized,18-29,2004,-0.022856446270497592,0.004862368689608951,-0.03238908175687105,-0.01332381078412413,4495,Hospitalized
MEPS,hospitalized,Hospitalized,18-29,2005,-0.014735459496231085,0.004994868733183174,-0.02452794952463532,-0.00494296946782685,4348,Hospitalized
MEPS,hospitalized,Hospitalized,18-29,2006,-0.020536722992812544,0.005025318727449218,-0.030389039471862236,-0.010684406513762852,4153,Hospitalized
MEPS,hospitalized,Hospitalized,18-29,2007,-0.036282215542215945,0.0059341952803872704,-0.047916678400788046,-0.024647752683643845,3856,Hospitalized
MEPS,hospitalized,Hospitalized,18-29,2008,-0.022371828710752852,0.005852531790130824,-0.033845635105186185,-0.01089802231631952,4548,Hospitalized
MEPS,hospitalized,Hospitalized,18-29,2009,-0.023273811488596436,0.0050885722069786725,-0.0332496373916468,-0.013297985585546077,5017,Hospitalized
MEPS,hospitalized,Hospitalized,18-29,2010,-0.017641957063611654,0.005314577025132659,-0.028061235721857647,-0.007222678405365668,4352,Hospitalized
MEPS,hospitalized,Hospitalized,18-29,2011,-0.021910908600274122,0.005312125239237012,-0.032325050977387575,-0.011496766223160669,4910,Hospitalized
MEPS,hospitalized,Hospitalized,18-29,2012,-0.02260297852175184,0.004878776760649821,-0.032167280974214736,-0.013038676069288947,5579,Hospitalized
MEPS,hospitalized,Hospitalized,18-29,2013,-0.021672876513425348,0.005174239609776237,-0.03181660339020622,-0.011529149636644476,5110,Hospitalized
MEPS,hospitalized,Hospitalized,18-29,2014,-0.01850360032406318,0.004761583916039086,-0.027838624760385747,-0.009168575887740615,4537,Hospitalized
MEPS,hospitalized,Hospitalized,18-29,2015,-0.016817463713252653,0.005449207029369167,-0.027500639344710996,-0.006134288081794311,4421,Hospitalized
MEPS,hospitalized,Hospitalized,18-29,2016,-0.013177153673918524,0.0044422869666487005,-0.02188635701800547,-0.004467950329831577,4251,Hospitalized
MEPS,hospitalized,Hospitalized,18-29,2017,-0.02420220983150675,0.004857718713924557,-0.033726254041226755,-0.014678165621786749,3732,Hospitalized
MEPS,hospitalized,Hospitalized,18-29,2018,-0.017725412453117376,0.005390750259891999,-0.028295120680541373,-0.0071557042256933795,3175,Hospitalized
MEPS,hospitalized,Hospitalized,18-29,2019,-0.02445354081532525,0.0063406453282128135,-0.036886499609359295,-0.012020582021291209,2727,Hospitalized
MEPS,hospitalized,Hospitalized,18-29,2020,-0.01359137655655187,0.00707895904227073,-0.02747565726707771,2.9290415397396213e-4,1721,Hospitalized
MEPS,hospitalized,Hospitalized,18-29,2021,-0.027495512625430003,0.007582019541565721,-0.04236555599678854,-0.01262546925407146,1885,Hospitalized
