survey,outcome,outcome_label,age_group,year,coefficient,se,ci_lower,ci_upper,n_unweighted,category
NHIS,hospitalized,Hospitalized,18-29,1997,-0.02457413936220903,0.004742826958950817,-0.03387145387052881,-0.015276824853889242,7288,Hospitalized
NHIS,hospitalized,Hospitalized,18-29,1998,-0.028893221678485834,0.0051934190778145685,-0.0390740882648417,-0.018712355092129977,6314,Hospitalized
NHIS,hospitalized,Hospitalized,18-29,1999,-0.02693690261516912,0.005593518750608849,-0.037902203658243025,-0.015971601572095213,6019,Hospitalized
NHIS,hospitalized,Hospitalized,18-29,2000,-0.034486812090210296,0.004897195761653915,-0.04408693089889148,-0.024886693281529107,6488,Hospitalized
NHIS,hospitalized,Hospitalized,18-29,2001,-0.03217729221257067,0.00566850109067742,-0.0432893772702853,-0.02106520715485605,6637,Hospitalized
NHIS,hospitalized,Hospitalized,18-29,2002,-0.028075332108177434,0.005010978046873426,-0.03789864430521098,-0.01825201991114389,6020,Hospitalized
NHIS,hospitalized,Hospitalized,18-29,2003,-0.03415307590008504,0.005736957148080664,-0.04539959847625768,-0.0229065533239124,5938,Hospitalized
NHIS,hospitalized,Hospitalized,18-29,2004,-0.022827717280777888,0.004940519856602902,-0.032512942793856484,-0.013142491767699285,5909,Hospitalized
NHIS,hospitalized,Hospitalized,18-29,2005,-0.03363977291456121,0.005163213761580344,-0.04376159237079714,-0.02351795345832529,5818,Hospitalized
NHIS,hospitalized,Hospitalized,18-29,2006,-0.030286128801596267,0.006179875817399956,-0.04240147328699283,-0.018170784316199708,4873,Hospitalized
NHIS,hospitalized,Hospitalized,18-29,2007,-0.02797918867105487,0.005912499018729401,-0.03957056609871414,-0.016387811243395597,4539,Hospitalized
NHIS,hospitalized,Hospitalized,18-29,2008,-0.019229407955328005,0.005581134358710634,-0.030171455766641826,-0.008287360144014187,4108,Hospitalized
NHIS,hospitalized,Hospitalized,18-29,2009,-0.023346208750860527,0.005706582196391593,-0.03453347175861024,-0.012158945743110813,5276,Hospitalized
NHIS,hospitalized,Hospitalized,18-29,2010,-0.038463951447616065,0.006050389534187804,-0.05032522223725017,-0.02660268065798197,5270,Hospitalized
NHIS,hospitalized,Hospitalized,18-29,2011,-0.025312316082411152,0.0045737184199917775,-0.0342783576600128,-0.016346274504809508,6318,Hospitalized
NHIS,hospitalized,Hospitalized,18-29,2012,-0.023797087771469726,0.005182797187672175,-0.033957100256988906,-0.013637075285950546,6418,Hospitalized
NHIS,hospitalized,Hospitalized,18-29,2013,-0.03255373641251595,0.005327672277712147,-0.04299775705113406,-0.022109715773897844,6403,Hospitalized
