survey,variable,variable_label,age_group,year,mean,se,ci_lower,ci_upper,n_unweighted,category
MEPS,hospitalized,Hospitalized,18-29,2000,0.07426388845952556,0.005543552534630591,0.06339872514524388,0.08512905177380724,3049,Hospitalized
MEPS,hospitalized,Hospitalized,18-29,2001,0.061171662374221114,0.004073684637892541,0.05318738719957764,0.06915593754886458,4233,Hospitalized
MEPS,hospitalized,Hospitalized,18-29,2002,0.06696899028785344,0.003982503118992787,0.059163427606309146,0.07477455296939774,5038,Hospitalized
MEPS,hospitalized,Hospitalized,18-29,2003,0.0679436652173328,0.004301753320614432,0.059512383638552935,0.07637494679611267,4513,Hospitalized
MEPS,hospitalized,Hospitalized,18-29,2004,0.06427651857535743,0.004301482324407662,0.05584576813938278,0.07270726901133209,4495,Hospitalized
MEPS,hospitalized,Hospitalized,18-29,2005,0.06800528183161161,0.004453391940640563,0.059276794018915176,0.07673376964430806,4348,Hospitalized
MEPS,hospitalized,Hospitalized,18-29,2006,0.06575695208690753,0.004506094961866013,0.05692516825073276,0.0745887359230823,4153,Hospitalized
MEPS,hospitalized,Hospitalized,18-29,2007,0.06575693117353672,0.00465531815013604,0.05663267526269446,0.07488118708437898,3856,Hospitalized
MEPS,hospitalized,Hospitalized,18-29,2008,0.06751828042743632,0.0045036251488687435,0.05869133733578474,0.0763452235190879,4548,Hospitalized
MEPS,hospitalized,Hospitalized,18-29,2009,0.06303484453917393,0.004151671454732594,0.05489771801225504,0.07117197106609283,5017,Hospitalized
MEPS,hospitalized,Hospitalized,18-29,2010,0.056548273090225455,0.004127960750080091,0.04845761869047353,0.06463892748997738,4352,Hospitalized
MEPS,hospitalized,Hospitalized,18-29,2011,0.06271704698025081,0.004486215608935161,0.053924225959856464,0.07150986800064515,4910,Hospitalized
MEPS,hospitalized,Hospitalized,18-29,2012,0.05447922023484931,0.004088268045858873,0.046466362105819975,0.06249207836387864,5579,Hospitalized
MEPS,hospitalized,Hospitalized,18-29,2013,0.050968140971484666,0.0039398751740365905,0.043246127526789475,0.058690154416179856,5110,Hospitalized
MEPS,hospitalized,Hospitalized,18-29,2014,0.04797863581198436,0.0036674579177011857,0.040790550378473775,0.055166721245494946,4537,Hospitalized
MEPS,hospitalized,Hospitalized,18-29,2015,0.0517355120256845,0.004179290598634389,0.04354425297143426,0.05992677107993474,4421,Hospitalized
MEPS,hospitalized,Hospitalized,18-29,2016,0.04662217952805983,0.003815294621863545,0.03914433947879792,0.054100019577321745,4251,Hospitalized
MEPS,hospitalized,Hospitalized,18-29,2017,0.0440060992299063,0.003738741299142483,0.03667830093607455,0.051333897523738056,3732,Hospitalized
MEPS,hospitalized,Hospitalized,18-29,2018,0.044657012040121416,0.0041684988724841575,0.036486904380456646,0.052827119699786186,3175,Hospitalized
MEPS,hospitalized,Hospitalized,18-29,2019,0.04879579992948344,0.005016024516933378,0.0389645725307241,0.058627027328242785,2727,Hospitalized
MEPS,hospitalized,Hospitalized,18-29,2020,0.04199916240279212,0.005460663672706728,0.03129645827260072,0.05270186653298352,1721,Hospitalized
MEPS,hospitalized,Hospitalized,18-29,2021,0.03870921247528125,0.0050691636990690125,0.028773834193368153,0.04864459075719435,1885,Hospitalized
MEPS,hospitalized,Hospitalized,18-29,2022,0.04277417851289028,0.007569775733678255,0.02793769070383564,0.05761066632194492,1214,Hospitalized
MEPS,hospitalized,Hospitalized,18-29,2023,0.03277136162483582,0.005738135231642373,0.02152482323239637,0.04401790001727527,1063,Hospitalized
MEPS,hospitalized,Hospitalized,30-39,2000,0.06472958895802101,0.005015357991646635,0.05489966792481847,0.07455950999122356,3186,Hospitalized
MEPS,hospitalized,Hospitalized,30-39,2001,0.0800857603833383,0.004882150007966587,0.07051692220060185,0.08965459856607474,4098,Hospitalized
MEPS,hospitalized,Hospitalized,30-39,2002,0.06556108816793031,0.004071304564162636,0.057581477852078004,0.07354069848378261,4782,Hospitalized
MEPS,hospitalized,Hospitalized,30-39,2003,0.06469736184518401,0.004524023957041336,0.05583043782418662,0.07356428586618141,4052,Hospitalized
MEPS,hospitalized,Hospitalized,30-39,2004,0.07091437704730878,0.004646260409417662,0.06180787398205584,0.08002088011256173,4110,Hospitalized
MEPS,hospitalized,Hospitalized,30-39,2005,0.07423034199350494,0.0049334491184078065,0.06456095940186476,0.08389972458514511,3958,Hospitalized
MEPS,hospitalized,Hospitalized,30-39,2006,0.06593340729706292,0.004764383045881034,0.05659538811858285,0.07527142647554298,3865,Hospitalized
MEPS,hospitalized,Hospitalized,30-39,2007,0.060930743377171845,0.004737751163095123,0.05164492172979265,0.07021656502455104,3506,Hospitalized
MEPS,hospitalized,Hospitalized,30-39,2008,0.07246201739408885,0.00508437860410438,0.06249681844627823,0.08242721634189946,3845,Hospitalized
MEPS,hospitalized,Hospitalized,30-39,2009,0.06110756076681471,0.004397022771244032,0.05248955449597391,0.0697255670376555,4357,Hospitalized
MEPS,hospitalized,Hospitalized,30-39,2010,0.06724230881673553,0.0051115988112560495,0.05722375924325592,0.07726085839021514,3843,Hospitalized
MEPS,hospitalized,Hospitalized,30-39,2011,0.06570558356456449,0.004966664034436988,0.055971100933757595,0.07544006619537139,4109,Hospitalized
MEPS,hospitalized,Hospitalized,30-39,2012,0.0664942648114808,0.004766786975406141,0.05715153401771014,0.07583699560525145,4691,Hospitalized
MEPS,hospitalized,Hospitalized,30-39,2013,0.05910350001800635,0.00458844969110348,0.050110303878569594,0.0680966961574431,4305,Hospitalized
MEPS,hospitalized,Hospitalized,30-39,2014,0.062039176778648945,0.005335075027311209,0.05158262187029993,0.07249573168699795,3976,Hospitalized
MEPS,hospitalized,Hospitalized,30-39,2015,0.05451690390055133,0.004293800454596539,0.04610120965274041,0.06293259814836226,3989,Hospitalized
MEPS,hospitalized,Hospitalized,30-39,2016,0.06456227334635092,0.00511057389812322,0.054545732565698946,0.0745788141270029,3886,Hospitalized
MEPS,hospitalized,Hospitalized,30-39,2017,0.05626332431789634,0.004656464707369653,0.04713682119616998,0.0653898274396227,3525,Hospitalized
MEPS,hospitalized,Hospitalized,30-39,2018,0.07079503182743317,0.005336268367311891,0.06033613801566151,0.08125392563920483,3245,Hospitalized
MEPS,hospitalized,Hospitalized,30-39,2019,0.05399861332652979,0.004724357306536513,0.04473904315561957,0.06325818349744002,2793,Hospitalized
MEPS,hospitalized,Hospitalized,30-39,2020,0.0534968912044598,0.005926018910894655,0.041882107567403,0.0651116748415166,1998,Hospitalized
MEPS,hospitalized,Hospitalized,30-39,2021,0.04786891567035036,0.005572813550427219,0.036946401818956226,0.05879142952174449,2087,Hospitalized
MEPS,hospitalized,Hospitalized,30-39,2022,0.047142568861294865,0.006852881424926889,0.03371116807811464,0.06057396964447509,1501,Hospitalized
MEPS,hospitalized,Hospitalized,30-39,2023,0.059694711827525206,0.007589495122024544,0.04481957472751468,0.07456984892753574,1369,Hospitalized
MEPS,hospitalized,Hospitalized,40-49,2000,0.06703796998324736,0.005190049020688151,0.05686566082470121,0.07721027914179351,3207,Hospitalized
MEPS,hospitalized,Hospitalized,40-49,2001,0.06060379532510444,0.0040031109099823246,0.05275784211541972,0.06844974853478916,4357,Hospitalized
MEPS,hospitalized,Hospitalized,40-49,2002,0.06317661556492893,0.00392193532188582,0.05548976358433722,0.07086346754552064,4990,Hospitalized
