survey,variable,variable_label,age_group,year,mean,se,ci_lower,ci_upper,n_unweighted,category
NHIS,hospitalized,Hospitalized,18-29,1997,0.08630777768354453,0.0037916870638260167,0.07887620759779912,0.09373934776928994,7288,Hospitalized
NHIS,hospitalized,Hospitalized,18-29,1998,0.0870580994084299,0.004093724352173127,0.07903454711553601,0.0950816517013238,6314,Hospitalized
NHIS,hospitalized,Hospitalized,18-29,1999,0.08477779695737353,0.004096866199415974,0.07674808675703873,0.09280750715770833,6019,Hospitalized
NHIS,hospitalized,Hospitalized,18-29,2000,0.07915030130091752,0.0037979928288370355,0.07170637214285554,0.0865942304589795,6488,Hospitalized
NHIS,hospitalized,Hospitalized,18-29,2001,0.08259082263534069,0.0039455656070096845,0.0748576561469618,0.09032398912371958,6637,Hospitalized
NHIS,hospitalized,Hospitalized,18-29,2002,0.08041435996677099,0.004041435407881451,0.0724932921214784,0.08833542781206358,6020,Hospitalized
NHIS,hospitalized,Hospitalized,18-29,2003,0.08152739219261489,0.004100065820094276,0.07349141085098643,0.08956337353424335,5938,Hospitalized
NHIS,hospitalized,Hospitalized,18-29,2004,0.07765413408066683,0.003988839001727409,0.06983615329715241,0.08547211486418126,5909,Hospitalized
NHIS,hospitalized,Hospitalized,18-29,2005,0.07830844554973236,0.004067469031731486,0.07033635273930665,0.08628053836015807,5818,Hospitalized
NHIS,hospitalized,Hospitalized,18-29,2006,0.07807356319758847,0.004472232056112908,0.06930814943710166,0.08683897695807528,4873,Hospitalized
NHIS,hospitalized,Hospitalized,18-29,2007,0.06971021969922922,0.004581288834527303,0.06073105858078023,0.0786893808176782,4539,Hospitalized
NHIS,hospitalized,Hospitalized,18-29,2008,0.06340071132866817,0.004369282483736414,0.05483707502226309,0.07196434763507326,4108,Hospitalized
NHIS,hospitalized,Hospitalized,18-29,2009,0.07092682166511366,0.004369820277867777,0.062362131301580005,0.07949151202864731,5276,Hospitalized
NHIS,hospitalized,Hospitalized,18-29,2010,0.07281256408005808,0.004355538492117913,0.06427586550222908,0.08134926265788708,5270,Hospitalized
NHIS,hospitalized,Hospitalized,18-29,2011,0.0694858909784655,0.003808685789599474,0.06202100400242103,0.07695077795450997,6318,Hospitalized
NHIS,hospitalized,Hospitalized,18-29,2012,0.06889732105913864,0.00409927761962506,0.06086288456204244,0.07693175755623484,6418,Hospitalized
NHIS,hospitalized,Hospitalized,18-29,2013,0.06728742226105361,0.004118708940483211,0.05921490107490339,0.07535994344720383,6403,Hospitalized
NHIS,hospitalized,Hospitalized,18-29,2014,0.062267568911800596,0.005555578599481651,0.05137883494353509,0.07315630288006611,6553,Hospitalized
NHIS,hospitalized,Hospitalized,18-29,2015,0.054784464254256676,0.004064869503603947,0.04681746642533773,0.06275146208317561,5691,Hospitalized
NHIS,hospitalized,Hospitalized,18-29,2016,0.0622874525535208,0.004149620522482914,0.054154345779946,0.0704205593270956,5522,Hospitalized
NHIS,hospitalized,Hospitalized,18-29,2017,0.05858192452504327,0.004116178252275597,0.05051436339663608,0.06664948565345047,4365,Hospitalized
NHIS,hospitalized,Hospitalized,18-29,2018,0.052931447893705665,0.0040884436733737385,0.0449182455410725,0.06094465024633883,3722,Hospitalized
NHIS,hospitalized,Hospitalized,18-29,2019,0.05772834465464756,0.003990702423417836,0.04990671163173189,0.06554997767756324,4448,Hospitalized
NHIS,hospitalized,Hospitalized,18-29,2020,0.05695262208420896,0.004607272698798264,0.04792253352760971,0.06598271064080821,3630,Hospitalized
NHIS,hospitalized,Hospitalized,18-29,2021,0.05509362568062971,0.004229754337395317,0.046803459515882814,0.06338379184537661,3831,Hospitalized
NHIS,hospitalized,Hospitalized,18-29,2022,0.06301196572770314,0.004610544224916353,0.05397546509773795,0.07204846635766833,3528,Hospitalized
NHIS,hospitalized,Hospitalized,18-29,2023,0.056889427260590944,0.004340807005601117,0.0483816018657736,0.06539725265540829,3766,Hospitalized
NHIS,hospitalized,Hospitalized,18-29,2024,0.055258587229483215,0.004139122560526705,0.047146056083253667,0.06337111837571277,4054,Hospitalized
NHIS,hospitalized,Hospitalized,30-39,1997,0.08287074365687064,0.003381029635759167,0.0762440473401201,0.08949743997362118,8223,Hospitalized
NHIS,hospitalized,Hospitalized,30-39,1998,0.07381197583262829,0.0034621826730545984,0.06702622248554266,0.08059772917971392,7110,Hospitalized
NHIS,hospitalized,Hospitalized,30-39,1999,0.07202598209307666,0.0036020953750110886,0.06496600488917663,0.07908595929697669,6504,Hospitalized
