survey,covariate,covariate_label,age_group,year,coefficient,se,ci_lower,ci_upper,n_unweighted
MEPS,ADDAYA,"ADDAYA: Moderate Activities
""Does your health now limit you in moderate activities,
such as moving a table, pushing a vacuum, bowling, or golf?""",18-29,2000,-0.486367474760347,0.05124025974710876,-0.5874614606179793,-0.38527348890271473,3018
MEPS,ADDAYA,"ADDAYA: Moderate Activities
""Does your health now limit you in moderate activities,
such as moving a table, pushing a vacuum, bowling, or golf?""",18-29,2001,-0.5394543204014075,0.05379263264986299,-0.6452035318901486,-0.43370510891266656,4224
MEPS,ADDAYA,"ADDAYA: Moderate Activities
""Does your health now limit you in moderate activities,
such as moving a table, pushing a vacuum, bowling, or golf?""",18-29,2002,-0.5529598885503705,0.048038012703426114,-0.6476107113049226,-0.45830906579581826,5012
MEPS,ADDAYA,"ADDAYA: Moderate Activities
""Does your health now limit you in moderate activities,
such as moving a table, pushing a vacuum, bowling, or golf?""",18-29,2003,-0.5230300537366278,0.05181855883865265,-0.6251298066617491,-0.42093030081150645,4498
MEPS,ADDAYA,"ADDAYA: Moderate Activities
""Does your health now limit you in moderate activities,
such as moving a table, pushing a vacuum, bowling, or golf?""",18-29,2004,-0.6177864922650304,0.04524905882116292,-0.7069442098581387,-0.528628774671922,4478
MEPS,ADDAYA,"ADDAYA: Moderate Activities
""Does your health now limit you in moderate activities,
such as moving a table, pushing a vacuum, bowling, or golf?""",18-29,2005,-0.41854855476116687,0.06448778766167314,-0.5456138266216882,-0.2914832829006455,4335
MEPS,ADDAYA,"ADDAYA: Moderate Activities
""Does your health now limit you in moderate activities,
such as moving a table, pushing a vacuum, bowling, or golf?""",18-29,2006,-0.4736706256307804,0.045805324840593964,-0.5639372994818922,-0.3834039517796686,4142
MEPS,ADDAYA,"ADDAYA: Moderate Activities
""Does your health now limit you in moderate activities,
such as moving a table, pushing a vacuum, bowling, or golf?""",18-29,2007,-0.6239658211535024,0.05046851493315745,-0.7232265169173031,-0.5247051253897017,3844
MEPS,ADDAYA,"ADDAYA: Moderate Activities
""Does your health now limit you in moderate activities,
such as moving a table, pushing a vacuum, bowling, or golf?""",18-29,2008,-0.5572475529701586,0.04632306313301907,-0.6486211004766649,-0.46587400546365226,4541
MEPS,ADDAYA,"ADDAYA: Moderate Activities
""Does your health now limit you in moderate activities,
such as moving a table, pushing a vacuum, bowling, or golf?""",18-29,2009,-0.5819177471231115,0.03636653402800528,-0.6536541931906652,-0.5101813010555578,5011
MEPS,ADDAYA,"ADDAYA: Moderate Activities
""Does your health now limit you in moderate activities,
such as moving a table, pushing a vacuum, bowling, or golf?""",18-29,2010,-0.542615204860595,0.0487384398304413,-0.6387664045140495,-0.44646400520714047,4341
MEPS,ADDAYA,"ADDAYA: Moderate Activities
""Does your health now limit you in moderate activities,
such as moving a table, pushing a vacuum, bowling, or golf?""",18-29,2011,-0.5362821461508998,0.04712511477940377,-0.6292473225291864,-0.4433169697726132,4899
MEPS,ADDAYA,"ADDAYA: Moderate Activities
""Does your health now limit you in moderate activities,
such as moving a table, pushing a vacuum, bowling, or golf?""",18-29,2012,-0.6307314314023951,0.044067320066928845,-0.7176674454539058,-0.5437954173508843,5568
MEPS,ADDAYA,"ADDAYA: Moderate Activities
""Does your health now limit you in moderate activities,
such as moving a table, pushing a vacuum, bowling, or golf?""",18-29,2013,-0.5120106106498706,0.05274801250142713,-0.616083067814943,-0.40793815348479834,5093
MEPS,ADDAYA,"ADDAYA: Moderate Activities
""Does your health now limit you in moderate activities,
such as moving a table, pushing a vacuum, bowling, or golf?""",18-29,2014,-0.4957736937574816,0.0462294111107272,-0.5869718877118317,-0.4045754998031315,4512
MEPS,ADDAYA,"ADDAYA: Moderate Activities
""Does your health now limit you in moderate activities,
such as moving a table, pushing a vacuum, bowling, or golf?""",18-29,2015,-0.6407385586889026,0.05688895309886771,-0.7529730645290598,-0.5285040528487455,4403
MEPS,ADDAYA,"ADDAYA: Moderate Activities
""Does your health now limit you in moderate activities,
such as moving a table, pushing a vacuum, bowling, or golf?""",18-29,2016,-0.5565978547029183,0.04690672126147778,-0.6491453746517896,-0.46405033475404717,4229
MEPS,ADDAYA,"ADDAYA: Moderate Activities
""Does your health now limit you in moderate activities,
such as moving a table, pushing a vacuum, bowling, or golf?""",18-29,2017,-0.5963739507158546,0.07223777725908723,-0.7385270771195652,-0.45422082431214406,3718
MEPS,ADDAYA,"ADDAYA: Moderate Activities
""Does your health now limit you in moderate activities,
such as moving a table, pushing a vacuum, bowling, or golf?""",18-29,2018,-0.6563659626318368,0.06866479769749478,-0.792128471095958,-0.5206034541677156,3169
MEPS,ADDAYA,"ADDAYA: Moderate Activities
""Does your health now limit you in moderate activities,
such as moving a table, pushing a vacuum, bowling, or golf?""",18-29,2019,-0.5051256366318126,0.08557024009801126,-0.6740217238278503,-0.336229549435775,2718
MEPS,ADDAYA,"ADDAYA: Moderate Activities
""Does your health now limit you in moderate activities,
such as moving a table, pushing a vacuum, bowling, or golf?""",18-29,2020,-0.72210906560311106,0.08208909361720723,-0.884226944646785,-0.5599911865594371,1719
MEPS,ADDAYA,"ADDAYA: Moderate Activities
""Does your health now limit you in moderate activities,
such as moving a table, pushing a vacuum, bowling, or golf?""",18-29,2021,-0.6081100178837875,0.08934586405787381,-0.7841717066703017,-0.43204832909727314,1881
MEPS,ADDAYA,"ADDAYA: Moderate Activities
""Does your health now limit you in moderate activities,
such as moving a table, pushing a vacuum, bowling, or golf?""",18-29,2022,-0.5213816884609627,0.11227894169216171,-0.7428701678771452,-0.2998932090447801,1211
MEPS,ADDAYA,"ADDAYA: Moderate Activities
""Does your health now limit you in moderate activities,
such as moving a table, pushing a vacuum, bowling, or golf?""",18-29,2023,-0.7447960579643628,0.1194176550931418,-0.9809674322080889,-0.5086246837206366,1059
MEPS,ADDAYA,"ADDAYA: Moderate Activities
""Does your health now limit you in moderate activities,
such as moving a table, pushing a vacuum, bowling, or golf?""",30-39,2000,-0.6585216151695048,0.05331736690325323,-0.7637024394792014,-0.5533407908598083,3147
MEPS,ADDAYA,"ADDAYA: Moderate Activities
""Does your health now limit you in moderate activities,
such as moving a table, pushing a vacuum, bowling, or golf?""",30-39,2001,-0.75477429958685,0.04486553278790927,-0.8429787081122722,-0.6665698910614278,4080
MEPS,ADDAYA,"ADDAYA: Moderate Activities
""Does your health now limit you in moderate activities,
such as moving a table, pushing a vacuum, bowling, or golf?""",30-39,2002,-0.7145117633181384,0.039220955359383816,-0.7917918427886174,-0.6372316838476594,4766
MEPS,ADDAYA,"ADDAYA: Moderate Activities
""Does your health now limit you in moderate activities,
such as moving a table, pushing a vacuum, bowling, or golf?""",30-39,2003,-0.7356747274858502,0.05171025256525993,-0.8375658085429161,-0.6337836464287843,4044
MEPS,ADDAYA,"ADDAYA: Moderate Activities
""Does your health now limit you in moderate activities,
such as moving a table, pushing a vacuum, bowling, or golf?""",30-39,2004,-0.7501824824971285,0.04577570568244459,-0.8403907870888208,-0.6599741779054361,4097
MEPS,ADDAYA,"ADDAYA: Moderate Activities
""Does your health now limit you in moderate activities,
such as moving a table, pushing a vacuum, bowling, or golf?""",30-39,2005,-0.7589223327010399,0.043511241809103145,-0.8446599081434838,-0.6731847572585961,3943
MEPS,ADDAYA,"ADDAYA: Moderate Activities
""Does your health now limit you in moderate activities,
such as moving a table, pushing a vacuum, bowling, or golf?""",30-39,2006,-0.7121711807510981,0.0465082803815587,-0.8038058251330665,-0.6205365363691296,3850
MEPS,ADDAYA,"ADDAYA: Moderate Activities
""Does your health now limit you in moderate activities,
such as moving a table, pushing a vacuum, bowling, or golf?""",30-39,2007,-0.6374639493984194,0.06524982647052399,-0.7657950245435723,-0.5091328742532666,3494
MEPS,ADDAYA,"ADDAYA: Moderate Activities
""Does your health now limit you in moderate activities,
such as moving a table, pushing a vacuum, bowling, or golf?""",30-39,2008,-0.6092654934559563,0.05092860211790066,-0.709727003379152,-0.5088039835327606,3838
MEPS,ADDAYA,"ADDAYA: Moderate Activities
""Does your health now limit you in moderate activities,
such as moving a table, pushing a vacuum, bowling, or golf?""",30-39,2009,-0.703903978996222,0.043120029697491874,-0.7889482135725626,-0.6188597444198813,4349
MEPS,ADDAYA,"ADDAYA: Moderate Activities
""Does your health now limit you in moderate activities,
such as moving a table, pushing a vacuum, bowling, or golf?""",30-39,2010,-0.6629298517623993,0.04461774866422803,-0.7509396184200406,-0.5749200851047579,3835
MEPS,ADDAYA,"ADDAYA: Moderate Activities
""Does your health now limit you in moderate activities,
such as moving a table, pushing a vacuum, bowling, or golf?""",30-39,2011,-0.6031731649782861,0.04041817545674907,-0.6828991551317976,-0.5234471748247747,4093
MEPS,ADDAYA,"ADDAYA: Moderate Activities
""Does your health now limit you in moderate activities,
such as moving a table, pushing a vacuum, bowling, or golf?""",30-39,2012,-0.6634995884335886,0.046841678540293086,-0.7559088571976166,-0.5710903196695606,4670
MEPS,ADDAYA,"ADDAYA: Moderate Activities
""Does your health now limit you in moderate activities,
such as moving a table, pushing a vacuum, bowling, or golf?""",30-39,2013,-0.7854587946013364,0.04260662787449055,-0.8695191381094153,-0.7013984510932575,4283
MEPS,ADDAYA,"ADDAYA: Moderate Activities
""Does your health now limit you in moderate activities,
such as moving a table, pushing a vacuum, bowling, or golf?""",30-39,2014,-0.6677706106930337,0.049701609057880444,-0.7658324775656763,-0.5697087438203912,3956
MEPS,ADDAYA,"ADDAYA: Moderate Activities
""Does your health now limit you in moderate activities,
such as moving a table, pushing a vacuum, bowling, or golf?""",30-39,2015,-0.5766625038360543,0.0639054242934698,-0.7027307175429457,-0.45059429012916297,3972
MEPS,ADDAYA,"ADDAYA: Moderate Activities
""Does your health now limit you in moderate activities,
such as moving a table, pushing a vacuum, bowling, or golf?""",30-39,2016,-0.7480690850706013,0.049566753813532635,-0.8458442197301204,-0.6502939504110823,3867
MEPS,ADDAYA,"ADDAYA: Moderate Activities
""Does your health now limit you in moderate activities,
such as moving a table, pushing a vacuum, bowling, or golf?""",30-39,2017,-0.7220035264771496,0.06243065141436877,-0.844859340228364,-0.5991477127259351,3517
MEPS,ADDAYA,"ADDAYA: Moderate Activities
""Does your health now limit you in moderate activities,
such as moving a table, pushing a vacuum, bowling, or golf?""",30-39,2018,-0.7529741751606455,0.04521835773622092,-0.8423789048147362,-0.6635694455065548,3240
MEPS,ADDAYA,"ADDAYA: Moderate Activities
""Does your health now limit you in moderate activities,
such as moving a table, pushing a vacuum, bowling, or golf?""",30-39,2019,-0.8120556337810417,0.05957967771395419,-0.9296475336684986,-0.6944637338935848,2785
MEPS,ADDAYA,"ADDAYA: Moderate Activities
""Does your health now limit you in moderate activities,
such as moving a table, pushing a vacuum, bowling, or golf?""",30-39,2020,-0.5900956441303277,0.09988121204810939,-0.7872796538291511,-0.3929116344315043,1997
MEPS,ADDAYA,"ADDAYA: Moderate Activities
""Does your health now limit you in moderate activities,
such as moving a table, pushing a vacuum, bowling, or golf?""",30-39,2021,-0.6650757172874353,0.08353386080232494,-0.8296924686107485,-0.5004589659641221,2086
MEPS,ADDAYA,"ADDAYA: Moderate Activities
""Does your health now limit you in moderate activities,
such as moving a table, pushing a vacuum, bowling, or golf?""",30-39,2022,-0.6973895771807807,0.08541589357211563,-0.8658980617568728,-0.5288810926046885,1501
MEPS,ADDAYA,"ADDAYA: Moderate Activities
""Does your health now limit you in moderate activities,
such as moving a table, pushing a vacuum, bowling, or golf?""",30-39,2023,-0.537032397723841,0.0808254231106233,-0.6968187217534183,-0.37724607369426383,1358
MEPS,ADDAYA,"ADDAYA: Moderate Activities
""Does your health now limit you in moderate activities,
such as moving a table, pushing a vacuum, bowling, or golf?""",40-49,2000,-0.820230049442641,0.04394257418865431,-0.9069199648112714,-0.7335401340740106,3164
MEPS,ADDAYA,"ADDAYA: Moderate Activities
""Does your health now limit you in moderate activities,
such as moving a table, pushing a vacuum, bowling, or golf?""",40-49,2001,-0.7556397294036014,0.031979973480124727,-0.8185081337251856,-0.6927713250820171,4342
MEPS,ADDAYA,"ADDAYA: Moderate Activities
""Does your health now limit you in moderate activities,
such as moving a table, pushing a vacuum, bowling, or golf?""",40-49,2002,-0.8408493336427274,0.03149174618656181,-0.902891539683266,-0.7788071276021888,4962
MEPS,ADDAYA,"ADDAYA: Moderate Activities
""Does your health now limit you in moderate activities,
such as moving a table, pushing a vacuum, bowling, or golf?""",40-49,2003,-0.8086665795966314,0.030288243047030514,-0.8683444672288735,-0.7489886919643892,4227
MEPS,ADDAYA,"ADDAYA: Moderate Activities
""Does your health now limit you in moderate activities,
such as moving a table, pushing a vacuum, bowling, or golf?""",40-49,2004,-0.7792257250052455,0.03426605453760245,-0.8467412210054601,-0.7117102290050308,4172
MEPS,ADDAYA,"ADDAYA: Moderate Activities
""Does your health now limit you in moderate activities,
such as moving a table, pushing a vacuum, bowling, or golf?""",40-49,2005,-0.8271635563531277,0.031858539380560325,-0.8899354487447809,-0.7643916639614744,4103
MEPS,ADDAYA,"ADDAYA: Moderate Activities
""Does your health now limit you in moderate activities,
such as moving a table, pushing a vacuum, bowling, or golf?""",40-49,2006,-0.8036892258923127,0.03209571339234178,-0.8669358636885884,-0.7404425880960369,4113
MEPS,ADDAYA,"ADDAYA: Moderate Activities
""Does your health now limit you in moderate activities,
such as moving a table, pushing a vacuum, bowling, or golf?""",40-49,2007,-0.8176600164385036,0.03332175554785277,-0.8831973859694022,-0.752122646907605,3673
MEPS,ADDAYA,"ADDAYA: Moderate Activities
""Does your health now limit you in moderate activities,
such as moving a table, pushing a vacuum, bowling, or golf?""",40-49,2008,-0.8135228265220296,0.031086028959019307,-0.8748429742753407,-0.7522026787687184,3931
MEPS,ADDAYA,"ADDAYA: Moderate Activities
""Does your health now limit you in moderate activities,
such as moving a table, pushing a vacuum, bowling, or golf?""",40-49,2009,-0.78222582003056,0.031602655268015346,-0.8445527047809798,-0.7198989352801402,4408
MEPS,ADDAYA,"ADDAYA: Moderate Activities
""Does your health now limit you in moderate activities,
such as moving a table, pushing a vacuum, bowling, or golf?""",40-49,2010,-0.854330029958543,0.03275941070396239,-0.9189424533703703,-0.7897176065467157,3870
MEPS,ADDAYA,"ADDAYA: Moderate Activities
""Does your health now limit you in moderate activities,
such as moving a table, pushing a vacuum, bowling, or golf?""",40-49,2011,-0.7540839943929414,0.03515853346557275,-0.82343519249162,-0.6847327962942628,4009
MEPS,ADDAYA,"ADDAYA: Moderate Activities
""Does your health now limit you in moderate activities,
such as moving a table, pushing a vacuum, bowling, or golf?""",40-49,2012,-0.8254760719844347,0.03204759887122274,-0.8886973648239361,-0.7622547791449333,4435
MEPS,ADDAYA,"ADDAYA: Moderate Activities
""Does your health now limit you in moderate activities,
such as moving a table, pushing a vacuum, bowling, or golf?""",40-49,2013,-0.7793333412366569,0.03664402870210221,-0.8516221538464206,-0.7070445286268932,4029
MEPS,ADDAYA,"ADDAYA: Moderate Activities
""Does your health now limit you in moderate activities,
such as moving a table, pushing a vacuum, bowling, or golf?""",40-49,2014,-0.77718427063017,0.037566106280766655,-0.8512869870205454,-0.7030815542397947,3566
