survey,variable,variable_label,age_group,year,mean,se,ci_lower,ci_upper,n_unweighted
MEPS,ADDAYA,"ADDAYA: Moderate Activities
""Does your health now limit you in moderate activities,
such as moving a table, pushing a vacuum, bowling, or golf?""",18-29,2000,0.11550087796874171,0.008225611879552352,0.09937897493401429,0.13162278100346914,3018
MEPS,ADDAYA,"ADDAYA: Moderate Activities
""Does your health now limit you in moderate activities,
such as moving a table, pushing a vacuum, bowling, or golf?""",18-29,2001,0.12013717150773671,0.007541325198178414,0.10535644572360264,0.1349178972918708,4224
MEPS,ADDAYA,"ADDAYA: Moderate Activities
""Does your health now limit you in moderate activities,
such as moving a table, pushing a vacuum, bowling, or golf?""",18-29,2002,0.11865064142270366,0.0067330149386427085,0.1054541746355938,0.13184710820981355,5012
MEPS,ADDAYA,"ADDAYA: Moderate Activities
""Does your health now limit you in moderate activities,
such as moving a table, pushing a vacuum, bowling, or golf?""",18-29,2003,0.10919729547799822,0.0065582705002744865,0.09634332149658875,0.1220512694594077,4498
MEPS,ADDAYA,"ADDAYA: Moderate Activities
""Does your health now limit you in moderate activities,
such as moving a table, pushing a vacuum, bowling, or golf?""",18-29,2004,0.12961345539108182,0.007350119008939027,0.1152074868514781,0.14401942393068554,4478
MEPS,ADDAYA,"ADDAYA: Moderate Activities
""Does your health now limit you in moderate activities,
such as moving a table, pushing a vacuum, bowling, or golf?""",18-29,2005,0.1289535017145728,0.00812036461240314,0.11303787953292908,0.1448691238962165,4335
MEPS,ADDAYA,"ADDAYA: Moderate Activities
""Does your health now limit you in moderate activities,
such as moving a table, pushing a vacuum, bowling, or golf?""",18-29,2006,0.12701773318923332,0.007886232241939047,0.11156100202131422,0.14247446435715241,4142
MEPS,ADDAYA,"ADDAYA: Moderate Activities
""Does your health now limit you in moderate activities,
such as moving a table, pushing a vacuum, bowling, or golf?""",18-29,2007,0.12501210708331542,0.007069785426197844,0.11115558226954149,0.13886863189708934,3844
MEPS,ADDAYA,"ADDAYA: Moderate Activities
""Does your health now limit you in moderate activities,
such as moving a table, pushing a vacuum, bowling, or golf?""",18-29,2008,0.1271679754331765,0.006688454959074444,0.11405884460117229,0.14027710626518075,4541
MEPS,ADDAYA,"ADDAYA: Moderate Activities
""Does your health now limit you in moderate activities,
such as moving a table, pushing a vacuum, bowling, or golf?""",18-29,2009,0.12810569090533241,0.008096614693022123,0.11223661771031124,0.1439747641003536,5011
MEPS,ADDAYA,"ADDAYA: Moderate Activities
""Does your health now limit you in moderate activities,
such as moving a table, pushing a vacuum, bowling, or golf?""",18-29,2010,0.12028298188248694,0.0069427653205035795,0.10667541190118625,0.13389055186378765,4341
MEPS,ADDAYA,"ADDAYA: Moderate Activities
""Does your health now limit you in moderate activities,
such as moving a table, pushing a vacuum, bowling, or golf?""",18-29,2011,0.12877761003560662,0.006343799445595518,0.11634399159709424,0.141211228474119,4899
MEPS,ADDAYA,"ADDAYA: Moderate Activities
""Does your health now limit you in moderate activities,
such as moving a table, pushing a vacuum, bowling, or golf?""",18-29,2012,0.12165866337080211,0.0066691298720126975,0.10858740901343701,0.13472991772816723,5568
MEPS,ADDAYA,"ADDAYA: Moderate Activities
""Does your health now limit you in moderate activities,
such as moving a table, pushing a vacuum, bowling, or golf?""",18-29,2013,0.11162490858665776,0.005861981325973307,0.10013563630970373,0.12311418086361178,5093
MEPS,ADDAYA,"ADDAYA: Moderate Activities
""Does your health now limit you in moderate activities,
such as moving a table, pushing a vacuum, bowling, or golf?""",18-29,2014,0.10190115455700388,0.005822748748803327,0.0904887767183237,0.11331353239568406,4512
MEPS,ADDAYA,"ADDAYA: Moderate Activities
""Does your health now limit you in moderate activities,
such as moving a table, pushing a vacuum, bowling, or golf?""",18-29,2015,0.10295755373976909,0.0073021807200328625,0.08864554251990192,0.11726956495963625,4403
MEPS,ADDAYA,"ADDAYA: Moderate Activities
""Does your health now limit you in moderate activities,
such as moving a table, pushing a vacuum, bowling, or golf?""",18-29,2016,0.10371386243722332,0.00812659187389481,0.08778603504733362,0.11964168982711301,4229
MEPS,ADDAYA,"ADDAYA: Moderate Activities
""Does your health now limit you in moderate activities,
such as moving a table, pushing a vacuum, bowling, or golf?""",18-29,2017,0.10368434275899138,0.008096193797140923,0.0878160945047386,0.11955259101324417,3718
MEPS,ADDAYA,"ADDAYA: Moderate Activities
""Does your health now limit you in moderate activities,
such as moving a table, pushing a vacuum, bowling, or golf?""",18-29,2018,0.0858314846038195,0.007096484449858856,0.0719226306652476,0.0997403385423914,3169
MEPS,ADDAYA,"ADDAYA: Moderate Activities
""Does your health now limit you in moderate activities,
such as moving a table, pushing a vacuum, bowling, or golf?""",18-29,2019,0.10210666629405851,0.00877917044678073,0.08489980840422987,0.11931352418388716,2718
MEPS,ADDAYA,"ADDAYA: Moderate Activities
""Does your health now limit you in moderate activities,
such as moving a table, pushing a vacuum, bowling, or golf?""",18-29,2020,0.09881535705745477,0.011218741048300918,0.07682702865090385,0.12080368546400569,1719
MEPS,ADDAYA,"ADDAYA: Moderate Activities
""Does your health now limit you in moderate activities,
such as moving a table, pushing a vacuum, bowling, or golf?""",18-29,2021,0.10740763418866646,0.01132961817267875,0.08520199061162562,0.1296132777657073,1881
MEPS,ADDAYA,"ADDAYA: Moderate Activities
""Does your health now limit you in moderate activities,
such as moving a table, pushing a vacuum, bowling, or golf?""",18-29,2022,0.12093837856941561,0.015111933817542618,0.09131953255027919,0.15055722458855203,1211
MEPS,ADDAYA,"ADDAYA: Moderate Activities
""Does your health now limit you in moderate activities,
such as moving a table, pushing a vacuum, bowling, or golf?""",18-29,2023,0.0974532191906758,0.012677316111371534,0.07260613619175824,0.12230030218959337,1059
MEPS,ADDAYA,"ADDAYA: Moderate Activities
""Does your health now limit you in moderate activities,
such as moving a table, pushing a vacuum, bowling, or golf?""",30-39,2000,0.15056954363598835,0.010058589980707949,0.13085506953854534,0.17028401773343135,3147
MEPS,ADDAYA,"ADDAYA: Moderate Activities
""Does your health now limit you in moderate activities,
such as moving a table, pushing a vacuum, bowling, or golf?""",30-39,2001,0.1670021381350099,0.00855200222473499,0.15024052177882288,0.1837637544911969,4080
MEPS,ADDAYA,"ADDAYA: Moderate Activities
""Does your health now limit you in moderate activities,
such as moving a table, pushing a vacuum, bowling, or golf?""",30-39,2002,0.15587754379779586,0.0073068196848541135,0.14155644037395348,0.17019864722163824,4766
MEPS,ADDAYA,"ADDAYA: Moderate Activities
""Does your health now limit you in moderate activities,
such as moving a table, pushing a vacuum, bowling, or golf?""",30-39,2003,0.1530391708481221,0.008299044408434259,0.13677334270149244,0.16930499899475177,4044
MEPS,ADDAYA,"ADDAYA: Moderate Activities
""Does your health now limit you in moderate activities,
such as moving a table, pushing a vacuum, bowling, or golf?""",30-39,2004,0.1682139208287009,0.008748899105480963,0.1510663936775835,0.1853614479798183,4097
MEPS,ADDAYA,"ADDAYA: Moderate Activities
""Does your health now limit you in moderate activities,
such as moving a table, pushing a vacuum, bowling, or golf?""",30-39,2005,0.16496246229259934,0.008949144898290415,0.14742246059951977,0.1825024639856789,3943
MEPS,ADDAYA,"ADDAYA: Moderate Activities
""Does your health now limit you in moderate activities,
such as moving a table, pushing a vacuum, bowling, or golf?""",30-39,2006,0.14240801820543827,0.007862997373300635,0.126996826543236,0.15781920986764056,3850
