variable_name,ipums_variable,plot_title,question_wording,original_coding,recoded_values,prevalence_definition,years_available
lawashdresdif,LAWASHDRESDIF,Bathing/Dressing Difficulty,"By yourself and without using any special equipment, how difficult is it for you to bathe or dress yourself?","0=NIU, 1=Not at all difficult, 2=Only a little difficult, 3=Somewhat difficult, 4=Very difficult, 5=Cannot do at all, 7-9=Unknown","1-5 scale (1=Not at all to 5=Cannot do)",">1 = any difficulty",2010-2024
lacomdifego,LACOMDIFEGO,Communication Difficulty,"Do you have difficulty communicating, for example understanding or being understood?","0=NIU, 1=No difficulty, 2=Some difficulty, 3=A lot of difficulty, 4=Cannot do at all, 7-9=Unknown","1-4 scale (1=No difficulty to 4=Cannot do)",">1 = any difficulty",2010-2024
lamemcondif,LAMEMCONDIF,Memory/Concentration Difficulty,"How much difficulty do you have remembering or concentrating?","0=NIU, 1=Not at all, 2=A little, 3=Somewhat, 4=A lot, 7-9=Unknown","1-4 scale (1=Not at all to 4=A lot)",">1 = any difficulty",2010-2024
lawalkclimdif,LAWALKCLIMDIF,Walking/Climbing Difficulty,"By yourself and without using any special equipment, how difficult is it for you to walk a quarter mile (about 3 city blocks)?","0=NIU, 1=Not at all difficult, 2=Only a little difficult, 3=Somewhat difficult, 4=Very difficult, 5=Cannot do at all, 7-9=Unknown","1-5 scale (1=Not at all to 5=Cannot do)",">1 = any difficulty",2010-2024
lamtwrk,LAMTWRK,Work Limitation,"Are you limited in the kind or amount of work you can do because of a physical, mental, or emotional problem?","0=NIU, 1=Not limited, 2=Limited in kind/amount, 3=Unable to work, 7-9=Unknown","1-3 scale (1=Not limited, 2=Limited, 3=Unable)",">1 = any limitation",1997-2024
walkdif12st1,WALKDIF12ST1,Climb 12 Steps Difficulty,"By yourself and without using any special equipment, how difficult is it for you to walk up or down 12 steps?","0=NIU, 1=No difficulty, 2=Some difficulty, 3=A lot of difficulty, 4=Cannot do at all, 7-9=Unknown","1-4 scale (1=No difficulty to 4=Cannot do)",">1 = any difficulty",2010-2024
lahanddif,LAHANDDIF,Hand/Finger Difficulty,"By yourself and without using any special equipment, how difficult is it for you to grasp or handle small objects?","0=NIU, 1=Not at all difficult, 2=Only a little difficult, 3=Somewhat difficult, 4=Very difficult, 5=Cannot do at all, 7-9=Unknown","1-5 scale (1=Not at all to 5=Cannot do)",">1 = any difficulty",2010-2024
lara2litrdif,LARA2LITRDIF,Lift/Carry 25lbs Difficulty,"By yourself and without using any special equipment, how difficult is it for you to lift or carry something as heavy as 25 pounds?","0=NIU, 1=Not at all difficult, 2=Only a little difficult, 3=Somewhat difficult, 4=Very difficult, 5=Cannot do at all, 7-9=Unknown","1-5 scale (1=Not at all to 5=Cannot do)",">1 = any difficulty",2010-2024
walkdif1bl1,WALKDIF1BL1,Walk 1 Block Difficulty,"How much difficulty do you have walking 100 yards on level ground (about the length of one football field or one city block)?","0=NIU, 1=No difficulty, 2=Some difficulty, 3=A lot of difficulty, 4=Cannot do at all, 7-9=Unknown","1-4 scale (1=No difficulty to 4=Cannot do)",">1 = any difficulty",2010-2024
walkdif5bl1,WALKDIF5BL1,Walk 5 Blocks Difficulty,"How much difficulty do you have walking 500 yards on level ground (about 5 football fields or 5 city blocks)?","0=NIU, 1=No difficulty, 2=Some difficulty, 3=A lot of difficulty, 4=Cannot do at all, 7-9=Unknown","1-4 scale (1=No difficulty to 4=Cannot do)",">1 = any difficulty",2010-2024
lamemorcon,LAMEMORCON,Memory Condition,"Have you EVER been told by a doctor or other health professional that you have a memory condition?","0=NIU, 1=No, 2=Yes, 7-9=Unknown","0=No, 1=Yes (binary)","1 = has condition",2010-2024
lamemdifamt,LAMEMDIFAMT,Memory Problems (Some/A lot),"During the past 12 months, how much difficulty have you had with memory or concentration?","0=NIU, 1=None, 2=A little, 3=Some, 4=A lot, 7-9=Unknown","1-4 scale (1=None to 4=A lot)",">1 = any difficulty",2010-2024
walkdif1bl2,WALKDIF1BL2,Walk 1 Block (alternate),"By yourself and without using any special equipment, how difficult is it for you to walk one block on a flat surface?","0=NIU, 1=No difficulty, 2=Some difficulty, 3=A lot of difficulty, 4=Cannot do at all, 7-9=Unknown","1-4 scale (1=No difficulty to 4=Cannot do)",">1 = any difficulty",2010-2024
lawalkclimper,LAWALKCLIMPER,Walk/Climb Period Limitation,"How long have you had difficulty walking or climbing?","0=NIU, 1=Not at all, 2=Up to 3 months, 3=4-12 months, 4=More than 1 year, 7-9=Unknown","1-4 scale (1=Not at all to 4=>1 year)",">1 = any period of limitation",2010-2024
lawalkclimperq,LAWALKCLIMPERQ,Walk/Climb Permanent Limitation,"Is this difficulty with walking or climbing expected to last for at least 12 months or be permanent?","0=NIU, 1=No, 2=Yes, 7-9=Unknown","0=No, 1=Yes (binary)","1 = permanent limitation",2010-2024
