srh_cat,year,age_group,prop,se
Poor,2000,18-29,0.027759637276242744,0.00693553501024184
Poor,2000,30-39,0.08968470819066596,0.015354539043607231
Poor,2000,40-49,0.19617592238330836,0.022243009259786777
Poor,2000,50-59,0.23961107885134267,0.019544690113126855
Poor,2000,60-69,0.16419560661877552,0.018615016596448753
Poor,2000,70-79,0.15551549083880006,0.019674906953876886
Poor,2000,80-89,0.12705755760859086,0.015791365997553625
Poor,2001,18-29,0.03252359017394226,0.007574778345288327
Poor,2001,30-39,0.09751833240077723,0.01580209181842686
Poor,2001,40-49,0.17699728767405762,0.01470128569586229
Poor,2001,50-59,0.2169679000166116,0.018157531106676422
Poor,2001,60-69,0.18410938803492166,0.016409897075314425
Poor,2001,70-79,0.16873688835645986,0.016425581195284585
Poor,2001,80-89,0.12314661361434373,0.014113080427065819
Poor,2002,18-29,0.04146643073229983,0.010993356262807235
Poor,2002,30-39,0.06710116151094699,0.010532682952131963
Poor,2002,40-49,0.20146018992898182,0.016612522617685904
Poor,2002,50-59,0.23598634311163255,0.017728587768365278
Poor,2002,60-69,0.1576583864130469,0.016184312746599424
Poor,2002,70-79,0.1615256705144099,0.017020908025136488
Poor,2002,80-89,0.134801817999752,0.015905090327757842
Poor,2003,18-29,0.047045740824738405,0.01233757579165777
Poor,2003,30-39,0.09483239934425788,0.013069948409909757
Poor,2003,40-49,0.19322604144741629,0.016720724798271677
Poor,2003,50-59,0.24474906273427052,0.018449746992212846
Poor,2003,60-69,0.16076191741788118,0.016496678048818533
Poor,2003,70-79,0.14821172774428543,0.015620988938056997
Poor,2003,80-89,0.1111731129163617,0.014946149147830668
Poor,2004,18-29,0.046827392183767635,0.007798765849312747
Poor,2004,30-39,0.09436997296930982,0.01209662521967735
Poor,2004,40-49,0.176286632017355,0.01555122084960006
Poor,2004,50-59,0.2600510229145114,0.01956836238999932
Poor,2004,60-69,0.1576666248215678,0.014834799724786962
Poor,2004,70-79,0.13104948750073941,0.015057700792073653
Poor,2004,80-89,0.13374886810355216,0.016218817756869487
Poor,2005,18-29,0.036091748252721684,0.007704298101424272
Poor,2005,30-39,0.07923836745557047,0.012398389418187548
Poor,2005,40-49,0.18771143297242063,0.017359477205900097
Poor,2005,50-59,0.24156641595871128,0.016511262141127907
Poor,2005,60-69,0.18528766403481772,0.015867551687087582
Poor,2005,70-79,0.15695190874035508,0.017180696730319626
Poor,2005,80-89,0.11315246381388415,0.013514982818987784
Poor,2006,18-29,0.04740501775524641,0.008854924956677286
Poor,2006,30-39,0.05766532081199337,0.009891584211278826
Poor,2006,40-49,0.18914544623142174,0.015883175771485805
Poor,2006,50-59,0.27564085246371145,0.019354949153451546
Poor,2006,60-69,0.2115323480761061,0.01784138058209061
Poor,2006,70-79,0.11266660404560727,0.013354980424686086
Poor,2006,80-89,0.10594441175113485,0.013899451647549197
Poor,2007,18-29,0.04662863615330941,0.009969080693695767
Poor,2007,30-39,0.08383305182597128,0.013892668488985047
Poor,2007,40-49,0.1826796175572936,0.017828129408008212
Poor,2007,50-59,0.21622302582059866,0.018383881617994726
Poor,2007,60-69,0.19533211498112005,0.018768704328458383
Poor,2007,70-79,0.15701433559160238,0.01762960704333311
Poor,2007,80-89,0.11828922094855565,0.01650633251441754
Poor,2008,18-29,0.06979537374095962,0.013560120797152384
Poor,2008,30-39,0.06171789854486442,0.010896453441336095
Poor,2008,40-49,0.18380404522565735,0.018105219736180508
Poor,2008,50-59,0.24343602443802725,0.021680523254717386
Poor,2008,60-69,0.20844503122684227,0.020602683815064828
Poor,2008,70-79,0.10846785945968847,0.012814443866042085
Poor,2008,80-89,0.1243337680307172,0.018754795169695023
Poor,2009,18-29,0.06875253007525674,0.015271832011884586
Poor,2009,30-39,0.09173684260549557,0.011777289706045942
Poor,2009,40-49,0.17759304304085863,0.01857240360874791
Poor,2009,50-59,0.22058352273532375,0.019084821014371332
Poor,2009,60-69,0.20483794248078027,0.020110142922231886
Poor,2009,70-79,0.11819425856982776,0.015143892365029403
Poor,2009,80-89,0.11830186063308389,0.015658484012710836
Poor,2010,18-29,0.04102422367328447,0.009878897205207866
Poor,2010,30-39,0.07490342208005471,0.011381115508153178
Poor,2010,40-49,0.17727602254100316,0.01847725595418233
Poor,2010,50-59,0.252146948520161,0.019600656094497994
Poor,2010,60-69,0.1979715738057072,0.01816207064158908
Poor,2010,70-79,0.14934883290631296,0.01721559250996797
Poor,2010,80-89,0.10732897907142307,0.01563435416848032
Poor,2011,18-29,0.046328712572395354,0.00842965576381023
Poor,2011,30-39,0.07571188843498193,0.012990560640165717
Poor,2011,40-49,0.1596590269501987,0.016721155347086583
Poor,2011,50-59,0.27606274810093623,0.021451123314993416
Poor,2011,60-69,0.18185256864417332,0.018652877516375198
Poor,2011,70-79,0.143098755755645,0.017442451539856883
Poor,2011,80-89,0.11728630115359909,0.01518795956865481
Poor,2012,18-29,0.04929667478898056,0.00948996657567451
Poor,2012,30-39,0.07382998285609944,0.011133207387938241
Poor,2012,40-49,0.1545210571841314,0.016717642935560623
Poor,2012,50-59,0.2754225451972823,0.019688260279832143
Poor,2012,60-69,0.20295556710952742,0.019787345068283533
Poor,2012,70-79,0.1153307756940093,0.013577410082007954
Poor,2012,80-89,0.12864339809610545,0.016571953043796748
Poor,2013,18-29,0.05075339173551228,0.008238715096229754
Poor,2013,30-39,0.10280802430921411,0.014284976890855354
Poor,2013,40-49,0.1627237788406781,0.01960259726530554
Poor,2013,50-59,0.2791419692145827,0.024676387464409515
Poor,2013,60-69,0.1858035719818837,0.01854666091901734
Poor,2013,70-79,0.1197773517453303,0.01827642322212176
Poor,2013,80-89,0.09899191723726862,0.015288504952986457
Poor,2014,18-29,0.055494712901752695,0.013445758879603883
Poor,2014,30-39,0.07250518136044673,0.01699770236725067
Poor,2014,40-49,0.13096304741972817,0.018655301854217085
Poor,2014,50-59,0.31187297843524714,0.026022585546642024
Poor,2014,60-69,0.20876950327115687,0.02011842076781429
Poor,2014,70-79,0.12806715707280514,0.02015103971337257
Poor,2014,80-89,0.09232741957292594,0.012946905785941246
Poor,2015,18-29,0.0645577869965057,0.015706944945951148
Poor,2015,30-39,0.06496235620661324,0.013556040897178098
Poor,2015,40-49,0.14991229225770134,0.01774060904677281
Poor,2015,50-59,0.2720551543806925,0.02223139761082987
Poor,2015,60-69,0.25449689639529166,0.022713493695740643
Poor,2015,70-79,0.11356897081636426,0.016209815530260255
Poor,2015,80-89,0.08044654299163607,0.015087972298781198
Poor,2016,18-29,0.0587565967321653,0.011559944605162515
Poor,2016,30-39,0.11105826812876907,0.01929960346882285
Poor,2016,40-49,0.13019971652103188,0.015116360584203662
Poor,2016,50-59,0.214630734450789,0.01855655097824386
Poor,2016,60-69,0.2448574539333567,0.023191962056321406
Poor,2016,70-79,0.13257927773314587,0.018762847315162434
Poor,2016,80-89,0.10791795276047952,0.016217198046835336
Poor,2017,18-29,0.058240115694047544,0.015239033191423276
Poor,2017,30-39,0.08487928362179435,0.014445928167000582
Poor,2017,40-49,0.11450074088591528,0.015572743856718922
Poor,2017,50-59,0.22965949448660647,0.01940328866871735
Poor,2017,60-69,0.24222394036251008,0.02322806957946157
Poor,2017,70-79,0.1489876421035805,0.01969795114155164
Poor,2017,80-89,0.12150878300187001,0.016648918601167302
Poor,2018,18-29,0.052161282305380814,0.011487009652560375
Poor,2018,30-39,0.08404188479032254,0.01616260429751197
Poor,2018,40-49,0.12397202962554578,0.017023676071306948
Poor,2018,50-59,0.21301126202374018,0.020662083413315796
Poor,2018,60-69,0.22795453660847462,0.02043175458618552
Poor,2018,70-79,0.1551676225794992,0.018314393563914913
Poor,2018,80-89,0.14369138220333524,0.01708829005497174
Poor,2019,18-29,0.052085073370294825,0.01397262396199353
Poor,2019,30-39,0.07011192160889186,0.015400840280099606
Poor,2019,40-49,0.1263636293816097,0.017917920618724905
Poor,2019,50-59,0.25278025581270197,0.025150890024688285
Poor,2019,60-69,0.22922594194939339,0.02247680192158193
Poor,2019,70-79,0.13635916827151554,0.019184850039172266
Poor,2019,80-89,0.13307400968289712,0.018782852261654905
Poor,2020,18-29,0.05541668283720613,0.0164919839902982
Poor,2020,30-39,0.06422361570152102,0.017722792162668838
Poor,2020,40-49,0.16012074580675614,0.02388301807747481
Poor,2020,50-59,0.2124627951096973,0.025341554011395297
Poor,2020,60-69,0.25463734853833914,0.027843978155931207
Poor,2020,70-79,0.1308329289099558,0.01987962799011627
Poor,2020,80-89,0.12230588310862237,0.019768498379148885
Poor,2021,18-29,0.06221494755661632,0.017832569653218805
Poor,2021,30-39,0.10079273160768294,0.022646356889349496
Poor,2021,40-49,0.12332495689775172,0.025175066592105975
Poor,2021,50-59,0.20299839803886585,0.030857182772579882
Poor,2021,60-69,0.23916663994032403,0.02773845157773806
Poor,2021,70-79,0.1276996535395057,0.018444686102007342
Poor,2021,80-89,0.14380267263278268,0.02257911289943699
Poor,2022,18-29,0.02379323205343609,0.016857652685383157
Poor,2022,30-39,0.07049907745025316,0.0222627343131245
Poor,2022,40-49,0.127713977838365,0.027337879691812696
Poor,2022,50-59,0.165301391511126,0.028016936324919448
Poor,2022,60-69,0.2818124367357121,0.032600501475563884
Poor,2022,70-79,0.17032856449317055,0.02768390208915848
Poor,2022,80-89,0.1605513201209939,0.02712383929194464
Poor,2023,18-29,0.09526174050593107,0.032321841867145915
Poor,2023,30-39,0.06958087753992942,0.02263126614393919
Poor,2023,40-49,0.1229600954335608,0.030357279775018592
Poor,2023,50-59,0.16171747746027065,0.02651997817317347
Poor,2023,60-69,0.29903595236813557,0.042544447622198035
Poor,2023,70-79,0.1482138008097352,0.026356441463614027
Poor,2023,80-89,0.1032300570879412,0.023083187363497085
Fair,2000,18-29,0.09343090454518144,0.008134548697885444
Fair,2000,30-39,0.13275335081590683,0.009243327620145556
Fair,2000,40-49,0.17697560642277635,0.01037814824722265
Fair,2000,50-59,0.17873324707651067,0.008771152456732977
Fair,2000,60-69,0.15371966493774183,0.008973023393668218
