age_group,year,srh_cat,prop,se
18-29,2000,Poor,0.0038828582525309106,0.0010026675853893607
18-29,2000,Fair,0.051844631814377776,0.004713953669491338
18-29,2000,Good,0.2558304567150422,0.008817578559339671
18-29,2000,Very Good,0.42338218038431885,0.010779021491845078
18-29,2000,Excellent,0.2650598729212894,0.009582149683936732
18-29,2001,Poor,0.004188973523008173,9.808804889693422e-4
18-29,2001,Fair,0.06396705601606788,0.004375919438301153
18-29,2001,Good,0.24686960892280865,0.007665042255514119
18-29,2001,Very Good,0.42836857371680903,0.008500535613246247
18-29,2001,Excellent,0.25660578782753474,0.00923309133058354
18-29,2002,Poor,0.0057864034314513025,0.0015632852205885476
18-29,2002,Fair,0.05557422902121588,0.0033459576032757246
18-29,2002,Good,0.22866710690701317,0.006938484007778331
18-29,2002,Very Good,0.42652611989203554,0.007862096023248237
18-29,2002,Excellent,0.283446140847323,0.008447286611741125
18-29,2003,Poor,0.006459796323910585,0.0017026599542784482
18-29,2003,Fair,0.04743126589190579,0.0039012309853834293
18-29,2003,Good,0.23180695574548085,0.007231814110373372
18-29,2003,Very Good,0.4091423181038859,0.010309072269583028
18-29,2003,Excellent,0.3051596646586283,0.009592470385928803
18-29,2004,Poor,0.006763720423134659,0.0011841288704562032
18-29,2004,Fair,0.05742741096376067,0.004138125576999747
18-29,2004,Good,0.24083759267608978,0.008117026152249766
18-29,2004,Very Good,0.4011944966425669,0.008896531941689855
18-29,2004,Excellent,0.2937767794966316,0.009140361333684047
18-29,2005,Poor,0.004964978056863362,0.0010834298604342919
18-29,2005,Fair,0.05490057995754767,0.0041964227742245855
18-29,2005,Good,0.24933294601455452,0.009379477451787605
18-29,2005,Very Good,0.39170641713606663,0.010197118297784614
18-29,2005,Excellent,0.29909507886028547,0.01024699970037942
18-29,2006,Poor,0.006308640509429107,0.001276024651384891
18-29,2006,Fair,0.047668700205354485,0.004113981015670325
18-29,2006,Good,0.2511138155848517,0.008607334376068884
18-29,2006,Very Good,0.40689905393729353,0.009405942768347643
18-29,2006,Excellent,0.28800979016356876,0.010881948970754498
18-29,2007,Poor,0.0057889790668428955,0.0012385288470208827
18-29,2007,Fair,0.05058020540897233,0.003481778303444771
18-29,2007,Good,0.23166109210509697,0.008893208422876862
18-29,2007,Very Good,0.39994590893595705,0.00984063882518981
18-29,2007,Excellent,0.3120238145393029,0.009653390959176365
18-29,2008,Poor,0.008558947568897092,0.0017214400553103148
18-29,2008,Fair,0.048604734107423546,0.00397312699668868
18-29,2008,Good,0.22335573590431282,0.008179521373896026
18-29,2008,Very Good,0.41331966185410446,0.009737531758604654
18-29,2008,Excellent,0.3061609207671712,0.011713880943905451
18-29,2009,Poor,0.008580331692109824,0.0019335393387105283
18-29,2009,Fair,0.055318842731472063,0.003912665589437828
18-29,2009,Good,0.2516262178506302,0.008944816190489816
18-29,2009,Very Good,0.39946790482795197,0.011286768319396252
18-29,2009,Excellent,0.28500670294614144,0.009817712839963303
18-29,2010,Poor,0.005272653134654671,0.0012758921996512285
18-29,2010,Fair,0.04711497029120282,0.003810274362901051
18-29,2010,Good,0.24081185132927138,0.00872967761866162
18-29,2010,Very Good,0.4038011365774798,0.010529403541866085
18-29,2010,Excellent,0.30299938890541206,0.012036710156501443
18-29,2011,Poor,0.005825618656175131,0.0010755956666917289
18-29,2011,Fair,0.048937279515642945,0.003477516254957739
18-29,2011,Good,0.22766266078371747,0.00830176108785684
18-29,2011,Very Good,0.39994254471592205,0.009924429394647572
18-29,2011,Excellent,0.31763189664051633,0.011134504903177534
18-29,2012,Poor,0.006101776228142535,0.001193893773787316
18-29,2012,Fair,0.05346747927299749,0.003529170772299782
18-29,2012,Good,0.2390084364504827,0.008773409604857169
18-29,2012,Very Good,0.3837019908698304,0.00927977365718208
18-29,2012,Excellent,0.31772031730611927,0.010521842964749988
18-29,2013,Poor,0.006082333246324551,9.982050477557976e-4
18-29,2013,Fair,0.04972585984359273,0.0036088544695809365
18-29,2013,Good,0.21720737847941957,0.008773589843559264
18-29,2013,Very Good,0.4060716237723827,0.01072418513154405
18-29,2013,Excellent,0.320912804864963,0.009110370556903802
18-29,2014,Poor,0.006027022601414136,0.0014576859239388835
18-29,2014,Fair,0.043649339834016115,0.0032041776530904714
18-29,2014,Good,0.21789554903809197,0.0089213058687461
18-29,2014,Very Good,0.41024304582178367,0.009504232476155864
18-29,2014,Excellent,0.32218504347696797,0.010516844542896944
18-29,2015,Poor,0.007275395477201265,0.0018466553084816113
18-29,2015,Fair,0.04937885124657025,0.004190647759037377
18-29,2015,Good,0.22092151807508267,0.008262085187190129
18-29,2015,Very Good,0.41097180297904773,0.011657519985958225
18-29,2015,Excellent,0.3114524323676189,0.011502685330879042
18-29,2016,Poor,0.006453844633837899,0.0012482030760990225
18-29,2016,Fair,0.05364833029306906,0.004412168700084635
18-29,2016,Good,0.21922248794130605,0.009911261307782379
18-29,2016,Very Good,0.3955173179268671,0.011707704567211756
18-29,2016,Excellent,0.32515801937510397,0.010328092307813182
18-29,2017,Poor,0.006279940066203705,0.0017487071600208565
18-29,2017,Fair,0.04652038453030713,0.004067815556538286
18-29,2017,Good,0.20885318249161167,0.008933843530830207
18-29,2017,Very Good,0.38794597075058423,0.011057580482027813
18-29,2017,Excellent,0.3504005223985102,0.010513261599042294
18-29,2018,Poor,0.005412670749034595,0.0012227747826001095
18-29,2018,Fair,0.04588054303911048,0.004527550159477901
18-29,2018,Good,0.20568124048311542,0.008558949448756598
18-29,2018,Very Good,0.3837261604575308,0.011451469206651134
18-29,2018,Excellent,0.35929938536022943,0.011234794631993825
18-29,2019,Poor,0.005689897217296484,0.0015899845185204163
18-29,2019,Fair,0.05625678222404273,0.0056057569144047715
18-29,2019,Good,0.21111811327686433,0.008750270499300342
18-29,2019,Very Good,0.3775312948887096,0.010377155231735343
18-29,2019,Excellent,0.34940391282774497,0.012459433543729416
18-29,2020,Poor,0.005167212306832977,0.0016849478691402168
18-29,2020,Fair,0.05178082493488794,0.007242992329899736
18-29,2020,Good,0.2049876349313663,0.01078609191553503
18-29,2020,Very Good,0.4046147745455958,0.017216216390033033
18-29,2020,Excellent,0.33344955368004964,0.016312812505068004
18-29,2021,Poor,0.005808740687827736,0.0017228165700955568
18-29,2021,Fair,0.054924183287009716,0.006481241732852264
18-29,2021,Good,0.2288487288261526,0.012615358242251889
18-29,2021,Very Good,0.38762212653662315,0.013262893046177412
18-29,2021,Excellent,0.32279622139695446,0.01523775922705123
18-29,2022,Poor,0.001949367426508747,0.0013960399499191236
18-29,2022,Fair,0.05539965239077759,0.007925088882218984
18-29,2022,Good,0.2336672978243695,0.015736350561258217
18-29,2022,Very Good,0.3804012488190758,0.017451789609606368
18-29,2022,Excellent,0.3285824349482755,0.01875666100738985
18-29,2023,Poor,0.008497631981215507,0.003040248705332007
18-29,2023,Fair,0.07555645104681884,0.009833462335796912
18-29,2023,Good,0.2573630741264254,0.01485068928171087
18-29,2023,Very Good,0.3639666433143317,0.02076089939937621
18-29,2023,Excellent,0.2946161997713191,0.019463290760088212
30-39,2000,Poor,0.012621814583577107,0.0022413465266979877
30-39,2000,Fair,0.074118118496017,0.005560542674885103
30-39,2000,Good,0.2884886936195746,0.009760057714802227
30-39,2000,Very Good,0.4177720224685653,0.009040293906108386
30-39,2000,Excellent,0.20699935085540322,0.00898938981638971
30-39,2001,Poor,0.013437228780801355,0.002329399156932815
30-39,2001,Fair,0.06617802083043223,0.004592068382867246
30-39,2001,Good,0.2745609245263642,0.008049657791799824
30-39,2001,Very Good,0.43445778766886295,0.009305032362831242
30-39,2001,Excellent,0.21136603819662966,0.007874498280854167
30-39,2002,Poor,0.010171497101571784,0.0015664859084713095
30-39,2002,Fair,0.06442670791629616,0.0041916290212357715
30-39,2002,Good,0.28248950940654133,0.007919903144728999
30-39,2002,Very Good,0.41168299629962907,0.007840311156707741
30-39,2002,Excellent,0.23122928929039432,0.008438941194137288
30-39,2003,Poor,0.014664087533052693,0.0020240434382036874
30-39,2003,Fair,0.05506003920824417,0.004182088668079011
30-39,2003,Good,0.28565600009566977,0.009149048057975845
30-39,2003,Very Good,0.39651865422871024,0.009900063155104872
30-39,2003,Excellent,0.24810121898449106,0.009031137102443753
30-39,2004,Poor,0.015509464015844271,0.0020038435274119565
30-39,2004,Fair,0.06569125060833687,0.0044537012885538935
30-39,2004,Good,0.2803570377978808,0.009385970889904324
30-39,2004,Very Good,0.39367178254823154,0.010510374623269264
30-39,2004,Excellent,0.24477046503326735,0.00867505664254037
30-39,2005,Poor,0.013014168198073132,0.002233755538026636
30-39,2005,Fair,0.06991263850864612,0.005109905124973284
30-39,2005,Good,0.27635999080974866,0.008652227656692992
30-39,2005,Very Good,0.3993442502003969,0.00975637759607338
30-39,2005,Excellent,0.24136895228615318,0.009942525026341463
30-39,2006,Poor,0.009266662049853111,0.0016129952972410396
30-39,2006,Fair,0.06294192850223151,0.0045680136670412765
30-39,2006,Good,0.286120830011829,0.009280526736325886
30-39,2006,Very Good,0.39656723590378723,0.00989809044852146
30-39,2006,Excellent,0.24510334354277288,0.009273294820765499
30-39,2007,Poor,0.012361487800158343,0.002105640050175816
30-39,2007,Fair,0.05596902726012741,0.004175322384304352
30-39,2007,Good,0.30183392181029084,0.009465063194613446
30-39,2007,Very Good,0.4008139659723113,0.011017491438822658
30-39,2007,Excellent,0.22902159717792434,0.00980298761417879
30-39,2008,Poor,0.009337056011970773,0.001725673821081591
30-39,2008,Fair,0.06974194689752349,0.005091558390037287
30-39,2008,Good,0.29554801812473563,0.009227335920856075
