age_group,year,variance,entropy,n_weighted
18-29,2000,0.7522022883740553,1.239582143518617,41921582.73148805
18-29,2001,0.780129232552291,1.2563481764297768,43494599.09213195
18-29,2002,0.7812069457368941,1.2486050815032992,44014907.527307175
18-29,2003,0.7833314912097501,1.2438788120280897,44814786.5910571
18-29,2004,0.8186216591192158,1.2670125152096114,45390459.51836191
18-29,2005,0.807285716875002,1.2601199924900819,46348720.54670087
18-29,2006,0.7807784656596961,1.2484215741590357,47241914.85933416
18-29,2007,0.7968566547395907,1.2494919096541417,47333876.81041305
18-29,2008,0.7995354231001444,1.250105185864998,47868615.59848999
18-29,2009,0.8246870269971484,1.2724654128360047,48721242.52205299
18-29,2010,0.7776130639024481,1.242422316377631,48859106.715330906
18-29,2011,0.7929914925565208,1.2453468505988452,48459678.837845154
18-29,2012,0.8234973704441103,1.2616225320880714,48721569.90531021
18-29,2013,0.7917237450261269,1.2426347218263665,48761674.30767105
18-29,2014,0.7690894785159123,1.2299590313030209,49482386.25188222
18-29,2015,0.7946444758436444,1.2467023786801783,49745481.31701708
18-29,2016,0.8168211480705975,1.2543551091043306,49350205.204247065
18-29,2017,0.8011892669177973,1.2364492690750426,49624005.54773392
18-29,2018,0.7953862524762251,1.2302310549824205,49206589.08866903
18-29,2019,0.8369894212592204,1.2548301984057741,49198135.54269596
18-29,2020,0.7924375160990541,1.2377014404507574,47463884.192139864
18-29,2021,0.8229462296627,1.2591222051271844,48397253.890357986
18-29,2022,0.8015806327022927,1.2455349395198179,48758489.37039175
18-29,2023,0.9121226618197353,1.3128834935306977,48574321.68453498
30-39,2000,0.8342137311510381,1.2973409473967572,41665061.16278691
30-39,2001,0.8161420884185464,1.2831895792604544,40655660.59810291
30-39,2002,0.8187761166643068,1.284408980805727,40518840.31121717
30-39,2003,0.8494475144517705,1.2920971788838216,39794360.81520298
30-39,2004,0.8821111389792823,1.3115022938108936,39892135.36102491
30-39,2005,0.8689909690078557,1.3075794294745344,38820959.7351868
30-39,2006,0.8286976489931542,1.2869063064309203,39122836.169637874
30-39,2007,0.8170073519932274,1.2812339027729478,39853446.51742391
30-39,2008,0.8529160478085611,1.300839951512175,38801254.046349
30-39,2009,0.8506225231315657,1.3018295099696875,39097528.51536604
30-39,2010,0.8411864385941965,1.3015765072086773,39379266.331036046
30-39,2011,0.8619236641722973,1.3140282658271525,39659585.134410985
30-39,2012,0.8992596158263647,1.3303516949708856,40469406.02861406
30-39,2013,0.8826046829256203,1.3194331637101528,40854567.486314
30-39,2014,0.8471319077605518,1.2959868478624488,40580200.665628895
30-39,2015,0.8393172526055421,1.2913885505051548,40671980.88579597
30-39,2016,0.8682064291896381,1.306500042866731,41635094.38691303
30-39,2017,0.8539806893869129,1.2932029856043064,41777122.15245595
30-39,2018,0.7943553966450225,1.2619829398566198,42631465.91384795
30-39,2019,0.7982499051642105,1.26300244898209,41799602.112542875
30-39,2020,0.7568649116950743,1.2447699673961488,42089753.395170905
30-39,2021,0.8205466426447073,1.285809128931633,43935226.16992687
30-39,2022,0.8212864883106145,1.279994720216724,44743047.09900495
30-39,2023,0.7506517650526388,1.2500136342891344,46323926.609440885
40-49,2000,0.9546063059317269,1.3629732676155462,41761575.977279976
40-49,2001,0.9224800107326473,1.3490614760845256,42909495.031390905
40-49,2002,0.98730981722434,1.3765487739397297,43450052.68800503
40-49,2003,0.9652953968639123,1.3631774299640473,43987943.23344613
40-49,2004,0.9805689143901638,1.3723343272073814,44113114.57357009
40-49,2005,0.9769811292917563,1.3721193309519932,44111643.09534296
40-49,2006,0.9599084192372145,1.3663071832090972,43797138.09827091
40-49,2007,0.9247591611406827,1.34545240498561,42332318.12277306
40-49,2008,0.9796313515076829,1.37690963894267,41994126.742295906
40-49,2009,0.9601080304868266,1.3675075760998445,41899338.22280295
40-49,2010,0.9783675083163165,1.3730200495614309,40426012.76908996
40-49,2011,0.9701076419248974,1.3768064660889254,39821069.16291499
40-49,2012,0.9597348725206388,1.368995724887515,39679456.90836901
40-49,2013,0.9390267977414256,1.3566187439017268,38547953.15641495
40-49,2014,0.9417270104941631,1.3559663340429382,38681104.88449095
40-49,2015,0.9618626580809759,1.3660125228082385,38989106.328511916
40-49,2016,0.9272024355209969,1.3511305077236635,39570912.21224309
40-49,2017,0.8899348915446563,1.3285775087950327,39531580.76572895
40-49,2018,0.8643510131378304,1.312856763216125,38469427.74505387
40-49,2019,0.8880331837815553,1.327464812838774,39568452.73121083
40-49,2020,0.8722420971629538,1.3230910354098995,38549076.21262696
40-49,2021,0.8525161903476354,1.313269519950215,39600375.17215501
40-49,2022,0.8537265976284768,1.3147362295051224,38276792.376309976
40-49,2023,0.832390940088386,1.302221932709465,39576187.88350197
50-59,2000,1.0813216617651122,1.4248934279482879,31671484.65015387
50-59,2001,1.0183174633196697,1.3974974335557075,33016925.493313804
50-59,2002,1.070479279473533,1.4201544558632349,34764757.02988794
50-59,2003,1.0878848515923496,1.4250825157681883,34904525.73722381
50-59,2004,1.0817109932352136,1.4265561409814176,36672699.33659582
50-59,2005,1.0225217192938256,1.403911179722565,38657626.48944087
